Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Player Link_,Player ID_,Competition
50,Axel Atum,ARG,"FW,MF",Estudiantes,17,2006,0.4,57.5,0.00,10.0,32.5,15.0,0.00,57.5,0.00,0.00,,0.00,,45.0,202.5,110.0,0.00,5.00,0.00,2.50,0.00,50.0,7.50,https://fbref.com/en/players/bfd8b7c6/Axel-Atum,bfd8b7c6,Argentina Liga Profesional
51,Julián Aude,ARG,DF,Lanús,19,2003,1.6,43.8,3.75,13.8,18.8,11.9,0.00,43.8,3.13,1.88,60.0,0.00,0.0,19.4,90.6,56.9,1.25,0.63,0.00,1.88,0.00,16.3,0.63,https://fbref.com/en/players/4223d7bb/Julian-Aude,4223d7bb,Argentina Liga Profesional
52,Luciano Aued,ARG,MF,CA Unión,35,1987,11.3,51.8,1.77,12.1,31.2,9.12,1.50,51.8,0.27,0.09,33.3,0.18,66.7,23.0,97.4,49.8,0.53,0.71,0.00,0.97,0.88,27.6,1.68,https://fbref.com/en/players/c877f303/Luciano-Aued,c877f303,Argentina Liga Profesional
53,Gabriel Ávalos,PAR,FW,Argentinos Jun,32,1990,19.7,35.1,0.76,1.07,14.9,19.3,6.45,34.9,1.42,0.56,39.3,0.71,50.0,17.8,65.7,23.5,0.86,0.76,0.61,3.40,1.37,27.1,9.04,https://fbref.com/en/players/b6781b67/Gabriel-Avalos,b6781b67,Argentina Liga Profesional
54,Tomás Avilés,ARG,"DF,MF",Racing Club,18,2004,7.6,97.8,5.53,38.2,54.5,5.53,1.18,97.8,0.66,0.39,60.0,0.26,40.0,56.4,299.7,156.2,1.05,0.66,0.26,1.45,0.39,60.3,0.92,https://fbref.com/en/players/f51b9ae1/Tomas-Aviles,f51b9ae1,Argentina Liga Profesional
55,Tomás Badaloni,ARG,FW,Tigre,22,2000,7.5,29.7,0.80,1.87,11.7,16.4,4.40,29.7,0.67,0.00,0.0,0.67,100.0,17.1,50.0,13.6,0.80,0.67,0.67,3.60,2.53,23.1,8.00,https://fbref.com/en/players/d3a444aa/Tomas-Badaloni,d3a444aa,Argentina Liga Profesional
56,Cristian Báez,PAR,DF,Independiente,32,1990,22.5,50.1,5.29,25.1,22.5,2.71,0.44,50.1,0.40,0.27,66.7,0.13,33.3,22.0,91.7,47.2,0.36,0.31,0.04,0.58,0.27,22.3,0.53,https://fbref.com/en/players/56d59ae0/Cristian-Baez,56d59ae0,Argentina Liga Profesional
57,Franco Baldassarra,ARG,"MF,FW",Platense,24,1998,11.5,37.9,1.13,6.87,19.5,12.0,1.57,37.9,1.65,0.35,21.1,1.22,73.7,19.7,83.0,31.3,0.61,0.96,0.17,2.17,1.57,21.0,4.35,https://fbref.com/en/players/f559d2d7/Franco-Baldassarra,f559d2d7,Argentina Liga Profesional
58,Guillermo Balzi,ARG,"MF,FW",Newell's OB,21,2001,2.1,43.8,1.43,6.19,26.7,11.0,0.95,43.8,2.86,1.90,66.7,0.95,33.3,26.2,204.8,90.0,3.33,0.00,0.48,1.90,1.90,27.6,2.86,https://fbref.com/en/players/60194b77/Guillermo-Balzi,60194b77,Argentina Liga Profesional
59,Tiago Banega,ARG,MF,Arsenal,23,1999,10.9,57.2,1.93,9.54,38.6,8.99,0.55,57.2,1.56,0.37,23.5,1.19,76.5,23.1,86.9,41.6,0.64,0.73,0.00,1.47,0.92,35.0,1.74,https://fbref.com/en/players/b8131112/Tiago-Banega,b8131112,Argentina Liga Profesional
