Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Player Link_,Player ID_,Competition
11,Antony Iannarilli,ITA,GK,Ternana,33-021,1990,19,19,1710,19.0,1.42,1.42,4.53,3.16,74.4,0.21,0.32,0.47,0.11,10.5,0.26,0.26,0.00,0.00,0.0,https://fbref.com/en/players/731193c9/Antony-Iannarilli,731193c9,Serie B
12,Jesse Joronen,FIN,GK,Venezia,30-293,1993,10,10,900,10.0,1.00,1.00,3.50,2.50,77.1,0.40,0.50,0.10,0.40,40.0,0.20,0.20,0.00,0.00,0.0,https://fbref.com/en/players/7f66ea09/Jesse-Joronen,7f66ea09,Serie B
13,Andreas Jungdal,DEN,GK,Cremonese,21-320,2002,7,7,630,7.0,0.57,0.57,3.57,3.00,84.0,0.57,0.14,0.29,0.71,71.4,0.00,0.00,0.00,0.00,,https://fbref.com/en/players/66c6680a/Andreas-Jungdal,66c6680a,Serie B
14,Elhan Kastrati,ALB,GK,Cittadella,26-340,1997,18,18,1620,18.0,1.00,1.00,3.78,2.83,77.9,0.50,0.33,0.17,0.33,33.3,0.17,0.17,0.00,0.00,0.0,https://fbref.com/en/players/241b5471/Elhan-Kastrati,241b5471,Serie B
15,Luca Lezzerini,ITA,GK,Brescia,28-290,1995,17,17,1530,17.0,0.94,0.94,3.47,2.41,72.9,0.29,0.41,0.29,0.29,29.4,0.18,0.00,0.12,0.06,100.0,https://fbref.com/en/players/c9c32262/Luca-Lezzerini,c9c32262,Serie B
16,Luca Maniero,ITA,GK,Cittadella,28-210,1995,1,1,90,1.0,2.00,2.00,6.00,4.00,66.7,0.00,0.00,1.00,0.00,0.0,0.00,0.00,0.00,0.00,,https://fbref.com/en/players/bb8da280/Luca-Maniero,bb8da280,Serie B
17,Riccardo Melgrati,ITA,GK,Calcio Lecco 1912,29-205,1994,10,10,855,9.5,1.47,1.47,5.58,4.11,79.2,0.42,0.42,0.21,0.11,10.0,0.32,0.32,0.00,0.00,0.0,https://fbref.com/en/players/dc5b1097/Riccardo-Melgrati,dc5b1097,Serie B
18,Alessandro Micai,ITA,GK,Cosenza,30-168,1993,19,19,1710,19.0,1.11,1.11,3.95,2.84,73.3,0.26,0.32,0.42,0.37,36.8,0.05,0.05,0.00,0.00,0.0,https://fbref.com/en/players/6ab58a9b/Alessandro-Micai,6ab58a9b,Serie B
19,Mirko Pigliacelli,ITA,GK,Palermo,30-192,1993,19,19,1710,19.0,1.21,1.21,4.05,2.79,71.4,0.47,0.26,0.26,0.26,26.3,0.11,0.05,0.05,0.00,50.0,https://fbref.com/en/players/6ab82588/Mirko-Pigliacelli,6ab82588,Serie B
20,Marco Pissardo,ITA,GK,Bari,26-000,1998,1,0,31,0.3,3.33,2.90,3.33,0.00,0.0,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,https://fbref.com/en/players/73ba463e/Marco-Pissardo,73ba463e,Serie B
21,Semuel Pizzignacco,ITA,GK,FeralpiSalò,22-129,2001,19,19,1710,19.0,1.84,1.84,4.74,2.89,66.7,0.16,0.26,0.58,0.05,5.3,0.32,0.26,0.05,0.00,16.7,https://fbref.com/en/players/4f537cf7/Semuel-Pizzignacco,4f537cf7,Serie B
22,Giacomo Poluzzi,ITA,GK,Südtirol,35-317,1988,19,19,1710,19.0,1.47,1.47,3.95,2.47,66.7,0.26,0.26,0.47,0.16,15.8,0.16,0.16,0.00,0.00,0.0,https://fbref.com/en/players/07f55871/Giacomo-Poluzzi,07f55871,Serie B
23,Nicola Ravaglia,ITA,GK,Sampdoria,35-027,1988,1,1,90,1.0,1.00,1.00,4.00,3.00,75.0,0.00,1.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,,https://fbref.com/en/players/d7a35008/Nicola-Ravaglia,d7a35008,Serie B
24,Umberto Saracco,ITA,GK,Calcio Lecco 1912,29-273,1994,10,9,855,9.5,1.58,1.58,4.21,2.63,62.5,0.11,0.11,0.74,0.32,33.3,0.11,0.00,0.00,0.11,,https://fbref.com/en/players/a5894925/Umberto-Saracco,a5894925,Serie B
25,Mouhamadou Sarr,SEN,GK,Cremonese,27-003,1997,12,12,1080,12.0,1.00,1.00,3.75,2.75,75.6,0.42,0.33,0.25,0.25,25.0,0.17,0.08,0.08,0.00,50.0,https://fbref.com/en/players/b959a0d1/Mouhamadou-Sarr,b959a0d1,Serie B
26,Andrea Seculin,ITA,GK,Modena,33-178,1990,5,4,407,4.5,1.56,1.55,4.89,3.11,68.2,0.67,0.22,0.00,0.00,0.0,0.22,0.00,0.22,0.00,100.0,https://fbref.com/en/players/c4f573f4/Andrea-Seculin,c4f573f4,Serie B
27,Adrian Šemper,CRO,GK,Como,25-361,1998,19,19,1710,19.0,1.11,1.11,3.84,2.74,74.0,0.53,0.26,0.21,0.37,36.8,0.11,0.11,0.00,0.00,0.0,https://fbref.com/en/players/f02dde20/Adrian-Semper,f02dde20,Serie B
28,Filip Stankovic,SRB,GK,Sampdoria,21-317,2002,18,18,1620,18.0,1.33,1.33,4.28,2.94,70.1,0.39,0.17,0.44,0.22,22.2,0.06,0.06,0.00,0.00,0.0,https://fbref.com/en/players/d34d8ed2/Filip-Stankovic,d34d8ed2,Serie B
29,Emiliano Viviano,ITA,GK,Ascoli,38-038,1985,17,17,1503,16.7,1.32,1.32,3.65,2.28,70.5,0.24,0.30,0.48,0.30,29.4,0.42,0.24,0.06,0.12,20.0,https://fbref.com/en/players/03760df0/Emiliano-Viviano,03760df0,Serie B
30,Jeroen Zoet,NED,GK,Spezia,33-002,1991,6,6,540,6.0,1.17,1.17,5.00,4.00,80.0,0.33,0.33,0.33,0.33,33.3,0.17,0.17,0.00,0.00,0.0,https://fbref.com/en/players/cc1a0c57/Jeroen-Zoet,cc1a0c57,Serie B
