Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Player Link_,Player ID_,Competition
31,Anthony Patterson,ENG,GK,Sunderland,23-243,2000,26,26,2340,26.0,1.08,1.08,3.54,2.42,70.7,0.46,0.15,0.38,0.31,30.8,0.08,0.04,0.04,0.00,50.0,https://fbref.com/en/players/b2470c6f/Anthony-Patterson,b2470c6f,EFL Championship
32,Aynsley Pears,ENG,GK,Blackburn,25-260,1998,9,9,781,8.7,2.07,2.07,5.52,3.45,64.6,0.34,0.11,0.57,0.11,11.1,0.11,0.11,0.00,0.00,0.0,https://fbref.com/en/players/dfa084b2/Aynsley-Pears,dfa084b2,EFL Championship
33,John Ruddy,ENG,GK,Birmingham City,37-076,1986,26,26,2340,26.0,1.58,1.58,4.88,3.38,67.7,0.27,0.27,0.46,0.23,23.1,0.00,0.00,0.00,0.00,,https://fbref.com/en/players/da8b19e2/John-Ruddy,da8b19e2,EFL Championship
34,Carl Rushworth,ENG,GK,Swansea City,22-190,2001,26,26,2340,26.0,1.50,1.50,4.85,3.42,72.2,0.31,0.31,0.38,0.19,19.2,0.15,0.15,0.00,0.00,0.0,https://fbref.com/en/players/810912d5/Carl-Rushworth,810912d5,EFL Championship
35,Matija Šarkić,MNE,GK,Millwall,26-169,1997,12,12,1080,12.0,0.83,0.83,2.83,1.92,73.5,0.42,0.25,0.33,0.50,50.0,0.17,0.08,0.08,0.00,50.0,https://fbref.com/en/players/a89e7b29/Matija-Sarkic,a89e7b29,EFL Championship
36,Tommy Simkim,ENG,GK,Stoke City,19-031,2004,1,1,90,1.0,1.00,1.00,2.00,1.00,50.0,0.00,0.00,1.00,0.00,0.0,0.00,0.00,0.00,0.00,,https://fbref.com/en/players/ae7f5d8a/Tommy-Simkim,ae7f5d8a,EFL Championship
37,Jakub Stolarczyk,POL,GK,Leicester City,23-020,2000,1,1,90,1.0,0.00,0.00,3.00,3.00,100.0,1.00,0.00,0.00,1.00,100.0,0.00,0.00,0.00,0.00,,https://fbref.com/en/players/a4a76b3d/Jakub-Stolarczyk,a4a76b3d,EFL Championship
38,Mark Travers,IRL,GK,Stoke City,24-235,1999,13,13,1170,13.0,1.38,1.38,4.92,3.54,73.4,0.38,0.08,0.54,0.15,15.4,0.15,0.08,0.00,0.08,0.0,https://fbref.com/en/players/fe558029/Mark-Travers,fe558029,EFL Championship
39,Devis Vásquez,COL,GK,Sheffield Weds,25-241,1998,9,9,810,9.0,1.78,1.78,4.22,2.44,68.4,0.00,0.22,0.78,0.11,11.1,0.44,0.44,0.00,0.00,0.0,https://fbref.com/en/players/fac1f795/Devis-Vasquez,fac1f795,EFL Championship
40,Leopold Wahlstedt,SWE,GK,Blackburn,24-188,1999,18,17,1559,17.3,1.73,1.73,5.26,3.53,68.1,0.40,0.06,0.52,0.17,17.6,0.12,0.06,0.00,0.06,0.0,https://fbref.com/en/players/9b26a433/Leopold-Wahlstedt,9b26a433,EFL Championship
41,Ben Wilson,ENG,GK,Coventry City,31-152,1992,15,15,1350,15.0,1.40,1.40,3.93,2.53,66.1,0.20,0.40,0.40,0.20,20.0,0.07,0.07,0.00,0.00,0.0,https://fbref.com/en/players/0118dd71/Ben-Wilson,0118dd71,EFL Championship
42,Freddie Woodman,ENG,GK,Preston,26-310,1997,25,25,2250,25.0,1.68,1.68,4.28,2.64,62.6,0.40,0.20,0.40,0.12,12.0,0.08,0.08,0.00,0.00,0.0,https://fbref.com/en/players/19e50035/Freddie-Woodman,19e50035,EFL Championship
