Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Player Link_,Player ID_,Competition
468,Cameron Pring,ENG,DF,Bristol City,25-351,1998,23.7,70.7,4.30,21.6,34.4,15.5,1.05,70.7,2.15,1.05,49.0,0.93,43.1,32.7,204.8,105.7,2.78,1.81,0.46,1.73,1.10,38.1,2.78,https://fbref.com/en/players/01716c85/Cameron-Pring,01716c85,EFL Championship
469,Alex Pritchard,ENG,"MF,FW",Sunderland,30-250,1993,10.6,67.5,0.75,5.66,27.4,35.0,1.98,67.5,1.70,0.57,33.3,1.04,61.1,40.3,192.3,90.4,2.83,2.45,0.38,1.70,1.13,49.0,7.26,https://fbref.com/en/players/ff9fcd4d/Alex-Pritchard,ff9fcd4d,EFL Championship
470,Przemysław Płacheta,POL,"FW,DF",Norwich City,25-291,1998,5.1,55.7,1.37,10.4,20.0,25.7,2.94,55.7,1.76,0.39,22.2,1.18,66.7,30.2,195.5,83.7,3.92,1.18,0.39,1.96,0.20,34.7,10.6,https://fbref.com/en/players/3c33f9d9/Przemyslaw-Placheta,3c33f9d9,EFL Championship
471,Mileta Rajovic,DEN,FW,Watford,24-175,1999,14.0,25.0,0.79,2.36,12.8,10.0,3.43,25.0,0.64,0.14,22.2,0.50,77.8,11.5,39.1,12.0,0.21,0.43,0.14,2.00,0.93,17.1,3.21,https://fbref.com/en/players/229da5b2/Mileta-Rajovic,229da5b2,EFL Championship
472,Joe Ralls,ENG,MF,Cardiff City,30-088,1993,16.0,58.8,2.00,11.8,32.9,14.7,0.38,58.8,0.44,0.31,71.4,0.13,28.6,26.9,109.3,50.1,0.75,0.88,0.00,0.81,0.38,35.6,1.81,https://fbref.com/en/players/3730fcbc/Joe-Ralls,3730fcbc,EFL Championship
473,Calvin Ramsay,SCO,DF,Preston,20-161,2003,1.5,63.3,2.00,6.00,48.0,9.33,0.67,63.3,1.33,0.67,50.0,0.67,50.0,28.0,209.3,51.3,1.33,0.67,0.67,2.00,0.00,37.3,5.33,https://fbref.com/en/players/d720e834/Calvin-Ramsay,d720e834,EFL Championship
474,Aaron Ramsey,WAL,"MF,FW",Cardiff City,33-013,1990,5.5,68.9,0.91,11.3,37.3,21.1,2.18,68.7,2.00,1.09,54.5,0.55,27.3,40.2,204.5,85.8,2.55,1.82,0.36,2.73,0.18,47.6,5.09,https://fbref.com/en/players/ef619b0b/Aaron-Ramsey,ef619b0b,EFL Championship
475,Adam Randell,ENG,MF,Plymouth Argyle,23-099,2000,15.9,46.6,2.26,10.2,24.0,13.1,1.19,46.6,1.01,0.25,25.0,0.57,56.3,21.6,108.7,50.8,1.13,1.07,0.19,1.95,0.88,28.0,3.14,https://fbref.com/en/players/769ff238/Adam-Randell,769ff238,EFL Championship
476,Joe Rankin-Costello,ENG,"DF,MF",Blackburn,24-166,1999,9.2,57.9,2.28,16.3,23.4,18.8,4.67,57.9,1.63,0.87,53.3,0.65,40.0,30.4,139.1,55.9,1.30,0.65,0.54,2.07,0.98,39.7,6.30,https://fbref.com/en/players/60f63958/Joe-Rankin-Costello,60f63958,EFL Championship
477,Oliver Rathbone,ENG,MF,Rotherham Utd,27-090,1996,24.4,44.6,2.21,9.67,21.1,14.6,1.07,44.6,2.05,0.82,40.0,1.15,56.0,21.8,129.0,52.9,1.72,1.52,0.25,1.97,0.61,23.0,2.01,https://fbref.com/en/players/a645e8c9/Oliver-Rathbone,a645e8c9,EFL Championship
478,Adam Reach,ENG,"FW,MF",West Brom,30-339,1993,0.5,54.0,4.00,16.0,14.0,24.0,2.00,54.0,0.00,0.00,,0.00,,36.0,124.0,34.0,0.00,0.00,0.00,4.00,2.00,38.0,18.0,https://fbref.com/en/players/33a2d4dc/Adam-Reach,33a2d4dc,EFL Championship
479,Seb Revan,ENG,"DF,MF",Rotherham Utd,20-178,2003,14.1,43.9,3.69,17.8,16.8,9.65,1.13,43.9,1.63,0.43,26.1,1.21,73.9,20.0,106.3,50.1,0.99,0.64,0.21,1.35,0.85,20.1,1.99,https://fbref.com/en/players/8525ec2a/Seb-Revan,8525ec2a,EFL Championship
480,Taylor Richards,ENG,"MF,FW",QPR,23-035,2000,0.6,43.3,0.00,5.00,16.7,21.7,3.33,43.3,5.00,3.33,66.7,1.67,33.3,38.3,301.7,128.3,1.67,1.67,0.00,0.00,3.33,43.3,10.0,https://fbref.com/en/players/e0243d23/Taylor-Richards,e0243d23,EFL Championship
481,Chris Rigg,ENG,"MF,FW",Sunderland,16-204,2007,1.0,43.0,1.00,11.0,22.0,10.0,2.00,43.0,0.00,0.00,,0.00,,21.0,167.0,81.0,3.00,1.00,0.00,3.00,0.00,26.0,2.00,https://fbref.com/en/players/35741fe2/Chris-Rigg,35741fe2,EFL Championship
482,Emil Riis Jakobsen,DEN,"FW,MF",Preston,25-198,1998,0.3,26.7,0.00,0.00,6.67,20.0,0.00,26.7,3.33,0.00,0.0,3.33,100.0,13.3,26.7,6.67,0.00,0.00,0.00,10.0,0.00,20.0,10.0,https://fbref.com/en/players/292cdb26/Emil-Riis-Jakobsen,292cdb26,EFL Championship
483,Andy Rinomhota,ZIM,FW,Cardiff City,26-262,1997,0.1,30.0,0.00,10.0,10.0,10.0,0.00,30.0,10.0,0.00,0.0,10.0,100.0,30.0,180.0,0.00,0.00,0.00,0.00,10.0,10.0,30.0,0.00,https://fbref.com/en/players/e9bfd3cf/Andy-Rinomhota,e9bfd3cf,EFL Championship
484,Haydon Roberts,ENG,"DF,FW",Bristol City,21-243,2002,1.8,62.2,1.11,11.7,32.2,18.3,2.22,62.2,0.56,0.56,100.0,0.00,0.0,33.3,186.1,92.8,3.89,1.11,0.00,1.11,1.67,41.1,6.67,https://fbref.com/en/players/a731e8a0/Haydon-Roberts,a731e8a0,EFL Championship
485,Marc Roberts,ENG,DF,Birmingham City,33-166,1990,4.9,62.0,7.14,35.1,22.9,4.29,1.63,62.0,0.41,0.20,50.0,0.20,50.0,29.8,126.1,60.0,0.00,0.20,0.20,0.20,0.20,38.6,0.20,https://fbref.com/en/players/51907c14/Marc-Roberts,51907c14,EFL Championship
486,Patrick Roberts,ENG,"MF,FW",Sunderland,26-337,1997,16.9,68.7,0.71,5.44,27.9,36.4,5.68,68.7,6.75,3.25,48.2,3.25,48.2,46.4,334.5,174.0,5.92,4.50,2.78,2.25,1.54,54.6,9.94,https://fbref.com/en/players/59d93937/Patrick-Roberts,59d93937,EFL Championship
