Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Player Link_,Player ID_,Competition
156,Cameron Congreve,WAL,FW,Swansea City,19-349,2004,0,,,,,0,,0,0,,14,,,,,,,,,,,,https://fbref.com/en/players/1a58621c/Cameron-Congreve,1a58621c,EFL Championship
157,Aaron Connolly,IRL,FW,Hull City,23-345,2000,23,1134,49,48.5,12.6,0.95,75,0.32,0.87,22,0.24,1.43,1.51,1.19,0.32,+0.32,+0.32,1.30,1.32,-0.02,-0.01,-0.47,https://fbref.com/en/players/27c01749/Aaron-Connolly,27c01749,EFL Championship
158,Tommy Conway,ENG,FW,Bristol City,21-155,2002,19,1124,59,48.0,12.5,1.04,74,0.16,0.48,26,0.00,1.32,1.12,1.12,0.00,0.00,-0.15,0.99,0.95,0.04,+0.04,-0.01,https://fbref.com/en/players/746a92c5/Tommy-Conway,746a92c5,EFL Championship
159,Steve Cook,ENG,DF,QPR,32-264,1991,17,1358,80,58.0,15.1,1.06,84,0.79,0.07,8,0.07,1.06,0.93,1.13,-0.20,-0.20,+0.99,0.89,1.15,-0.26,-0.27,+0.47,https://fbref.com/en/players/3e5e4e63/Steve-Cook,3e5e4e63,EFL Championship
160,Brandon Cooper,WAL,DF,Swansea City,23-359,2000,0,,,,,0,,0,0,,2,,,,,,,,,,,,https://fbref.com/en/players/71e7f875/Brandon-Cooper,71e7f875,EFL Championship
161,Jake Cooper,ENG,DF,Millwall,28-339,1995,24,2160,90,92.3,24.0,1.00,90,1.00,0.00,,0.04,1.33,1.13,1.13,0.00,0.00,+1.50,1.05,1.28,-0.23,-0.22,-0.06,https://fbref.com/en/players/aa7dfc40/Jake-Cooper,aa7dfc40,EFL Championship
162,Liam Cooper,SCO,DF,Leeds United,32-131,1991,12,641,53,27.4,7.1,0.99,83,0.70,0.70,12,1.27,2.00,1.55,1.27,0.28,+0.28,-0.67,1.66,1.21,0.45,+0.44,-0.52,https://fbref.com/en/players/dc64b8b3/Liam-Cooper,dc64b8b3,EFL Championship
163,Michael Cooper,ENG,GK,Plymouth Argyle,24-092,1999,9,810,90,34.6,9.0,1.00,90,1.00,0.00,,0.00,1.22,1.44,1.56,-0.11,-0.11,-0.05,1.09,1.82,-0.73,-0.74,-0.44,https://fbref.com/en/players/17186929/Michael-Cooper,17186929,EFL Championship
164,Oliver Cooper,WAL,"FW,MF",Swansea City,24-025,1999,18,578,32,24.7,6.4,0.63,76,0.16,2.19,20,0.78,0.89,1.56,2.81,-1.25,-1.25,-1.45,1.25,2.13,-0.87,-0.88,-0.65,https://fbref.com/en/players/d3813344/Oliver-Cooper,d3813344,EFL Championship
165,David Cornell,WAL,GK,Preston,32-286,1991,1,90,90,3.8,1.0,1.00,90,1.00,0.00,,25.0,0.00,1.00,2.00,-1.00,-1.00,-0.52,0.40,0.80,-0.40,-0.38,+0.03,https://fbref.com/en/players/0c9aad01/David-Cornell,0c9aad01,EFL Championship
