Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Player Link_,Player ID_,Competition
280,Gustavo Gómez,PAR,DF,Palmeiras,29,1993,30.7,1.01,1.01,0.78,0.00,0.00,0.16,0.00,0.07,0.16,0.16,0.10,0.00,0.00,0.07,0.00,0.00,https://fbref.com/en/players/d5ce52a5/Gustavo-Gomez,d5ce52a5,Brazilian Serie A
281,Sebastián Gómez,COL,MF,Coritiba,26,1996,15.9,1.19,1.20,0.88,0.13,0.00,0.06,0.06,0.06,0.19,0.19,0.06,0.00,0.00,0.06,0.06,0.00,https://fbref.com/en/players/233de573/Sebastian-Gomez,233de573,Brazilian Serie A
282,Aloísio dos Santos Gonçalves,CHN,"FW,MF",América (MG),34,1988,8.0,3.25,3.26,2.00,0.00,0.63,0.38,0.25,0.00,0.50,0.50,0.25,0.00,0.00,0.25,0.00,0.00,https://fbref.com/en/players/9851b2e0/Aloisio-dos-Santos-Goncalves,9851b2e0,Brazilian Serie A
283,Diego Gonçalves,BRA,"FW,MF",Goiás,28,1994,4.0,2.75,2.78,2.25,0.00,0.00,0.25,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/c707fc37/Diego-Goncalves,c707fc37,Brazilian Serie A
284,Mateus Gonçalves Martins,BRA,"MF,FW",América (MG),28,1994,0.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/20e9c1c7/Mateus-Goncalves-Martins,20e9c1c7,Brazilian Serie A
285,Matheus Gonçalves,BRA,"FW,MF",Flamengo,17,2005,0.2,10.0,11.25,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/071a6836/Matheus-Goncalves,071a6836,Brazilian Serie A
286,Matheus Gonçalves,BRA,"FW,MF",Bragantino,17,2005,5.1,6.08,6.04,3.73,0.59,0.59,0.39,0.78,0.00,0.78,0.78,0.20,0.00,0.20,0.00,0.39,0.00,https://fbref.com/en/players/071a6836/Matheus-Goncalves,071a6836,Brazilian Serie A
287,Yony González,COL,"FW,MF",Fluminense,28,1994,6.4,1.72,1.72,1.56,0.00,0.00,0.00,0.00,0.16,0.16,0.16,0.16,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/c6c88c7d/Yony-Gonzalez,c6c88c7d,Brazilian Serie A
288,Roger Guedes,BRA,"FW,MF",Corinthians,26,1996,15.0,3.07,3.07,2.27,0.13,0.13,0.27,0.27,0.00,0.20,0.20,0.20,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/612a9dd7/Roger-Guedes,612a9dd7,Brazilian Serie A
289,Guga,BRA,DF,Fluminense,24,1998,16.8,2.50,2.50,2.14,0.24,0.00,0.00,0.06,0.06,0.30,0.30,0.30,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/6975a3e1/Guga,6975a3e1,Brazilian Serie A
290,Guilherme,BRA,MF,Goiás,31,1991,20.6,4.81,4.81,1.99,2.38,0.10,0.19,0.10,0.05,0.39,0.39,0.05,0.29,0.00,0.05,0.00,0.00,https://fbref.com/en/players/9e61c019/Guilherme,9e61c019,Brazilian Serie A
291,Guilherme,BRA,"FW,MF",Fortaleza,27,1995,15.7,3.06,3.06,1.91,0.25,0.25,0.38,0.19,0.06,0.25,0.25,0.25,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/58649f05/Guilherme,58649f05,Brazilian Serie A
292,Guilherme,BRA,"DF,MF",Bragantino,20,2002,2.9,0.69,0.69,0.34,0.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/54974698/Guilherme,54974698,Brazilian Serie A
293,Luis Guilherme,BRA,"FW,MF",Palmeiras,16,2006,6.4,4.69,4.70,2.66,0.63,0.63,0.00,0.63,0.16,0.31,0.31,0.16,0.00,0.00,0.00,0.16,0.00,https://fbref.com/en/players/b7672d43/Luis-Guilherme,b7672d43,Brazilian Serie A
294,Gustavinho,BRA,"FW,MF",Grêmio,21,2001,0.4,2.50,2.81,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/69896b0e/Gustavinho,69896b0e,Brazilian Serie A
295,Gustavinho,BRA,"MF,FW",Bragantino,18,2004,7.4,1.89,1.90,1.35,0.00,0.27,0.14,0.14,0.00,0.14,0.14,0.00,0.00,0.00,0.14,0.00,0.00,https://fbref.com/en/players/9525ddcd/Gustavinho,9525ddcd,Brazilian Serie A
296,Raphael Guzzo,POR,MF,Goiás,28,1995,6.4,3.28,3.28,2.19,0.47,0.00,0.47,0.00,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/2f002854/Raphael-Guzzo,2f002854,Brazilian Serie A
297,Lucas Halter,BRA,DF,Goiás,22,2000,28.7,0.98,0.98,0.80,0.07,0.00,0.07,0.00,0.03,0.07,0.07,0.07,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/7aa882a2/Lucas-Halter,7aa882a2,Brazilian Serie A
298,Hayner,BRA,"DF,MF",Coritiba,27,1995,3.4,2.06,2.07,1.76,0.00,0.00,0.00,0.29,0.00,0.29,0.30,0.29,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/246c7429/Hayner,246c7429,Brazilian Serie A
299,Thiago Heleno,BRA,DF,Ath Paranaense,34,1988,30.9,0.65,0.65,0.61,0.03,0.00,0.00,0.00,0.00,0.06,0.06,0.06,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/827422f9/Thiago-Heleno,827422f9,Brazilian Serie A
300,Helinho,BRA,FW,Bragantino,22,2000,15.4,5.19,5.20,3.38,0.58,0.58,0.19,0.39,0.06,0.39,0.39,0.26,0.06,0.00,0.00,0.06,0.00,https://fbref.com/en/players/5837cb60/Helinho,5837cb60,Brazilian Serie A
301,Henrique,BRA,DF,Coritiba,36,1986,22.5,0.49,0.49,0.31,0.04,0.00,0.04,0.00,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/429163de/Henrique,429163de,Brazilian Serie A
302,Bruno Henrique,BRA,"FW,MF",Flamengo,32,1990,17.1,2.69,2.68,1.93,0.00,0.35,0.23,0.18,0.00,0.35,0.35,0.12,0.00,0.18,0.00,0.06,0.00,https://fbref.com/en/players/5edff24f/Bruno-Henrique,5edff24f,Brazilian Serie A
303,Bruno Henrique,BRA,MF,Internacional,33,1989,11.7,3.76,3.77,2.74,0.51,0.00,0.17,0.34,0.00,0.17,0.17,0.17,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/5a43b021/Bruno-Henrique,5a43b021,Brazilian Serie A
304,Dalbert Henrique,BRA,DF,Internacional,29,1993,5.5,1.64,1.63,1.09,0.36,0.00,0.00,0.18,0.00,0.18,0.18,0.00,0.18,0.00,0.00,0.00,0.00,https://fbref.com/en/players/f45f9427/Dalbert-Henrique,f45f9427,Brazilian Serie A
305,Fernando Henrique,BRA,MF,Cruzeiro,21,2001,1.5,4.67,4.77,2.67,0.00,0.00,1.33,0.67,0.00,0.67,0.68,0.67,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/004fbf01/Fernando-Henrique,004fbf01,Brazilian Serie A
306,Luis Henrique,BRA,"FW,MF",Botafogo (RJ),21,2001,15.3,3.99,3.96,3.27,0.00,0.59,0.07,0.07,0.00,0.52,0.52,0.26,0.00,0.20,0.00,0.07,0.00,https://fbref.com/en/players/f36d5624/Luis-Henrique,f36d5624,Brazilian Serie A
307,Mateus Henrique,BRA,DF,América (MG),20,2002,6.0,2.00,2.01,1.83,0.00,0.17,0.00,0.00,0.00,0.50,0.50,0.33,0.00,0.17,0.00,0.00,0.00,https://fbref.com/en/players/cee3597c/Mateus-Henrique,cee3597c,Brazilian Serie A
308,Paulo Henrique,BRA,DF,Vasco da Gama,26,1996,9.5,3.05,3.07,2.32,0.32,0.32,0.11,0.00,0.00,0.21,0.21,0.21,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/25a0cb08/Paulo-Henrique,25a0cb08,Brazilian Serie A
309,Pedro Henrique,BRA,DF,Ath Paranaense,27,1995,9.5,0.53,0.53,0.42,0.00,0.00,0.00,0.00,0.11,0.11,0.11,0.11,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/4322e5d7/Pedro-Henrique,4322e5d7,Brazilian Serie A
310,Pedro Henrique,BRA,"FW,MF",Internacional,32,1990,14.1,3.33,3.33,1.91,0.07,0.35,0.43,0.50,0.07,0.43,0.43,0.21,0.00,0.07,0.00,0.07,0.07,https://fbref.com/en/players/460976a2/Pedro-Henrique,460976a2,Brazilian Serie A
311,Breno Herculano,BRA,"FW,MF",Goiás,23,1999,0.9,1.11,1.15,1.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/83b2c094/Breno-Herculano,83b2c094,Brazilian Serie A
312,Hércules,BRA,MF,Fortaleza,22,2000,8.6,1.98,1.98,1.51,0.00,0.12,0.12,0.00,0.23,0.12,0.12,0.00,0.00,0.00,0.00,0.00,0.12,https://fbref.com/en/players/eadc7b45/Hercules,eadc7b45,Brazilian Serie A
313,Diego Hernández,URU,FW,Botafogo (RJ),22,2000,0.5,2.00,2.20,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/279cc0e8/Diego-Hernandez,279cc0e8,Brazilian Serie A
314,Nicolás Hernández,COL,DF,Internacional,25,1998,14.4,0.83,0.83,0.69,0.00,0.00,0.07,0.07,0.00,0.21,0.21,0.21,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/86046c18/Nicolas-Hernandez,86046c18,Brazilian Serie A
315,Higor,BRA,MF,Goiás,28,1994,2.5,0.40,0.40,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/fb8b684d/Higor,fb8b684d,Brazilian Serie A
316,Lucca Holanda,BRA,FW,Internacional,19,2003,6.1,3.11,3.10,2.13,0.00,0.16,0.33,0.33,0.16,0.16,0.16,0.16,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/c3604b27/Lucca-Holanda,c3604b27,Brazilian Serie A
317,Hugo,BRA,DF,Goiás,25,1997,15.8,2.09,2.09,1.58,0.44,0.06,0.00,0.00,0.00,0.06,0.06,0.06,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/bd2593f3/Hugo,bd2593f3,Brazilian Serie A
318,Hugo,BRA,DF,Botafogo (RJ),21,2001,15.5,2.32,2.32,1.61,0.71,0.00,0.00,0.00,0.00,0.13,0.13,0.13,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/de3dc682/Hugo,de3dc682,Brazilian Serie A
319,Victor Hugo,BRA,"MF,FW",Flamengo,18,2004,14.2,2.32,2.33,1.69,0.07,0.28,0.28,0.00,0.00,0.21,0.21,0.21,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/33fca7f7/Victor-Hugo,33fca7f7,Brazilian Serie A
320,Vitor Hugo,BRA,DF,Bahia,31,1991,23.7,0.59,0.59,0.51,0.00,0.00,0.04,0.00,0.04,0.04,0.04,0.04,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/f2c1300a/Vitor-Hugo,f2c1300a,Brazilian Serie A
