Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Player Link_,Player ID_,Competition
13,Alexandre Alemão,BRA,FW,Internacional,24,1998,9,340,38,9.9,3.8,0.79,66,0.26,1.58,24,0.79,1.56,0.79,0.79,0.00,0.00,-0.03,1.13,1.34,-0.24,-0.23,-0.11,https://fbref.com/en/players/3ed2a79b/Alexandre-Alemao,3ed2a79b,Brazilian Serie A
14,Alerrandro,BRA,"FW,MF",Bragantino,23,2000,14,405,29,11.8,4.5,0.44,64,0.00,2.67,23,2.22,1.43,1.33,0.44,0.89,+0.89,+0.59,1.91,0.82,1.11,+1.10,+0.80,https://fbref.com/en/players/3415a44d/Alerrandro,3415a44d,Brazilian Serie A
15,Alesson,BRA,"FW,MF",Goiás,23,1999,23,655,28,19.2,7.3,0.41,59,0.00,2.74,24,1.64,0.61,1.23,1.92,-0.68,-0.69,-0.30,1.08,1.59,-0.51,-0.50,-0.31,https://fbref.com/en/players/611e984e/Alesson,611e984e,Brazilian Serie A
16,Alex,BRA,DF,Santos,23,1999,6,455,76,13.3,5.1,0.98,90,0.98,0.20,5,1.18,0.83,0.59,1.57,-0.98,-0.99,-0.38,0.90,1.22,-0.31,-0.31,-0.09,https://fbref.com/en/players/7367baf7/Alex,7367baf7,Brazilian Serie A
17,Caio Alexandre,BRA,MF,Fortaleza,23,1999,34,2624,77,76.7,29.2,1.10,81,0.51,0.07,21,0.10,1.47,1.30,1.06,0.24,+0.24,+0.92,1.38,1.12,0.26,+0.26,+0.23,https://fbref.com/en/players/08ac23b7/Caio-Alexandre,08ac23b7,Brazilian Serie A
18,Matheus Alexandre,BRA,DF,Cuiabá,23,1999,35,2980,85,87.1,33.1,1.00,89,0.94,0.06,17,0.06,1.43,1.12,0.91,0.21,+0.21,+1.44,1.02,1.02,0.00,0.00,+0.73,https://fbref.com/en/players/0212e748/Matheus-Alexandre,0212e748,Brazilian Serie A
19,Alexsander,BRA,"MF,DF",Fluminense,19,2003,19,1194,63,34.9,13.3,0.98,75,0.45,0.45,38,0.30,1.32,0.90,1.20,-0.30,-0.30,-0.62,1.08,1.34,-0.27,-0.27,-0.50,https://fbref.com/en/players/b13e7a78/Alexsander,b13e7a78,Brazilian Serie A
20,Alison,BRA,MF,Santos,29,1993,5,136,27,4.0,1.5,1.33,51,0.00,2.00,11,3.33,2.20,0.67,0.67,0.00,0.00,+0.69,1.00,1.80,-0.80,-0.79,-0.59,https://fbref.com/en/players/d39b373b/Alison,d39b373b,Brazilian Serie A
21,Alisson,BRA,"MF,DF",Atlético Mineiro,17,2005,5,49,10,1.4,0.5,0.00,,0.00,10.0,10,36.0,0.20,0.00,2.00,-2.00,-1.84,-2.40,1.20,0.80,0.40,+0.36,+0.21,https://fbref.com/en/players/d26ee8de/Alisson,d26ee8de,Brazilian Serie A
22,Alisson,BRA,"MF,FW",São Paulo,29,1993,35,2153,62,63.0,23.9,1.09,75,0.29,0.38,23,0.08,1.49,1.05,0.79,0.25,+0.25,+0.53,1.23,0.85,0.38,+0.38,+0.14,https://fbref.com/en/players/99139fa4/Alisson,99139fa4,Brazilian Serie A
23,Allan,BRA,MF,Flamengo,25,1997,9,482,54,14.1,5.4,0.74,87,0.56,0.93,27,0.37,1.11,1.11,1.30,-0.19,-0.19,-0.65,1.44,1.22,0.22,+0.23,+0.12,https://fbref.com/en/players/b15e93aa/Allan,b15e93aa,Brazilian Serie A
24,Allano,BRA,FW,Goiás,27,1995,19,1237,65,36.2,13.7,1.09,75,0.22,0.29,28,0.00,1.26,0.73,1.02,-0.29,-0.29,+0.24,0.84,1.01,-0.18,-0.17,+0.12,https://fbref.com/en/players/9c1245f8/Allano,9c1245f8,Brazilian Serie A
25,Henrique Almeida,BRA,FW,América (MG),31,1991,4,156,39,4.6,1.7,1.18,62,0.00,1.18,17,1.76,0.75,1.76,2.94,-1.18,-1.15,-0.13,1.24,3.12,-1.94,-1.88,-1.53,https://fbref.com/en/players/8aa2f2e3/Henrique-Almeida,8aa2f2e3,Brazilian Serie A
26,Kayky Almeida,BRA,DF,Fluminense,17,2005,0,,,,,0,,0,0,,3,,,,,,,,,,,,https://fbref.com/en/players/4a8d8800/Kayky-Almeida,4a8d8800,Brazilian Serie A
27,Felipe Alves Raymundo,BRA,GK,São Paulo,34,1988,0,,,,,0,,0,0,,2,,,,,,,,,,,,https://fbref.com/en/players/7fbe8689/Felipe-Alves-Raymundo,7fbe8689,Brazilian Serie A
28,Rodrigo Alves,BRA,MF,Vasco da Gama,20,2002,8,352,44,10.3,3.9,1.03,74,0.51,1.03,14,0.51,0.75,1.28,2.31,-1.03,-1.02,-0.85,1.10,1.56,-0.46,-0.47,-0.57,https://fbref.com/en/players/642defee/Rodrigo-Alves,642defee,Brazilian Serie A
29,Amorim,BRA,MF,Fortaleza,17,2005,0,,,,,0,,0,0,,4,,,,,,,,,,,,https://fbref.com/en/players/87c4d798/Amorim,87c4d798,Brazilian Serie A
30,Anderson,BRA,GK,Cruzeiro,24,1998,1,90,90,2.6,1.0,1.00,90,1.00,0.00,,34.0,1.33,1.00,0.00,1.00,+1.00,+0.95,0.90,0.10,0.80,+0.84,+0.69,https://fbref.com/en/players/29d862d4/Anderson,29d862d4,Brazilian Serie A
31,Anderson,BRA,"FW,MF",Goiás,24,1998,20,1291,65,37.7,14.3,1.26,70,0.21,0.14,14,0.07,1.10,0.84,0.84,0.00,0.00,+0.72,0.93,0.87,0.06,+0.05,+0.48,https://fbref.com/en/players/4242a0a1/Anderson,4242a0a1,Brazilian Serie A
32,André,BRA,DF,Bahia,19,2003,3,125,42,3.7,1.4,0.71,90,0.71,1.43,18,2.86,0.33,0.71,0.71,0.00,0.00,+0.08,1.21,1.71,-0.50,-0.51,-0.51,https://fbref.com/en/players/bfe1565f/Andre,bfe1565f,Brazilian Serie A
33,André,BRA,"MF,DF",Fluminense,21,2001,31,2649,85,77.5,29.4,0.99,89,0.95,0.07,27,0.00,1.48,1.43,1.26,0.17,+0.17,+0.29,1.31,1.34,-0.03,-0.03,-0.39,https://fbref.com/en/players/ec604e2c/Andre,ec604e2c,Brazilian Serie A
34,Marcos André,BRA,DF,Ath Paranaense,16,2006,0,,,,,0,,0,0,,5,,,,,,,,,,,,https://fbref.com/en/players/133ef8d6/Marcos-Andre,133ef8d6,Brazilian Serie A
35,Anthoni,BRA,GK,Internacional,21,2002,0,,,,,0,,0,0,,7,,,,,,,,,,,,https://fbref.com/en/players/a0b17b31/Anthoni,a0b17b31,Brazilian Serie A
36,Maurício Antônio,BRA,DF,Coritiba,30,1992,3,180,60,5.3,2.0,0.50,90,0.50,1.00,45,1.50,0.33,1.00,1.50,-0.50,-0.50,+0.36,0.90,1.80,-0.85,-0.87,-0.32,https://fbref.com/en/players/0bd71531/Mauricio-Antonio,0bd71531,Brazilian Serie A
37,Apodi,BRA,"FW,MF",Goiás,36,1986,13,382,29,11.2,4.2,0.48,66,0.00,2.62,23,4.76,0.62,1.43,2.62,-1.19,-1.18,-0.82,1.31,1.69,-0.40,-0.39,-0.16,https://fbref.com/en/players/affbe6bc/Apodi,affbe6bc,Brazilian Serie A
38,Guilherme Arana,BRA,DF,Atlético Mineiro,25,1997,28,2385,85,69.7,26.5,1.02,87,0.87,0.04,23,0.04,1.75,1.43,0.83,0.60,+0.60,+0.26,1.17,1.12,0.05,+0.05,-0.36,https://fbref.com/en/players/2b15a82a/Guilherme-Arana,2b15a82a,Brazilian Serie A
39,Charles Aránguiz,CHI,MF,Internacional,33,1989,22,1267,58,37.0,14.1,1.13,69,0.07,0.43,28,0.07,1.32,1.77,1.06,0.71,+0.71,+1.09,1.35,0.89,0.46,+0.47,+0.94,https://fbref.com/en/players/56413b1f/Charles-Aranguiz,56413b1f,Brazilian Serie A
40,Luiz Araújo,BRA,"FW,MF",Flamengo,26,1996,20,785,39,23.0,8.7,1.15,62,0.34,1.15,16,0.11,1.65,1.84,1.15,0.69,+0.69,+0.41,1.26,1.16,0.10,+0.10,-0.03,https://fbref.com/en/players/fa18c72e/Luiz-Araujo,fa18c72e,Brazilian Serie A
41,Matheus Araújo,BRA,"MF,FW",Corinthians,20,2002,16,584,37,17.1,6.5,0.46,73,0.15,2.00,28,2.15,1.38,1.23,1.38,-0.15,-0.15,-0.15,1.34,1.57,-0.23,-0.24,0.00,https://fbref.com/en/players/2b0a4a75/Matheus-Araujo,2b0a4a75,Brazilian Serie A
42,Michel Araujo,URU,"FW,MF",São Paulo,26,1996,32,1768,55,51.7,19.6,0.97,77,0.41,0.66,23,0.05,1.34,1.12,1.28,-0.15,-0.15,-0.43,1.45,1.04,0.42,+0.42,+0.19,https://fbref.com/en/players/1159e4ae/Michel-Araujo,1159e4ae,Brazilian Serie A
43,Éberth Araújo Nogueira,BRA,FW,Coritiba,19,2003,1,25,25,0.7,0.3,0.00,,0.00,3.33,25,0.00,0.00,0.00,0.00,0.00,0.00,+0.85,0.67,0.00,0.67,+0.81,+1.39,https://fbref.com/en/players/6e60f591/Eberth-Araujo-Nogueira,6e60f591,Brazilian Serie A
44,Robert Arboleda,ECU,DF,São Paulo,31,1991,20,1721,86,50.3,19.1,0.99,90,0.99,0.05,11,0.10,1.43,0.99,0.73,0.26,+0.26,+0.42,1.41,0.85,0.55,+0.55,+0.46,https://fbref.com/en/players/269dbfc6/Robert-Arboleda,269dbfc6,Brazilian Serie A
45,Jhon Arias,COL,"FW,MF",Fluminense,25,1997,29,2385,82,69.7,26.5,0.98,87,0.83,0.11,38,0.04,1.45,1.40,1.13,0.26,+0.26,+0.53,1.38,1.27,0.11,+0.11,+0.19,https://fbref.com/en/players/86d96066/Jhon-Arias,86d96066,Brazilian Serie A
46,Arielson,BRA,FW,Cruzeiro,18,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,,https://fbref.com/en/players/3e743d2d/Arielson,3e743d2d,Brazilian Serie A
47,Luciano Arriagada,CHI,"FW,MF",Ath Paranaense,20,2002,10,190,19,5.6,2.1,0.48,61,0.00,4.29,14,9.05,1.10,0.95,0.00,0.95,+0.95,+0.78,1.81,1.14,0.62,+0.63,+0.54,https://fbref.com/en/players/e198a544/Luciano-Arriagada,e198a544,Brazilian Serie A
48,Arthur,BRA,"FW,MF",Cruzeiro,24,1998,20,1350,68,39.5,15.0,1.13,73,0.13,0.20,38,0.07,1.10,0.67,0.80,-0.13,-0.13,-0.35,1.20,0.89,0.31,+0.31,+0.25,https://fbref.com/en/players/184ad240/Arthur,184ad240,Brazilian Serie A
49,Arthur,BRA,DF,América (MG),19,2003,1,90,90,2.6,1.0,1.00,90,1.00,0.00,,0.00,0.00,2.00,3.00,-1.00,-1.00,+0.03,1.80,1.80,0.00,-0.01,+0.41,https://fbref.com/en/players/8a958856/Arthur,8a958856,Brazilian Serie A
50,Arthur,BRA,"DF,FW",Fluminense,18,2004,2,20,10,0.6,0.2,0.00,,0.00,10.0,10,25.0,0.00,0.00,5.00,-5.00,-4.50,-4.63,4.00,0.50,3.50,+2.96,+2.93,https://fbref.com/en/players/0339468c/Arthur,0339468c,Brazilian Serie A
51,Artur,BRA,FW,Palmeiras,24,1998,31,1896,61,55.4,21.1,1.04,76,0.19,0.43,24,0.19,2.06,1.99,0.76,1.23,+1.23,+0.94,1.51,0.73,0.78,+0.78,+0.70,https://fbref.com/en/players/105132cd/Artur,105132cd,Brazilian Serie A
52,Ataíde,BRA,MF,Ath Paranaense,19,2004,0,,,,,0,,0,0,,7,,,,,,,,,,,,https://fbref.com/en/players/e0bfc51b/Ataide,e0bfc51b,Brazilian Serie A
53,Eduard Atuesta,COL,MF,Palmeiras,25,1997,1,5,5,0.1,0.1,0.00,,0.00,10.0,5,30.0,1.00,0.00,0.00,0.00,0.00,-0.82,0.00,0.00,0.00,0.00,-0.47,https://fbref.com/en/players/60990b81/Eduard-Atuesta,60990b81,Brazilian Serie A
54,Felipe Augusto,BRA,"FW,MF",Corinthians,18,2004,15,322,21,9.4,3.6,0.56,62,0.00,3.61,15,4.72,1.13,0.83,1.94,-1.11,-1.12,-1.21,1.17,1.83,-0.67,-0.66,-0.47,https://fbref.com/en/players/1f9cbd0b/Felipe-Augusto,1f9cbd0b,Brazilian Serie A
55,Filipe Augusto,BRA,MF,Cuiabá,29,1993,27,1065,39,31.1,11.8,0.76,73,0.17,1.53,23,0.42,1.30,1.44,1.27,0.17,+0.17,+0.21,1.19,1.25,-0.05,-0.05,+0.06,https://fbref.com/en/players/0e34de55/Filipe-Augusto,0e34de55,Brazilian Serie A
56,Renato Augusto,BRA,MF,Corinthians,34,1988,24,1282,53,37.5,14.2,1.13,66,0.14,0.56,29,0.00,1.54,1.48,1.41,0.07,+0.07,+0.15,1.04,1.18,-0.14,-0.14,+0.15,https://fbref.com/en/players/83a6367a/Renato-Augusto,83a6367a,Brazilian Serie A
57,Danilo Avelar,BRA,DF,América (MG),33,1989,26,1984,76,58.0,22.0,1.09,82,0.68,0.09,9,0.23,0.77,1.36,2.05,-0.68,-0.68,+0.82,1.18,1.43,-0.25,-0.26,+0.39,https://fbref.com/en/players/eacb45fd/Danilo-Avelar,eacb45fd,Brazilian Serie A
58,Felipe Azevedo,BRA,"FW,MF",América (MG),36,1987,30,1748,58,51.1,19.4,1.29,65,0.10,0.26,26,0.15,0.67,0.98,1.91,-0.93,-0.93,+0.20,1.20,1.45,-0.26,-0.26,+0.34,https://fbref.com/en/players/4a22b15a/Felipe-Azevedo,4a22b15a,Brazilian Serie A
59,Leo Azevedo,BRA,MF,Palmeiras,18,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,,https://fbref.com/en/players/4f0e049d/Leo-Azevedo,4f0e049d,Brazilian Serie A
60,Matheus Babi,BRA,FW,Goiás,25,1997,17,881,52,25.8,9.8,0.82,79,0.41,0.92,28,0.31,1.06,1.12,1.63,-0.51,-0.51,-0.09,1.09,1.36,-0.27,-0.27,-0.03,https://fbref.com/en/players/f48cff2c/Matheus-Babi,f48cff2c,Brazilian Serie A
61,Matheus Bahia,BRA,"DF,MF",Bahia,23,1999,12,493,41,14.4,5.5,1.09,63,0.18,1.09,20,2.73,1.67,1.27,0.55,0.73,+0.73,+0.95,1.29,1.13,0.16,+0.15,+0.19,https://fbref.com/en/players/33e3c4e5/Matheus-Bahia,33e3c4e5,Brazilian Serie A
62,Ney Bahia,BRA,FW,Palmeiras,18,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,,https://fbref.com/en/players/75f3e793/Ney-Bahia,75f3e793,Brazilian Serie A
63,Fabián Balbuena,PAR,DF,Corinthians,31,1991,1,89,89,2.6,1.0,1.00,89,0.00,0.00,,3.00,0.00,1.00,2.00,-1.00,-1.01,-1.01,0.50,1.00,-0.60,-0.58,-0.36,https://fbref.com/en/players/3626f7d9/Fabian-Balbuena,3626f7d9,Brazilian Serie A
64,Robson Bambu,BRA,DF,Vasco da Gama,25,1997,18,1280,71,37.4,14.2,1.13,77,0.56,0.14,25,0.49,1.06,0.85,1.13,-0.28,-0.28,-0.03,1.11,1.06,0.06,+0.06,+0.03,https://fbref.com/en/players/d4fa7d01/Robson-Bambu,d4fa7d01,Brazilian Serie A
65,Gabriel Baralhas,BRA,MF,Internacional,24,1998,5,236,47,6.9,2.6,0.77,85,0.38,1.15,22,2.69,0.80,0.77,1.54,-0.77,-0.76,-0.85,1.04,1.38,-0.38,-0.36,-0.25,https://fbref.com/en/players/b7838aad/Gabriel-Baralhas,b7838aad,Brazilian Serie A
66,Danilo Barbosa,BRA,"MF,DF",Botafogo (RJ),26,1996,23,1011,44,29.6,11.2,0.89,78,0.54,1.16,17,0.63,1.96,1.25,1.52,-0.27,-0.27,-1.16,1.01,1.60,-0.60,-0.59,-0.89,https://fbref.com/en/players/0557ff4f/Danilo-Barbosa,0557ff4f,Brazilian Serie A
67,Diogo Barbosa,BRA,DF,Fluminense,30,1992,19,1117,59,32.7,12.4,0.81,87,0.65,0.73,27,0.16,1.37,1.13,1.05,0.08,+0.08,-0.04,1.02,1.24,-0.23,-0.23,-0.42,https://fbref.com/en/players/7b9ef26b/Diogo-Barbosa,7b9ef26b,Brazilian Serie A
68,Diogo Barbosa,BRA,DF,Grêmio,30,1992,6,386,64,11.3,4.3,0.93,90,0.93,0.47,13,0.23,2.17,1.40,1.16,0.23,+0.23,+0.06,1.35,1.49,-0.14,-0.13,+0.01,https://fbref.com/en/players/7b9ef26b/Diogo-Barbosa,7b9ef26b,Brazilian Serie A
69,Gabriel Barbosa,BRA,FW,Flamengo,26,1996,26,1540,59,45.0,17.1,0.99,78,0.53,0.53,24,0.18,1.65,1.35,1.40,-0.06,-0.06,-0.78,1.37,1.32,0.05,+0.06,-0.12,https://fbref.com/en/players/72d0e1b6/Gabriel-Barbosa,72d0e1b6,Brazilian Serie A
70,Lucas Barbosa,BRA,"FW,MF",Santos,21,2001,4,103,26,3.0,1.1,0.91,28,0.00,2.73,25,3.64,1.00,0.00,0.00,0.00,0.00,+0.68,0.64,1.00,-0.36,-0.34,-0.12,https://fbref.com/en/players/a28eac7e/Lucas-Barbosa,a28eac7e,Brazilian Serie A
71,Lucas Barbosa,BRA,"MF,FW",Coritiba,21,2001,5,102,20,3.0,1.1,0.00,,0.00,4.55,20,7.27,0.00,0.00,2.73,-2.73,-2.65,-1.86,2.36,0.64,1.73,+1.68,+2.31,https://fbref.com/en/players/a28eac7e/Lucas-Barbosa,a28eac7e,Brazilian Serie A
72,Ronald Barcellos,BRA,FW,Grêmio,20,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,,https://fbref.com/en/players/b4a92c62/Ronald-Barcellos,b4a92c62,Brazilian Serie A
73,Rafael Barcelos,BRA,DF,América (MG),19,2004,0,,,,,0,,0,0,,2,,,,,,,,,,,,https://fbref.com/en/players/69230314/Rafael-Barcelos,69230314,Brazilian Serie A
74,Chrystian Barletta,BRA,MF,Corinthians,21,2001,3,127,42,3.7,1.4,1.43,57,0.00,0.71,13,4.29,1.00,1.43,1.43,0.00,0.00,+0.03,,,,,,https://fbref.com/en/players/d594cf58/Chrystian-Barletta,d594cf58,Brazilian Serie A
75,Cauan Barros,BRA,MF,Vasco da Gama,18,2004,8,237,30,6.9,2.6,1.15,60,0.00,1.92,12,3.08,1.00,0.77,1.54,-0.77,-0.76,-0.53,1.00,1.46,-0.46,-0.44,-0.52,https://fbref.com/en/players/6ae4627b/Cauan-Barros,6ae4627b,Brazilian Serie A
76,Gabriel Barros,BRA,"FW,MF",Internacional,21,2001,5,177,35,5.2,2.0,1.00,66,0.00,1.50,15,13.0,1.20,2.00,1.50,0.50,+0.51,+0.51,1.15,1.25,-0.10,-0.09,+0.04,https://fbref.com/en/players/b43515ea/Gabriel-Barros,b43515ea,Brazilian Serie A
77,Bastos,ANG,DF,Botafogo (RJ),31,1991,4,118,30,3.5,1.3,1.54,51,0.00,1.54,8,7.69,1.25,0.00,1.54,-1.54,-1.53,-2.15,0.69,1.54,-0.85,-0.86,-0.93,https://fbref.com/en/players/c01c66d9/Bastos,c01c66d9,Brazilian Serie A
78,Fellipe Bastos,BRA,MF,Goiás,32,1990,1,36,36,1.1,0.4,0.00,,0.00,2.50,36,25.0,0.00,0.00,5.00,-5.00,-5.00,-4.60,0.25,1.50,-1.00,-1.10,-0.86,https://fbref.com/en/players/9b99eae0/Fellipe-Bastos,9b99eae0,Brazilian Serie A
79,Diogo Batista,BRA,"DF,MF",Coritiba,19,2003,11,531,48,15.5,5.9,0.85,73,0.34,1.02,28,1.36,0.91,1.02,1.53,-0.51,-0.51,+0.39,1.19,1.63,-0.44,-0.44,+0.15,https://fbref.com/en/players/9bd61510/Diogo-Batista,9bd61510,Brazilian Serie A
80,Rodrigo Battaglia,ARG,MF,Atlético Mineiro,31,1991,22,1728,79,50.5,19.2,0.99,85,0.78,0.16,35,0.10,1.68,1.25,0.68,0.57,+0.57,+0.09,1.27,0.95,0.32,+0.32,+0.34,https://fbref.com/en/players/d637fc22/Rodrigo-Battaglia,d637fc22,Brazilian Serie A
81,José Luis Rodríguez Bebanz,URU,DF,Vasco da Gama,25,1997,32,1997,62,58.4,22.2,0.99,84,0.72,0.45,15,0.18,1.00,1.31,1.62,-0.32,-0.32,-0.13,1.33,1.29,0.04,+0.04,0.00,https://fbref.com/en/players/6f1a7f76/Jose-Luis-Rodriguez-Bebanz,6f1a7f76,Brazilian Serie A
82,Matheus Belém,BRA,DF,São Paulo,19,2003,2,169,85,4.9,1.9,1.05,85,0.53,0.00,,0.53,0.50,0.53,1.05,-0.53,-0.53,-0.62,1.00,1.37,-0.37,-0.39,-0.75,https://fbref.com/en/players/3f2ef5ad/Matheus-Belem,3f2ef5ad,Brazilian Serie A
83,Lucas Belezi,BRA,DF,Ath Paranaense,19,2003,1,45,45,1.3,0.5,0.00,,0.00,2.00,45,10.0,0.00,0.00,2.00,-2.00,-2.00,-2.24,1.40,1.80,-0.40,-0.35,-0.48,https://fbref.com/en/players/1e4932f6/Lucas-Belezi,1e4932f6,Brazilian Serie A
84,Ramiro Benetti,BRA,MF,Cruzeiro,29,1993,6,407,68,11.9,4.5,1.33,68,0.00,0.00,,0.00,2.00,1.33,0.67,0.67,+0.66,+0.66,1.44,1.16,0.29,+0.29,+0.15,https://fbref.com/en/players/96d14fe7/Ramiro-Benetti,96d14fe7,Brazilian Serie A
85,Martín Benítez,ARG,"MF,FW",América (MG),28,1994,20,1120,56,32.7,12.4,1.13,67,0.16,0.48,30,0.48,0.35,1.29,2.50,-1.21,-1.21,-0.27,1.35,1.77,-0.43,-0.43,-0.02,https://fbref.com/en/players/c122e34e/Martin-Benitez,c122e34e,Brazilian Serie A
86,Bento,BRA,GK,Ath Paranaense,23,1999,33,2970,90,86.8,33.0,1.00,90,1.00,0.00,,0.00,1.42,1.24,1.12,0.12,+0.12,-0.68,1.26,1.22,0.04,+0.04,-0.58,https://fbref.com/en/players/5d699228/Bento,5d699228,Brazilian Serie A
87,Lucas Beraldo,BRA,DF,São Paulo,19,2003,24,2160,90,63.2,24.0,1.00,90,1.00,0.00,,0.29,1.54,1.13,1.08,0.04,+0.04,-0.03,1.31,0.92,0.39,+0.39,+0.17,https://fbref.com/en/players/b8aedf06/Lucas-Beraldo,b8aedf06,Brazilian Serie A
88,Lucas Besozzi,ARG,"FW,MF",Grêmio,20,2003,12,399,33,11.7,4.4,1.14,46,0.00,1.59,24,2.27,1.58,2.05,2.50,-0.45,-0.45,-0.72,1.45,2.11,-0.66,-0.66,-0.58,https://fbref.com/en/players/d8dcc840/Lucas-Besozzi,d8dcc840,Brazilian Serie A
89,Matheus Bianqui,BRA,MF,Coritiba,25,1998,28,1420,51,41.5,15.8,1.08,67,0.19,0.70,25,0.38,0.79,1.01,1.58,-0.57,-0.57,+0.46,0.96,1.36,-0.40,-0.40,+0.29,https://fbref.com/en/players/9da67b35/Matheus-Bianqui,9da67b35,Brazilian Serie A
90,Raul Bicalho,BRA,DF,Bahia,23,1999,7,321,46,9.4,3.6,1.11,72,0.83,0.83,11,2.50,1.86,1.94,1.39,0.56,+0.56,+0.71,1.78,1.39,0.42,+0.41,+0.47,https://fbref.com/en/players/79af412b/Raul-Bicalho,79af412b,Brazilian Serie A
