Rk,Player,Nation,Pos,Squad,Age,Born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Player Link_,Player ID_,Competition
22,Scott Banks,SCO,FW,St. Pauli,22-104,2001,0.6,0.00,3.33,3.33,100.0,3.10,3.10,0.00,0.00,15.4,0.00,0.00,0.00,0.17,0.17,0.03,-0.17,-0.17,https://fbref.com/en/players/d01f8942/Scott-Banks,d01f8942,2. Bundesliga
23,Nick Bätzner,GER,MF,Wehen,23-299,2000,8.3,0.00,0.84,0.12,14.3,0.85,0.12,0.00,0.00,19.5,0.12,0.00,0.00,0.12,0.12,0.15,-0.12,-0.12,https://fbref.com/en/players/1b351b62/Nick-Batzner,1b351b62,2. Bundesliga
24,Timo Baumgartl,GER,DF,Schalke 04,27-310,1996,7.9,0.00,0.38,0.00,0.0,0.38,0.00,0.00,,11.2,0.00,0.00,0.00,0.06,0.06,0.16,-0.06,-0.06,https://fbref.com/en/players/bd7d2e6d/Timo-Baumgartl,bd7d2e6d,2. Bundesliga
25,Timo Becker,GER,DF,Holstein Kiel,26-289,1997,11.3,0.27,0.71,0.44,62.5,0.71,0.44,0.38,0.60,8.6,0.00,0.00,0.00,0.07,0.07,0.10,0.19,0.19,https://fbref.com/en/players/543ddcaf/Timo-Becker,543ddcaf,2. Bundesliga
26,Timo Beermann,GER,DF,Osnabrück,33-029,1990,3.1,0.00,0.65,0.00,0.0,0.65,0.00,0.00,,9.3,0.00,0.00,0.00,0.10,0.10,0.14,-0.10,-0.10,https://fbref.com/en/players/8dde7a71/Timo-Beermann,8dde7a71,2. Bundesliga
27,Brian Behrendt,GER,DF,Braunschweig,32-076,1991,6.0,0.00,0.83,0.00,0.0,0.83,0.00,0.00,,22.6,0.50,0.00,0.00,0.05,0.05,0.06,-0.05,-0.05,https://fbref.com/en/players/b1a21aca/Brian-Behrendt,b1a21aca,2. Bundesliga
28,Marcel Beifus,GER,DF,Karlsruher,21-073,2002,4.4,0.00,0.45,0.00,0.0,0.46,0.00,0.00,,12.1,0.00,0.00,0.00,0.02,0.02,0.03,-0.02,-0.02,https://fbref.com/en/players/9954717e/Marcel-Beifus,9954717e,2. Bundesliga
29,Leon Bell Bell,CMR,"DF,MF",Magdeburg,27-124,1996,16.2,0.06,0.49,0.12,25.0,0.49,0.12,0.13,0.50,16.1,0.00,0.00,0.00,0.07,0.07,0.13,-0.01,-0.01,https://fbref.com/en/players/1c51e689/Leon-Bell-Bell,1c51e689,2. Bundesliga
30,László Bénes,SVK,MF,Hamburger SV,26-121,1997,15.3,0.52,2.68,1.05,39.0,2.68,1.04,0.12,0.31,23.6,0.33,0.20,0.26,0.44,0.24,0.09,0.08,0.09,https://fbref.com/en/players/fe888e39/Laszlo-Benes,fe888e39,2. Bundesliga
31,Keanan Bennetts,ENG,DF,Wehen,24-305,1999,0.3,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,https://fbref.com/en/players/f4c7c708/Keanan-Bennetts,f4c7c708,2. Bundesliga
32,Max Besuschkow,GER,MF,Hannover 96,26-222,1997,1.0,0.00,1.00,0.00,0.0,1.00,0.00,0.00,,29.5,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,https://fbref.com/en/players/8d64d363/Max-Besuschkow,8d64d363,2. Bundesliga
33,Ermin Bičakčić,BIH,DF,Braunschweig,33-349,1990,6.2,0.16,0.32,0.16,50.0,0.32,0.16,0.50,1.00,8.7,0.00,0.00,0.00,0.08,0.08,0.25,0.08,0.08,https://fbref.com/en/players/7aac47fe/Ermin-Bicakcic,7aac47fe,2. Bundesliga
34,Filip Bilbija,GER,"MF,FW",Paderborn 07,23-259,2000,8.8,0.34,1.82,1.14,62.5,1.81,1.13,0.19,0.30,12.1,0.00,0.00,0.00,0.58,0.58,0.32,-0.24,-0.24,https://fbref.com/en/players/f5047e6d/Filip-Bilbija,f5047e6d,2. Bundesliga
35,Herbert Bockhorn,GER,"DF,MF",Magdeburg,28-342,1995,13.2,0.23,1.82,0.83,45.8,1.82,0.83,0.13,0.27,21.1,0.00,0.00,0.00,0.11,0.11,0.06,0.12,0.12,https://fbref.com/en/players/5ad8c360/Herbert-Bockhorn,5ad8c360,2. Bundesliga
36,Pelle Boevink,NED,GK,Paderborn 07,26-002,1998,3.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,https://fbref.com/en/players/a775d6e8/Pelle-Boevink,a775d6e8,2. Bundesliga
37,Robin Bormuth,GER,DF,Karlsruher,28-111,1995,14.3,0.07,0.35,0.07,20.0,0.35,0.07,0.20,1.00,13.1,0.00,0.00,0.00,0.04,0.04,0.12,0.03,0.03,https://fbref.com/en/players/d728acae/Robin-Bormuth,d728acae,2. Bundesliga
38,Julian Börner,GER,DF,Hannover 96,32-352,1991,1.6,0.00,0.63,0.00,0.0,0.64,0.00,0.00,,11.5,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,https://fbref.com/en/players/a354cc49/Julian-Borner,a354cc49,2. Bundesliga
39,Andreas Bouchalakis,GRE,MF,Hertha BSC,30-278,1993,8.2,0.12,0.85,0.37,42.9,0.85,0.36,0.14,0.33,23.2,0.00,0.00,0.00,0.04,0.04,0.05,0.09,0.09,https://fbref.com/en/players/1c07b06e/Andreas-Bouchalakis,1c07b06e,2. Bundesliga
40,Carlo Boukhalfa,MAR,"MF,FW",St. Pauli,24-250,1999,0.2,5.00,10.0,5.00,50.0,9.47,4.74,0.50,1.00,19.5,0.00,0.00,0.00,0.00,0.00,0.02,5.00,5.00,https://fbref.com/en/players/1a86f4a9/Carlo-Boukhalfa,1a86f4a9,2. Bundesliga
41,Joseph Boyamba,GER,"FW,MF",Elversberg,27-163,1996,1.7,0.59,2.35,0.59,25.0,2.35,0.59,0.25,1.00,14.3,0.00,0.00,0.00,0.41,0.41,0.17,0.18,0.18,https://fbref.com/en/players/22d86b0d/Joseph-Boyamba,22d86b0d,2. Bundesliga
42,Terrence Boyd,USA,FW,Kaiserslautern,32-326,1991,8.0,0.25,3.63,1.25,34.5,3.61,1.24,0.07,0.20,12.9,0.00,0.00,0.13,0.49,0.38,0.10,-0.24,-0.13,https://fbref.com/en/players/6e282452/Terrence-Boyd,6e282452,2. Bundesliga
43,Daniel Brosinski,GER,"MF,DF",Karlsruher,35-175,1988,2.4,0.00,0.42,0.42,100.0,0.41,0.41,0.00,0.00,9.6,0.00,0.00,0.00,0.25,0.25,0.64,-0.25,-0.25,https://fbref.com/en/players/a7813ac4/Daniel-Brosinski,a7813ac4,2. Bundesliga
44,Nathaniel Brown,GER,"DF,MF",Nürnberg,20-206,2003,11.5,0.00,1.04,0.09,8.3,1.04,0.09,0.00,0.00,26.5,0.00,0.00,0.00,0.03,0.03,0.03,-0.03,-0.03,https://fbref.com/en/players/abc79c47/Nathaniel-Brown,abc79c47,2. Bundesliga
45,Júnior Brumado,BRA,FW,Hansa Rostock,24-238,1999,7.7,0.52,2.86,0.52,18.2,2.87,0.52,0.09,0.50,19.0,0.00,0.26,0.26,0.48,0.27,0.10,0.04,-0.01,https://fbref.com/en/players/bccc1bb4/Junior-Brumado,bccc1bb4,2. Bundesliga
46,Cédric Brunner,SUI,DF,Schalke 04,29-325,1994,7.0,0.00,0.43,0.00,0.0,0.43,0.00,0.00,,18.0,0.00,0.00,0.00,0.03,0.03,0.06,-0.03,-0.03,https://fbref.com/en/players/f0a37d36/Cedric-Brunner,f0a37d36,2. Bundesliga
47,Daniel Bunk,GER,MF,Düsseldorf,19-289,2004,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,https://fbref.com/en/players/83c06d02/Daniel-Bunk,83c06d02,2. Bundesliga
48,Dženis Burnić,GER,MF,Karlsruher,25-231,1998,3.6,0.56,2.78,1.67,60.0,2.74,1.65,0.20,0.33,19.5,0.00,0.00,0.00,0.11,0.11,0.04,0.44,0.44,https://fbref.com/en/players/0dabaf14/Dzenis-Burnic,0dabaf14,2. Bundesliga
49,Kerim Calhanoglu,GER,DF,Greuther Fürth,21-135,2002,1.5,0.00,0.67,0.00,0.0,0.68,0.00,0.00,,29.8,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,https://fbref.com/en/players/d1db4b83/Kerim-Calhanoglu,d1db4b83,2. Bundesliga
50,Kaan Caliskaner,GER,"FW,MF",Braunschweig,24-066,1999,4.1,0.00,2.44,0.49,20.0,2.43,0.49,0.00,0.00,15.4,0.00,0.00,0.00,0.22,0.22,0.09,-0.22,-0.22,https://fbref.com/en/players/4a0177fb/Kaan-Caliskaner,4a0177fb,2. Bundesliga
51,Florian Carstens,GER,DF,Wehen,25-061,1998,7.1,0.00,0.42,0.00,0.0,0.42,0.00,0.00,,27.0,0.00,0.00,0.00,0.01,0.01,0.05,-0.01,-0.01,https://fbref.com/en/players/ac551128/Florian-Carstens,ac551128,2. Bundesliga
52,Luc Castaignos,NED,FW,Magdeburg,31-103,1992,7.1,0.56,3.10,1.55,50.0,3.08,1.54,0.18,0.36,11.8,0.00,0.00,0.00,0.58,0.58,0.18,-0.01,-0.01,https://fbref.com/en/players/a19be070/Luc-Castaignos,a19be070,2. Bundesliga
53,Jens Castrop,GER,MF,Nürnberg,20-163,2003,9.4,0.11,1.81,0.74,41.2,1.80,0.74,0.06,0.14,19.3,0.00,0.00,0.00,0.11,0.11,0.06,0.00,0.00,https://fbref.com/en/players/03fee7de/Jens-Castrop,03fee7de,2. Bundesliga
54,Amar Ćatić,BIH,DF,Wehen,24-352,1999,8.0,0.13,0.75,0.38,50.0,0.75,0.37,0.17,0.33,16.1,0.00,0.00,0.00,0.09,0.09,0.12,0.04,0.04,https://fbref.com/en/players/f7c398ec/Amar-Catic,f7c398ec,2. Bundesliga
55,Jason Ceka,GER,"FW,MF",Magdeburg,24-059,1999,8.6,0.12,2.91,1.16,40.0,2.91,1.16,0.04,0.10,18.1,0.12,0.00,0.00,0.20,0.20,0.07,-0.08,-0.08,https://fbref.com/en/players/92b719a1/Jason-Ceka,92b719a1,2. Bundesliga
56,Paterson Chato,GER,DF,Osnabrück,27-038,1996,0.6,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,https://fbref.com/en/players/f856ca7c/Paterson-Chato,f856ca7c,2. Bundesliga
57,Gustav Christensen,DEN,"FW,MF",Hertha BSC,19-123,2004,2.8,0.00,1.07,0.36,33.3,1.09,0.36,0.00,0.00,17.2,0.00,0.00,0.00,0.07,0.07,0.08,-0.07,-0.07,https://fbref.com/en/players/6e2e6e4e/Gustav-Christensen,6e2e6e4e,2. Bundesliga
58,Oliver Christensen,DEN,GK,Hertha BSC,24-292,1999,2.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,https://fbref.com/en/players/af104654/Oliver-Christensen,af104654,2. Bundesliga
59,Max Christiansen,GER,MF,Hannover 96,27-105,1996,3.7,0.00,1.08,0.27,25.0,1.07,0.27,0.00,0.00,29.9,0.00,0.00,0.00,0.03,0.03,0.02,-0.03,-0.03,https://fbref.com/en/players/e7b899b8/Max-Christiansen,e7b899b8,2. Bundesliga
60,Ibrahima Cissé,MLI,DF,Schalke 04,22-327,2001,0.8,0.00,1.25,0.00,0.0,1.29,0.00,0.00,,38.6,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,https://fbref.com/en/players/bcc8177c/Ibrahima-Cisse,bcc8177c,2. Bundesliga
61,Amara Conde,GER,MF,Magdeburg,27-002,1997,11.1,0.09,1.26,0.27,21.4,1.26,0.27,0.07,0.33,21.4,0.09,0.00,0.00,0.10,0.10,0.08,-0.01,-0.01,https://fbref.com/en/players/40a3402f/Amara-Conde,40a3402f,2. Bundesliga
62,Kevin Conrad,GER,DF,Elversberg,33-151,1990,7.1,0.00,0.28,0.00,0.0,0.28,0.00,0.00,,7.3,0.00,0.00,0.00,0.06,0.06,0.21,-0.06,-0.06,https://fbref.com/en/players/45afa04c/Kevin-Conrad,45afa04c,2. Bundesliga
63,Jomaine Consbruch,GER,"MF,DF",Greuther Fürth,21-347,2002,2.3,0.00,1.74,0.00,0.0,1.71,0.00,0.00,,18.8,0.00,0.00,0.00,0.13,0.13,0.07,-0.13,-0.13,https://fbref.com/en/players/34ad2e65/Jomaine-Consbruch,34ad2e65,2. Bundesliga
64,Christian Conteh,GER,"FW,MF",Osnabrück,24-134,1999,7.3,0.27,1.64,0.68,41.7,1.64,0.68,0.17,0.40,15.5,0.00,0.00,0.00,0.12,0.12,0.08,0.15,0.15,https://fbref.com/en/players/231b327e/Christian-Conteh,231b327e,2. Bundesliga
65,Sirlord Conteh,GER,"FW,MF",Paderborn 07,27-183,1996,6.5,0.15,2.31,1.23,53.3,2.30,1.23,0.07,0.13,13.2,0.00,0.00,0.00,0.43,0.43,0.18,-0.28,-0.28,https://fbref.com/en/players/34e09d5f/Sirlord-Conteh,34e09d5f,2. Bundesliga
66,Marcel Correia,POR,DF,Elversberg,34-237,1989,1.6,0.63,0.63,0.63,100.0,0.63,0.63,1.00,1.00,6.0,0.00,0.00,0.00,0.19,0.19,0.31,0.44,0.44,https://fbref.com/en/players/11644dea/Marcel-Correia,11644dea,2. Bundesliga
67,Mickaël Cuisance,FRA,MF,Osnabrück,24-145,1999,9.9,0.20,1.52,0.30,20.0,1.52,0.30,0.00,0.00,21.9,0.40,0.20,0.20,0.26,0.10,0.07,-0.06,-0.10,https://fbref.com/en/players/5722eced/Mickael-Cuisance,5722eced,2. Bundesliga
68,Laurin Curda,GER,DF,Paderborn 07,22-070,2001,8.0,0.00,1.00,0.38,37.5,1.00,0.37,0.00,0.00,17.8,0.00,0.00,0.00,0.04,0.04,0.04,-0.04,-0.04,https://fbref.com/en/players/e9a7a107/Laurin-Curda,e9a7a107,2. Bundesliga
69,Christoph Daferner,GER,FW,Nürnberg,25-361,1998,2.1,0.00,1.43,0.95,66.7,1.45,0.97,0.00,0.00,8.7,0.00,0.00,0.00,0.10,0.10,0.08,-0.10,-0.10,https://fbref.com/en/players/e5be34dd/Christoph-Daferner,e5be34dd,2. Bundesliga
70,Thomas Dähne,GER,GK,Holstein Kiel,30-004,1994,3.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,https://fbref.com/en/players/f194035d/Thomas-Dahne,f194035d,2. Bundesliga
71,Muhammed Damar,GER,MF,Hannover 96,19-274,2004,0.6,0.00,5.00,1.67,33.3,4.91,1.64,0.00,0.00,25.2,0.00,0.00,0.00,0.17,0.17,0.03,-0.17,-0.17,https://fbref.com/en/players/d3d77413/Muhammed-Damar,d3d77413,2. Bundesliga
72,Bence Dárdai,GER,"MF,FW",Hertha BSC,17-349,2006,2.2,0.00,1.82,0.00,0.0,1.83,0.00,0.00,,22.4,0.45,0.00,0.00,0.05,0.05,0.03,-0.05,-0.05,https://fbref.com/en/players/dcb6f03c/Bence-Dardai,dcb6f03c,2. Bundesliga
73,Márton Dárdai,GER,"MF,DF",Hertha BSC,21-330,2002,15.0,0.00,0.87,0.07,7.7,0.87,0.07,0.00,0.00,21.0,0.00,0.00,0.00,0.05,0.05,0.05,-0.05,-0.05,https://fbref.com/en/players/41bff4fa/Marton-Dardai,41bff4fa,2. Bundesliga
74,Palkó Dárdai,HUN,"MF,FW",Hertha BSC,24-259,1999,4.6,0.22,2.17,0.43,20.0,2.18,0.44,0.10,0.50,19.6,0.00,0.00,0.00,0.15,0.15,0.07,0.07,0.07,https://fbref.com/en/players/db7161ed/Palko-Dardai,db7161ed,2. Bundesliga
75,Jonas David,GER,DF,Hansa Rostock,23-306,2000,5.5,0.00,1.09,0.00,0.0,1.09,0.00,0.00,,11.0,0.00,0.00,0.00,0.13,0.13,0.11,-0.13,-0.13,https://fbref.com/en/players/98cd5d88/Jonas-David,98cd5d88,2. Bundesliga
76,Saulo Decarli,SUI,DF,Braunschweig,31-338,1992,5.4,0.00,0.74,0.19,25.0,0.74,0.19,0.00,0.00,10.6,0.00,0.00,0.00,0.17,0.17,0.22,-0.17,-0.17,https://fbref.com/en/players/41df88b8/Saulo-Decarli,41df88b8,2. Bundesliga
77,Jannik Dehm,GER,"DF,MF",Hannover 96,27-251,1996,11.7,0.00,1.03,0.09,8.3,1.03,0.09,0.00,0.00,22.2,0.09,0.00,0.00,0.07,0.07,0.07,-0.07,-0.07,https://fbref.com/en/players/c33a2d88/Jannik-Dehm,c33a2d88,2. Bundesliga
78,Jasper van der Werff,SUI,DF,Hansa Rostock,25-030,1998,11.2,0.18,0.27,0.18,66.7,0.27,0.18,0.67,1.00,4.9,0.00,0.00,0.00,0.07,0.07,0.25,0.11,0.11,https://fbref.com/en/players/1d896c05/Jasper-van-der-Werff,1d896c05,2. Bundesliga
79,Oumar Diakhite,SEN,DF,Osnabrück,30-030,1993,5.5,0.18,0.91,0.73,80.0,0.91,0.72,0.20,0.25,13.6,0.00,0.00,0.00,0.18,0.18,0.20,0.00,0.00,https://fbref.com/en/players/f85458cf/Oumar-Diakhite,f85458cf,2. Bundesliga
80,Maximilian Dietz,USA,DF,Greuther Fürth,21-333,2002,13.1,0.00,0.31,0.00,0.0,0.31,0.00,0.00,,11.0,0.00,0.00,0.00,0.02,0.02,0.05,-0.02,-0.02,https://fbref.com/en/players/4a78b64f/Maximilian-Dietz,4a78b64f,2. Bundesliga
81,Jean-Luc Dompé,FRA,"FW,MF",Hamburger SV,28-149,1995,8.2,0.24,2.68,1.34,50.0,2.69,1.34,0.09,0.18,16.7,0.24,0.00,0.00,0.41,0.41,0.15,-0.17,-0.17,https://fbref.com/en/players/9ffdf29a/Jean-Luc-Dompe,9ffdf29a,2. Bundesliga
82,Anton Donkor,GER,"DF,FW",Braunschweig,26-058,1997,15.9,0.06,1.13,0.25,22.2,1.13,0.25,0.06,0.25,22.6,0.00,0.00,0.00,0.11,0.11,0.09,-0.04,-0.04,https://fbref.com/en/players/cfa9d46b/Anton-Donkor,cfa9d46b,2. Bundesliga
83,Dennis Dressel,GER,MF,Hansa Rostock,25-074,1998,16.0,0.06,1.63,0.25,15.4,1.63,0.25,0.04,0.25,25.5,0.06,0.00,0.00,0.04,0.04,0.03,0.02,0.02,https://fbref.com/en/players/45136712/Dennis-Dressel,45136712,2. Bundesliga
84,Patrick Drewes,GER,GK,Karlsruher,30-338,1993,17.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,https://fbref.com/en/players/a8403737/Patrick-Drewes,a8403737,2. Bundesliga
85,Dominick Drexler,GER,"MF,FW",Schalke 04,33-227,1990,5.5,0.18,0.91,0.36,40.0,0.90,0.36,0.20,0.50,10.3,0.00,0.00,0.00,0.22,0.22,0.25,-0.04,-0.04,https://fbref.com/en/players/809940aa/Dominick-Drexler,809940aa,2. Bundesliga
86,Jeremy Dudziak,TUN,"DF,MF",Hertha BSC,28-133,1995,6.2,0.00,0.32,0.00,0.0,0.32,0.00,0.00,,17.8,0.00,0.00,0.00,0.02,0.02,0.03,-0.02,-0.02,https://fbref.com/en/players/5a8d6540/Jeremy-Dudziak,5a8d6540,2. Bundesliga
87,Taylan Duman,GER,MF,Nürnberg,26-162,1997,4.5,0.00,1.11,0.00,0.0,1.12,0.00,0.00,,21.2,0.22,0.00,0.00,0.04,0.04,0.04,-0.04,-0.04,https://fbref.com/en/players/c13867c5/Taylan-Duman,c13867c5,2. Bundesliga
88,Luca Dürholtz,GER,"MF,FW",Elversberg,30-143,1993,1.2,0.00,1.67,0.00,0.0,1.70,0.00,0.00,,18.2,0.00,0.00,0.00,0.08,0.08,0.07,-0.08,-0.08,https://fbref.com/en/players/a5483c84/Luca-Durholtz,a5483c84,2. Bundesliga
89,Erik Durm,GER,"DF,MF",Kaiserslautern,31-241,1992,2.8,0.00,0.36,0.00,0.0,0.36,0.00,0.00,,28.1,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,https://fbref.com/en/players/cf623c78/Erik-Durm,cf623c78,2. Bundesliga
90,Eldin Dzogovic,LUX,MF,Magdeburg,20-214,2003,0.3,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,https://fbref.com/en/players/ed735681/Eldin-Dzogovic,ed735681,2. Bundesliga
91,Adam Dźwigała,POL,DF,St. Pauli,28-105,1995,2.5,0.00,0.40,0.00,0.0,0.39,0.00,0.00,,2.4,0.00,0.00,0.00,0.08,0.08,0.21,-0.08,-0.08,https://fbref.com/en/players/75edc8ce/Adam-Dzwigala,75edc8ce,2. Bundesliga
