Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Player Link_,Player ID_,Competition
380,Jannes Van Hecke,BEL,"MF,DF",Mechelen,21-358,2002,2.8,77.1,3.21,22.5,34.6,20.7,0.36,77.1,0.71,0.36,50.0,0.36,50.0,45.4,295.4,160.7,3.93,2.50,0.00,0.71,0.00,38.2,4.64,https://fbref.com/en/players/363fe1f3/Jannes-Van-Hecke,363fe1f3,Jupiler Pro League
381,Rein Van Helden,BEL,DF,Sint-Truiden,21-168,2002,18.7,77.6,5.67,35.3,39.3,3.53,0.96,77.6,0.86,0.53,62.5,0.32,37.5,59.5,314.5,149.9,0.53,0.53,0.05,0.64,0.16,56.3,0.27,https://fbref.com/en/players/f6e214c4/Rein-Van-Helden,f6e214c4,Jupiler Pro League
382,Alec Van Hoorenbeeck,BEL,DF,Mechelen,25-009,1998,0.5,82.0,0.00,0.00,32.0,50.0,0.00,82.0,0.00,0.00,,0.00,,54.0,392.0,134.0,4.00,0.00,0.00,0.00,0.00,54.0,16.0,https://fbref.com/en/players/f367997a/Alec-Van-Hoorenbeeck,f367997a,Jupiler Pro League
383,Hans Vanaken,BEL,MF,Club Brugge,31-137,1992,19.2,72.6,1.04,8.44,41.3,23.5,3.65,72.6,1.98,1.20,60.5,0.78,39.5,55.2,293.6,104.1,1.51,1.30,0.57,0.73,1.25,56.4,5.47,https://fbref.com/en/players/392a7aea/Hans-Vanaken,392a7aea,Jupiler Pro League
384,Tom Vandenberghe,BEL,GK,Kortrijk,31-144,1992,20.0,36.9,32.4,36.8,0.10,0.15,0.15,36.9,0.05,0.00,0.0,0.00,0.0,22.8,168.8,93.0,0.05,0.00,0.00,0.00,0.00,11.9,0.00,https://fbref.com/en/players/35b832fe/Tom-Vandenberghe,35b832fe,Jupiler Pro League
385,Matteo Vandendaele,BEL,DF,RWD Molenbeek,18-206,2005,0.2,65.0,5.00,35.0,30.0,0.00,0.00,65.0,0.00,0.00,,0.00,,50.0,355.0,255.0,0.00,0.00,0.00,0.00,0.00,40.0,0.00,https://fbref.com/en/players/1eef97cd/Matteo-Vandendaele,1eef97cd,Jupiler Pro League
386,Maarten Vandevoordt,BEL,GK,Genk,21-316,2002,20.0,36.9,28.6,36.4,0.50,0.00,0.00,36.9,0.00,0.00,,0.00,,28.6,149.3,77.2,0.00,0.00,0.00,0.05,0.00,20.8,0.00,https://fbref.com/en/players/f9e0c603/Maarten-Vandevoordt,f9e0c603,Jupiler Pro League
387,Zinho Vanheusden,BEL,DF,Standard Liège,24-163,1999,17.1,72.6,10.1,37.3,33.1,3.10,0.99,72.6,0.23,0.18,75.0,0.06,25.0,50.8,318.7,161.8,1.40,0.82,0.00,0.29,0.18,46.0,0.23,https://fbref.com/en/players/afbf187b/Zinho-Vanheusden,afbf187b,Jupiler Pro League
388,Charles Vanhoutte,BEL,MF,Union SG,25-114,1998,17.8,65.8,1.69,13.7,40.6,12.0,0.73,65.8,0.79,0.22,28.6,0.51,64.3,44.1,222.9,84.6,0.62,1.07,0.17,1.18,0.67,38.5,2.02,https://fbref.com/en/players/a1507cc7/Charles-Vanhoutte,a1507cc7,Jupiler Pro League
389,Jordi Vanlerberghe,BEL,"DF,MF",Mechelen,27-195,1996,17.3,81.7,7.80,35.1,41.5,6.01,0.40,81.7,0.58,0.40,70.0,0.12,20.0,61.0,351.0,195.3,1.10,1.27,0.23,0.52,0.40,55.1,0.58,https://fbref.com/en/players/efd86e0c/Jordi-Vanlerberghe,efd86e0c,Jupiler Pro League
390,Robert-Jan Vanwesemael,BEL,DF,Sint-Truiden,21-288,2002,0.7,61.4,2.86,11.4,38.6,14.3,1.43,61.4,1.43,0.00,0.0,1.43,100.0,40.0,284.3,130.0,2.86,1.43,0.00,4.29,0.00,30.0,2.86,https://fbref.com/en/players/753b6dd7/Robert-Jan-Vanwesemael,753b6dd7,Jupiler Pro League
391,Luis Vázquez,ARG,FW,Anderlecht,22-349,2001,4.6,42.2,1.52,5.65,17.8,19.1,8.04,42.2,1.52,0.87,57.1,0.65,42.9,30.9,156.1,53.9,1.30,0.43,0.87,3.91,2.83,28.5,5.65,https://fbref.com/en/players/22810a82/Luis-Vazquez,22810a82,Jupiler Pro League
392,Romeo Vermant,BEL,FW,Club Brugge,19-349,2004,0.1,50.0,0.00,20.0,20.0,10.0,0.00,50.0,0.00,0.00,,0.00,,20.0,160.0,0.00,0.00,0.00,0.00,0.00,0.00,20.0,10.0,https://fbref.com/en/players/7db98639/Romeo-Vermant,7db98639,Jupiler Pro League
393,Arthur Vermeeren,BEL,MF,Antwerp,18-335,2005,19.8,61.9,3.28,11.7,35.7,15.2,1.46,61.9,1.72,0.86,50.0,0.81,47.1,45.9,233.9,97.4,1.01,1.62,0.20,1.41,0.66,42.1,2.73,https://fbref.com/en/players/722494dc/Arthur-Vermeeren,722494dc,Jupiler Pro League
