Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Player Link_,Player ID_,Competition
35,Gastón Ávila,ARG,DF,Antwerp,22-213,2001,2.0,2.00,2.00,1.50,0.50,0.00,0.00,0.00,0.00,0.50,0.50,0.50,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/f648b2e1/Gaston-Avila,f648b2e1,Jupiler Pro League
36,Youssouph Badji,SEN,"FW,MF",Charleroi,22-132,2001,10.4,2.12,2.11,1.35,0.00,0.19,0.19,0.29,0.10,0.10,0.10,0.10,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/6a2b9aee/Youssouph-Badji,6a2b9aee,Jupiler Pro League
37,Bilal Bafdili,BEL,"FW,MF",Mechelen,19-271,2004,1.9,2.63,2.63,1.58,0.53,0.00,0.53,0.00,0.00,1.05,1.05,0.53,0.00,0.00,0.53,0.00,0.00,https://fbref.com/en/players/40c9f265/Bilal-Bafdili,40c9f265,Jupiler Pro League
38,Jonas Bager,DEN,DF,Charleroi,27-287,1996,16.7,0.48,0.48,0.48,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.06,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/ddd54920/Jonas-Bager,ddd54920,Jupiler Pro League
39,Brandon Baiye,BEL,MF,Eupen,23-125,2000,23.0,1.17,1.17,1.09,0.00,0.04,0.00,0.00,0.04,0.04,0.04,0.04,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/7e3e825e/Brandon-Baiye,7e3e825e,Jupiler Pro League
40,Michel-Ange Balikwisha,BEL,"FW,MF",Antwerp,22-356,2001,19.8,3.48,3.48,2.22,0.66,0.15,0.20,0.15,0.10,0.51,0.50,0.30,0.05,0.00,0.10,0.00,0.05,https://fbref.com/en/players/172bab0a/Michel-Ange-Balikwisha,172bab0a,Jupiler Pro League
41,William Balikwisha,COD,MF,Standard Liège,24-354,1999,12.1,3.39,3.39,2.56,0.00,0.50,0.08,0.08,0.17,0.08,0.08,0.08,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/4fae547c/William-Balikwisha,4fae547c,Jupiler Pro League
42,Sacha Banse,BFA,MF,Standard Liège,23-045,2001,0.5,2.00,2.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/f9eb9174/Sacha-Banse,f9eb9174,Jupiler Pro League
43,Ezechiel Banzuzi,NED,MF,OH Leuven,19-074,2005,19.4,1.65,1.65,1.13,0.00,0.05,0.31,0.10,0.05,0.05,0.05,0.05,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/e9764fe5/Ezechiel-Banzuzi,e9764fe5,Jupiler Pro League
44,Víctor Barberá,ESP,"FW,MF",Club Brugge,19-254,2004,0.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/39265dd7/Victor-Barbera,39265dd7,Jupiler Pro League
