Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Player Link_,Player ID_,Competition
11,Ager Aketxe,ESP,"FW,MF",Eibar,30-009,1993,14.3,1.96,1.26,0.35,1.12,0.49,0.98,1.89,51.9,0.91,0.63,0.07,0.56,0.21,2.17,0.56,0.00,https://fbref.com/en/players/c5eaff5c/Ager-Aketxe,c5eaff5c,La Liga 2
12,Ilias Akhomach,ESP,MF,Villarreal B,19-267,2004,1.7,1.18,0.59,0.59,0.59,0.00,1.18,2.35,50.0,1.18,0.00,0.00,0.00,0.59,1.76,0.00,0.00,https://fbref.com/en/players/b8bd60fe/Ilias-Akhomach,b8bd60fe,La Liga 2
13,Babatunde Akinsola,NGA,"MF,FW",Valladolid,20-304,2003,3.1,0.97,0.65,0.65,0.00,0.32,0.65,1.29,50.0,0.65,0.97,0.00,0.97,0.97,1.94,0.97,0.00,https://fbref.com/en/players/733aab44/Babatunde-Akinsola,733aab44,La Liga 2
14,Jony Álamo,ESP,MF,Cartagena,22-105,2001,5.1,1.96,0.59,1.37,0.59,0.00,1.18,2.55,46.2,1.37,0.39,0.20,0.20,0.59,2.55,1.18,0.00,https://fbref.com/en/players/788be7f9/Jony-Alamo,788be7f9,La Liga 2
15,Tomás Alarcón,CHI,"MF,DF",Cartagena,24-354,1999,12.8,1.48,0.86,1.09,0.39,0.00,0.47,1.17,40.0,0.70,1.02,0.23,0.78,1.64,3.13,1.72,0.00,https://fbref.com/en/players/99ea2ddd/Tomas-Alarcon,99ea2ddd,La Liga 2
16,Alassán,ESP,"FW,MF",Tenerife,21-118,2002,2.1,1.90,1.43,0.95,0.00,0.95,1.43,2.38,60.0,0.95,2.86,0.00,2.86,0.48,2.38,0.00,0.00,https://fbref.com/en/players/95fb7c1b/Alassan,95fb7c1b,La Liga 2
17,Pedro Alcalá,ESP,DF,Cartagena,34-295,1989,18.0,1.06,0.94,0.72,0.33,0.00,0.33,0.67,50.0,0.33,1.17,0.89,0.28,0.78,1.83,5.28,0.00,https://fbref.com/en/players/ba71d071/Pedro-Alcala,ba71d071,La Liga 2
18,Edgar Alcañiz,ESP,MF,Levante,18-296,2005,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,https://fbref.com/en/players/6e3326a5/Edgar-Alcaniz,6e3326a5,La Liga 2
19,Aldasoro,ESP,MF,Racing Sant,24-217,1999,15.6,3.08,1.79,1.28,1.35,0.45,1.67,2.95,56.5,1.28,2.37,0.71,1.67,1.28,4.36,3.14,0.06,https://fbref.com/en/players/4405a57e/Aldasoro,4405a57e,La Liga 2
20,Alexandre Alemão,BRA,"FW,MF",Oviedo,25-282,1998,3.5,0.57,0.29,0.29,0.29,0.00,0.29,0.57,50.0,0.29,0.57,0.00,0.57,0.00,0.57,0.29,0.00,https://fbref.com/en/players/3ed2a79b/Alexandre-Alemao,3ed2a79b,La Liga 2
21,Diego Alende,ESP,DF,FC Andorra,26-136,1997,4.0,1.25,0.75,1.00,0.25,0.00,0.75,2.00,37.5,1.25,0.50,0.25,0.25,1.50,2.75,3.50,0.00,https://fbref.com/en/players/9af88279/Diego-Alende,9af88279,La Liga 2
22,Ángel Algobia,ESP,"MF,DF",Levante,24-199,1999,6.7,1.79,0.45,0.90,0.60,0.30,0.90,3.13,28.6,2.24,1.94,0.75,1.19,0.60,2.39,1.64,0.00,https://fbref.com/en/players/acc1aefa/Angel-Algobia,acc1aefa,La Liga 2
23,Julio Alonso,ESP,DF,Albacete,25-025,1998,13.5,2.52,1.19,1.33,0.81,0.37,1.41,2.37,59.4,0.96,0.96,0.15,0.81,0.96,3.48,0.96,0.00,https://fbref.com/en/players/8fcea8a1/Julio-Alonso,8fcea8a1,La Liga 2
24,Rodri Alonso,ESP,MF,Villarreal B,21-004,2003,6.3,,0.32,,,,,,,,,,,0.16,,,,https://fbref.com/en/players/5d048362/Rodri-Alonso,5d048362,La Liga 2
25,Adrià Altimira,ESP,"DF,MF",Villarreal B,22-286,2001,8.2,1.34,0.98,1.10,0.24,0.00,0.98,1.83,53.3,0.85,0.61,0.00,0.61,0.98,2.32,2.07,0.00,https://fbref.com/en/players/757a3431/Adria-Altimira,757a3431,La Liga 2
26,Altube,ESP,GK,Albacete,23-320,2000,4.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,https://fbref.com/en/players/e4cbb095/Altube,e4cbb095,La Liga 2
27,Carlos Álvarez,ESP,MF,Levante,20-155,2003,5.5,2.36,0.91,1.27,0.55,0.55,0.73,2.55,28.6,1.82,1.45,0.00,1.45,0.36,2.73,0.18,0.00,https://fbref.com/en/players/56bcaaa0/Carlos-Alvarez,56bcaaa0,La Liga 2
28,Cristian Álvarez,ARG,GK,Zaragoza,38-056,1985,9.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.00,https://fbref.com/en/players/87e89eb4/Cristian-Alvarez,87e89eb4,La Liga 2
29,Iker Álvarez,AND,GK,Villarreal B,22-167,2001,15.0,0.07,0.00,0.07,0.00,0.00,0.07,0.07,100.0,0.00,0.07,0.00,0.07,0.00,0.07,0.27,0.00,https://fbref.com/en/players/13619663/Iker-Alvarez,13619663,La Liga 2
30,Sergio Álvarez,ESP,MF,Eibar,31-350,1992,19.2,2.55,1.51,1.04,1.35,0.16,1.09,2.40,45.7,1.30,1.25,0.42,0.83,1.15,3.70,1.20,0.00,https://fbref.com/en/players/88d91621/Sergio-Alvarez,88d91621,La Liga 2
31,Jair Amador,EQG,DF,Zaragoza,34-140,1989,19.5,1.23,0.72,0.97,0.26,0.00,0.51,0.56,90.9,0.05,0.97,0.72,0.26,1.69,2.92,5.08,0.10,https://fbref.com/en/players/82b27ccb/Jair-Amador,82b27ccb,La Liga 2
32,Selim Amallah,MAR,MF,Valladolid,27-054,1996,0.3,3.33,0.00,3.33,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,6.67,10.0,0.00,0.00,https://fbref.com/en/players/00eba9c9/Selim-Amallah,00eba9c9,La Liga 2
33,Jose Amo,ESP,DF,Tenerife,25-274,1998,16.9,0.89,0.65,0.77,0.12,0.00,0.53,0.77,69.2,0.24,1.12,0.83,0.30,1.01,1.89,3.85,0.00,https://fbref.com/en/players/444610e8/Jose-Amo,444610e8,La Liga 2
34,Lucas Anacker,BRA,GK,Alcorcón,27-108,1996,3.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.67,https://fbref.com/en/players/0b5d06ee/Lucas-Anacker,0b5d06ee,La Liga 2
35,Florin Andone,ROU,FW,Eldense,30-272,1993,13.1,0.76,0.38,0.08,0.38,0.31,0.23,0.76,30.0,0.53,0.53,0.08,0.46,0.23,0.99,0.69,0.00,https://fbref.com/en/players/dc008610/Florin-Andone,dc008610,La Liga 2
36,Marcos André,BRA,FW,Valladolid,27-080,1996,3.3,0.91,0.61,0.30,0.00,0.61,0.91,2.73,33.3,1.82,0.61,0.30,0.30,0.00,0.91,0.61,0.00,https://fbref.com/en/players/ae86d473/Marcos-Andre,ae86d473,La Liga 2
37,Andy,ESP,"MF,DF",Burgos,33-343,1990,2.0,1.00,0.00,0.00,0.50,0.50,1.00,2.50,40.0,1.50,1.50,0.50,1.00,0.00,1.00,8.50,0.00,https://fbref.com/en/players/bdc7dbb0/Andy,bdc7dbb0,La Liga 2
38,José Ángel,ESP,DF,Sporting Gijón,34-125,1989,16.3,0.92,0.67,0.55,0.25,0.12,0.74,1.53,48.0,0.80,0.98,0.43,0.55,0.92,1.84,3.31,0.00,https://fbref.com/en/players/3024e383/Jose-Angel,3024e383,La Liga 2
39,Josep Antoni Gayá,ESP,DF,Amorebieta,23-185,2000,9.9,1.52,1.11,1.21,0.30,0.00,0.51,0.81,62.5,0.30,1.01,0.40,0.61,1.72,3.23,4.55,0.00,https://fbref.com/en/players/4a5f2032/Josep-Antoni-Gaya,4a5f2032,La Liga 2
40,José Antonio Ríos,ESP,DF,Eibar,33-243,1990,8.5,0.82,0.82,0.47,0.24,0.12,0.59,0.71,83.3,0.12,0.59,0.24,0.35,0.59,1.41,1.06,0.00,https://fbref.com/en/players/7f72a644/Jose-Antonio-Rios,7f72a644,La Liga 2
41,Juan Antonio Ros,ESP,DF,Albacete,27-299,1996,5.9,1.02,0.85,0.68,0.34,0.00,0.51,0.51,100.0,0.00,0.17,0.00,0.17,1.36,2.37,4.24,0.17,https://fbref.com/en/players/44415755/Juan-Antonio-Ros,44415755,La Liga 2
42,Antoniu,ESP,FW,Espanyol,21-125,2002,0.3,13.3,10.0,10.0,3.33,0.00,3.33,10.0,33.3,6.67,10.0,0.00,10.0,6.67,20.0,0.00,0.00,https://fbref.com/en/players/af784a9e/Antoniu,af784a9e,La Liga 2
43,Anuar,MAR,MF,Valladolid,28-358,1995,3.2,1.56,1.25,0.63,0.94,0.00,0.63,0.94,66.7,0.31,0.31,0.31,0.00,1.25,2.81,0.00,0.00,https://fbref.com/en/players/c93231dc/Anuar,c93231dc,La Liga 2
44,Kévin Appin,MTQ,"MF,FW",Burgos,25-353,1998,6.4,2.19,1.25,0.63,1.41,0.16,0.78,2.97,26.3,2.19,2.34,0.00,2.34,0.78,2.97,2.03,0.00,https://fbref.com/en/players/8fae705a/Kevin-Appin,8fae705a,La Liga 2
45,Aritz Arambarri,ESP,DF,Leganés,25-342,1998,11.2,0.89,0.54,0.63,0.27,0.00,0.54,0.71,75.0,0.18,0.80,0.54,0.27,1.34,2.23,5.27,0.00,https://fbref.com/en/players/f28876e5/Aritz-Arambarri,f28876e5,La Liga 2
46,Arana,ESP,FW,Eibar,23-334,2000,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/94021206/Arana,94021206,La Liga 2
47,Arana,ESP,FW,Racing Sant,23-334,2000,11.3,0.27,0.09,0.00,0.27,0.00,0.18,0.53,33.3,0.35,0.88,0.00,0.88,0.18,0.44,0.80,0.00,https://fbref.com/en/players/94021206/Arana,94021206,La Liga 2
48,Anaitz Arbilla,ESP,DF,Eibar,36-238,1987,19.0,1.11,0.68,0.89,0.21,0.00,0.68,0.95,72.2,0.26,1.21,0.74,0.47,1.63,2.74,3.84,0.05,https://fbref.com/en/players/850c0a0d/Anaitz-Arbilla,850c0a0d,La Liga 2
49,Jeremy Arévalo,ESP,"MF,FW",Racing Sant,18-295,2005,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/70676088/Jeremy-Arevalo,70676088,La Liga 2
50,Anderson Arroyo,COL,DF,FC Andorra,24-103,1999,4.7,1.28,0.64,1.06,0.21,0.00,0.85,1.49,57.1,0.64,0.85,0.43,0.43,1.28,2.55,3.40,0.21,https://fbref.com/en/players/4bd451cb/Anderson-Arroyo,4bd451cb,La Liga 2
51,Juan Artola,ESP,"FW,MF",Alcorcón,23-276,2000,4.2,1.67,1.19,0.00,1.43,0.24,1.19,1.90,62.5,0.71,0.71,0.24,0.48,0.24,1.90,1.90,0.00,https://fbref.com/en/players/2e3f3462/Juan-Artola,2e3f3462,La Liga 2
52,Miguel Atienza,ESP,MF,Burgos,24-226,1999,13.3,1.65,0.90,0.90,0.75,0.00,1.05,2.18,48.3,1.13,1.20,0.53,0.68,1.28,2.93,2.48,0.00,https://fbref.com/en/players/12eda7be/Miguel-Atienza,12eda7be,La Liga 2
53,Javier Avilés,ESP,"FW,MF",Amorebieta,26-144,1997,7.0,1.00,0.43,0.29,0.43,0.29,0.29,0.57,50.0,0.29,0.71,0.00,0.71,0.14,1.14,0.43,0.00,https://fbref.com/en/players/53ddba36/Javier-Aviles,53ddba36,La Liga 2
54,Iván Ayllón,ESP,"FW,MF",Cartagena,22-249,2001,3.9,1.28,0.26,0.00,0.26,1.03,0.51,0.77,66.7,0.26,1.79,0.00,1.79,1.03,2.31,0.26,0.00,https://fbref.com/en/players/3eee7cbf/Ivan-Ayllon,3eee7cbf,La Liga 2
55,Diego Aznar,ESP,"FW,MF",Huesca,20-110,2003,0.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,3.33,3.33,https://fbref.com/en/players/fefee712/Diego-Aznar,fefee712,La Liga 2
56,Jean-Sylvain Babin,MTQ,DF,Alcorcón,37-086,1986,14.5,0.97,0.69,0.62,0.21,0.14,0.41,0.76,54.5,0.34,1.45,1.17,0.28,0.83,1.79,5.03,0.00,https://fbref.com/en/players/ba998e22/Jean-Sylvain-Babin,ba998e22,La Liga 2
57,Édgar Badía,ESP,GK,Elche,31-330,1992,7.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,1.14,0.14,https://fbref.com/en/players/e4346678/Edgar-Badia,e4346678,La Liga 2
58,Miguel Baeza,ESP,"MF,FW",CD Mirandés,23-287,2000,3.6,1.11,0.83,0.56,0.56,0.00,0.28,2.22,12.5,1.94,0.28,0.00,0.28,1.67,2.78,0.83,0.00,https://fbref.com/en/players/a98f3cbf/Miguel-Baeza,a98f3cbf,La Liga 2
59,Sinan Bakış,TUR,FW,Zaragoza,29-261,1994,7.7,0.78,0.39,0.26,0.39,0.13,0.00,0.26,0.0,0.26,0.39,0.13,0.26,0.13,0.91,0.78,0.00,https://fbref.com/en/players/5d613204/Sinan-Bakis,5d613204,La Liga 2
60,Alex Balboa,EQG,MF,Huesca,22-308,2001,3.0,2.00,1.00,1.33,0.67,0.00,1.00,1.00,100.0,0.00,0.67,0.33,0.33,2.67,4.67,2.00,0.00,https://fbref.com/en/players/6e5c5fc7/Alex-Balboa,6e5c5fc7,La Liga 2
61,Keita Baldé,SEN,"MF,FW",Espanyol,28-306,1995,1.9,2.11,1.58,0.00,1.58,0.53,0.53,0.53,100.0,0.00,3.16,0.00,3.16,0.00,2.11,0.00,0.53,https://fbref.com/en/players/509a4ccb/Keita-Balde,509a4ccb,La Liga 2
62,Barbu,ESP,DF,CD Mirandés,22-228,2001,6.0,0.17,0.17,0.00,0.17,0.00,0.17,0.33,50.0,0.17,1.33,1.00,0.33,1.33,1.50,4.67,0.17,https://fbref.com/en/players/530128a5/Barbu,530128a5,La Liga 2
63,Barcia,ESP,DF,CD Mirandés,23-008,2000,20.3,1.23,0.94,0.89,0.34,0.00,0.39,0.54,72.7,0.15,1.08,0.89,0.20,1.08,2.32,5.12,0.05,https://fbref.com/en/players/0c717ae6/Barcia,0c717ae6,La Liga 2
64,Keidi Bare,ALB,MF,Espanyol,26-133,1997,9.6,1.35,0.52,0.52,0.73,0.10,0.83,1.04,80.0,0.21,1.04,0.21,0.83,1.35,2.71,0.83,0.00,https://fbref.com/en/players/03049c8c/Keidi-Bare,03049c8c,La Liga 2
65,Bernabé Barragán,ESP,GK,Albacete,30-324,1993,17.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.65,0.00,https://fbref.com/en/players/a3cd0078/Bernabe-Barragan,a3cd0078,La Liga 2
66,Djakaría Barro,CIV,MF,Cartagena,21-361,2002,0.2,10.0,5.00,10.0,0.00,0.00,5.00,5.00,100.0,0.00,0.00,0.00,0.00,5.00,15.0,5.00,0.00,https://fbref.com/en/players/eadbd9df/Djakaria-Barro,eadbd9df,La Liga 2
67,Borja Bastón,ESP,FW,Oviedo,31-136,1992,18.3,0.33,0.16,0.16,0.00,0.16,0.05,0.16,33.3,0.11,0.55,0.05,0.49,0.05,0.38,0.71,0.00,https://fbref.com/en/players/8c44e37b/Borja-Baston,8c44e37b,La Liga 2
68,Jon Bautista,ESP,FW,Eibar,28-189,1995,12.3,1.22,0.89,0.16,0.73,0.33,0.08,0.49,16.7,0.41,0.98,0.24,0.73,0.24,1.46,0.89,0.00,https://fbref.com/en/players/debc6b55/Jon-Bautista,debc6b55,La Liga 2
69,Jesús Belza,ESP,"MF,FW",Tenerife,19-316,2004,3.3,0.61,0.30,0.30,0.30,0.00,0.61,1.82,33.3,1.21,0.61,0.30,0.30,0.30,0.91,0.61,0.00,https://fbref.com/en/players/ca14285f/Jesus-Belza,ca14285f,La Liga 2
70,Iker Benito,ESP,"FW,MF",FC Andorra,21-151,2002,13.6,1.18,0.51,0.66,0.51,0.00,0.37,0.66,55.6,0.29,1.25,0.00,1.25,0.96,2.13,0.81,0.00,https://fbref.com/en/players/50cbc806/Iker-Benito,50cbc806,La Liga 2
71,Pedro Benito,ESP,FW,Albacete,23-287,2000,0.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/a7416105/Pedro-Benito,a7416105,La Liga 2
72,Álex Bermejo,ESP,"MF,FW",Burgos,25-028,1998,6.9,1.59,0.58,0.72,0.29,0.58,1.01,2.17,46.7,1.16,1.45,0.00,1.45,0.14,1.74,0.58,0.00,https://fbref.com/en/players/d9b180dd/Alex-Bermejo,d9b180dd,La Liga 2
73,Sergio Bermejo,ESP,"MF,FW",Zaragoza,26-144,1997,6.5,1.38,0.77,0.77,0.62,0.00,0.62,1.54,40.0,0.92,0.77,0.00,0.77,0.62,2.00,0.46,0.00,https://fbref.com/en/players/d166c007/Sergio-Bermejo,d166c007,La Liga 2
74,Álex Bernal,ESP,"MF,FW",Eldense,32-311,1991,5.2,2.12,0.96,0.19,1.54,0.38,0.77,1.54,50.0,0.77,1.54,0.19,1.35,2.31,4.42,0.38,0.00,https://fbref.com/en/players/288f8c08/Alex-Bernal,288f8c08,La Liga 2
75,Jesús Bernal,ESP,MF,Racing Ferrol,27-014,1996,20.3,1.82,0.84,0.84,0.94,0.05,1.13,2.61,43.4,1.48,1.63,0.44,1.18,1.92,3.74,2.07,0.05,https://fbref.com/en/players/af24b94f/Jesus-Bernal,af24b94f,La Liga 2
76,Juan Berrocal González,ESP,DF,Eibar,24-249,1999,16.2,0.86,0.56,0.49,0.31,0.06,0.62,0.93,66.7,0.31,0.99,0.56,0.43,1.60,2.47,3.02,0.06,https://fbref.com/en/players/377ef3a6/Juan-Berrocal-Gonzalez,377ef3a6,La Liga 2
77,Pedro Bigas,ESP,DF,Elche,33-115,1990,17.7,1.02,0.51,0.90,0.11,0.00,0.62,0.96,64.7,0.34,0.85,0.68,0.17,1.02,2.03,3.90,0.11,https://fbref.com/en/players/697295b1/Pedro-Bigas,697295b1,La Liga 2
78,Fabio Blanco,ESP,"MF,DF",Villarreal B,19-324,2004,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/f57dbaf2/Fabio-Blanco,f57dbaf2,La Liga 2
79,Lautaro Blanco,ARG,"DF,MF",Elche,24-323,1999,3.7,1.89,0.81,1.62,0.27,0.00,1.08,2.16,50.0,1.08,0.54,0.27,0.27,0.54,2.43,1.62,0.27,https://fbref.com/en/players/1657f448/Lautaro-Blanco,1657f448,La Liga 2
80,Jérémy Blasco,FRA,DF,Huesca,24-330,1999,14.5,0.97,0.48,0.76,0.14,0.07,0.76,1.03,73.3,0.28,1.52,0.90,0.62,1.03,2.00,5.03,0.00,https://fbref.com/en/players/346feec5/Jeremy-Blasco,346feec5,La Liga 2
81,Alejandro Blesa,ESP,MF,Levante,21-358,2002,0.1,0.00,0.00,0.00,0.00,0.00,0.00,10.0,0.0,10.0,0.00,0.00,0.00,10.0,10.0,0.00,0.00,https://fbref.com/en/players/d2ed99b4/Alejandro-Blesa,d2ed99b4,La Liga 2
82,Adam Boayar,ESP,"DF,MF",Elche,18-087,2005,0.5,8.00,6.00,0.00,8.00,0.00,0.00,0.00,,0.00,4.00,0.00,4.00,2.00,10.0,0.00,0.00,https://fbref.com/en/players/fcc7ecb4/Adam-Boayar,fcc7ecb4,La Liga 2
83,Yann Bodiger,FRA,MF,Tenerife,28-333,1995,6.2,1.45,0.65,0.65,0.81,0.00,0.65,1.61,40.0,0.97,2.26,0.48,1.77,1.61,3.06,1.61,0.00,https://fbref.com/en/players/8c2c48a9/Yann-Bodiger,8c2c48a9,La Liga 2
84,Jovanny Bolívar,VEN,FW,Albacete,22-023,2001,0.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,https://fbref.com/en/players/4cf672bc/Jovanny-Bolivar,4cf672bc,La Liga 2
85,Jovanny Bolívar,VEN,"FW,MF",Huesca,22-023,2001,2.2,2.27,1.36,0.45,1.36,0.45,0.45,0.45,100.0,0.00,0.45,0.00,0.45,0.00,2.27,0.45,0.00,https://fbref.com/en/players/4cf672bc/Jovanny-Bolivar,4cf672bc,La Liga 2
86,Mohamed Bouldini,MAR,FW,Levante,28-042,1995,14.4,1.18,0.76,0.35,0.56,0.28,0.56,1.25,44.4,0.69,0.76,0.00,0.76,0.28,1.46,1.46,0.00,https://fbref.com/en/players/bcd0b89f/Mohamed-Bouldini,bcd0b89f,La Liga 2
87,Ruben Bover,ESP,MF,FC Andorra,31-198,1992,8.5,1.29,0.82,0.35,0.82,0.12,0.59,2.00,29.4,1.41,0.94,0.12,0.82,0.47,1.76,0.82,0.00,https://fbref.com/en/players/16d6583e/Ruben-Bover,16d6583e,La Liga 2
88,Lucas Boyé,ARG,FW,Elche,27-314,1996,2.4,0.42,0.00,0.00,0.42,0.00,0.42,1.25,33.3,0.83,1.67,0.42,1.25,0.00,0.42,1.67,0.00,https://fbref.com/en/players/d49f3e6b/Lucas-Boye,d49f3e6b,La Liga 2
89,Enzo Boyomo,CMR,DF,Valladolid,22-093,2001,18.3,1.37,0.87,0.93,0.38,0.05,0.66,0.93,70.6,0.27,1.20,0.71,0.49,1.09,2.46,2.13,0.05,https://fbref.com/en/players/3a99bc13/Enzo-Boyomo,3a99bc13,La Liga 2
90,Martin Braithwaite,DEN,FW,Espanyol,32-217,1991,18.3,0.33,0.33,0.05,0.11,0.16,0.05,0.22,25.0,0.16,0.82,0.05,0.77,0.16,0.49,0.33,0.00,https://fbref.com/en/players/fd771f95/Martin-Braithwaite,fd771f95,La Liga 2
91,Juanma Bravo,ESP,"MF,FW",Alcorcón,25-332,1998,1.0,4.00,3.00,1.00,2.00,1.00,3.00,6.00,50.0,3.00,3.00,0.00,3.00,0.00,4.00,1.00,0.00,https://fbref.com/en/players/f0753883/Juanma-Bravo,f0753883,La Liga 2
92,Yan Brice Eteki,CMR,MF,Alcorcón,26-135,1997,13.4,2.01,1.42,0.82,1.04,0.15,1.04,2.24,46.7,1.19,1.04,0.22,0.82,1.12,3.13,1.42,0.07,https://fbref.com/en/players/3d688b46/Yan-Brice-Eteki,3d688b46,La Liga 2
93,Brugui,ESP,"MF,FW",Levante,27-065,1996,5.8,3.28,1.72,1.21,1.38,0.69,1.21,3.79,31.8,2.59,1.55,0.00,1.55,1.38,4.66,0.69,0.00,https://fbref.com/en/players/66d0860c/Brugui,66d0860c,La Liga 2
94,Aitor Buñuel,ESP,DF,Tenerife,25-332,1998,10.7,1.50,1.21,0.75,0.56,0.19,0.84,2.06,40.9,1.21,1.31,0.47,0.84,1.21,2.71,2.71,0.00,https://fbref.com/en/players/6555c592/Aitor-Bunuel,6555c592,La Liga 2
95,Álvaro Bustos,ESP,"MF,FW",Alcorcón,28-196,1995,2.7,1.11,1.11,0.00,0.37,0.74,0.00,0.74,0.0,0.74,1.48,0.00,1.48,1.11,2.22,1.48,0.00,https://fbref.com/en/players/6163c2ae/Alvaro-Bustos,6163c2ae,La Liga 2
96,Yeray Cabanzón,ESP,"FW,MF",Racing Sant,20-239,2003,2.3,1.74,1.74,1.30,0.43,0.00,0.87,1.74,50.0,0.87,2.17,0.00,2.17,0.87,2.61,0.87,0.00,https://fbref.com/en/players/fe6c5de7/Yeray-Cabanzon,fe6c5de7,La Liga 2
97,Leandro Cabrera,URU,DF,Espanyol,32-205,1991,17.9,1.23,0.73,0.73,0.50,0.00,0.61,1.01,61.1,0.39,1.17,0.61,0.56,0.61,1.84,3.85,0.06,https://fbref.com/en/players/69cbc8b6/Leandro-Cabrera,69cbc8b6,La Liga 2
