Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Player Link_,Player ID_,Competition
146,Cosimo Marco Da Graca,ITA,"FW,MF",Amorebieta,21-252,2002,4.9,23.7,1.02,1.84,8.37,13.7,1.63,23.7,1.22,0.61,50.0,0.61,50.0,11.2,43.1,7.96,0.00,0.41,0.00,4.90,1.02,15.1,4.29,https://fbref.com/en/players/32f76907/Cosimo-Marco-Da-Graca,32f76907,La Liga 2
147,Toni Datković,CRO,DF,Albacete,30-063,1993,3.6,35.3,3.61,19.2,14.2,2.22,1.39,35.3,0.00,0.00,,0.00,,10.0,39.7,6.94,0.00,0.00,0.00,0.56,0.00,14.4,0.00,https://fbref.com/en/players/0893e14b/Toni-Datkovic,0893e14b,La Liga 2
148,Toni Datković,CRO,DF,Cartagena,30-063,1993,1.0,63.0,9.00,30.0,31.0,2.00,2.00,63.0,0.00,0.00,,0.00,,35.0,180.0,90.0,1.00,0.00,0.00,0.00,0.00,41.0,0.00,https://fbref.com/en/players/0893e14b/Toni-Datkovic,0893e14b,La Liga 2
149,Konrad De La Fuente,USA,"FW,MF",Eibar,22-176,2001,0.8,45.0,1.25,8.75,17.5,20.0,5.00,45.0,15.0,5.00,33.3,7.50,50.0,26.3,248.8,102.5,3.75,2.50,1.25,3.75,0.00,32.5,10.0,https://fbref.com/en/players/4b77bb89/Konrad-De-La-Fuente,4b77bb89,La Liga 2
150,Alberto Del Moral,ESP,"MF,DF",Villarreal B,23-172,2000,13.9,66.0,3.60,19.4,42.2,4.75,0.86,66.0,0.79,0.43,54.5,0.29,36.4,32.7,124.1,55.9,0.43,0.50,0.07,1.22,0.22,43.2,0.94,https://fbref.com/en/players/84a85b48/Alberto-Del-Moral,84a85b48,La Liga 2
151,Moisés Delgado,ESP,DF,Racing Ferrol,29-265,1994,10.8,59.4,2.96,21.7,28.9,9.35,0.19,59.4,1.30,0.65,50.0,0.46,35.7,25.6,117.1,66.9,1.20,0.93,0.00,0.93,0.56,33.7,2.22,https://fbref.com/en/players/248c409d/Moises-Delgado,248c409d,La Liga 2
152,Julián Delmás,ESP,DF,Racing Ferrol,28-263,1995,10.8,69.7,2.69,18.2,36.7,15.9,0.37,69.7,2.04,1.11,54.5,0.93,45.5,30.8,162.8,103.1,2.50,1.11,0.19,1.11,0.74,35.4,2.59,https://fbref.com/en/players/70283ec6/Julian-Delmas,70283ec6,La Liga 2
153,Derick,BRA,"DF,MF",Eldense,30-129,1993,6.4,44.7,3.28,15.6,19.2,10.5,0.63,44.7,0.63,0.31,50.0,0.31,50.0,19.5,130.0,55.6,2.03,0.94,0.31,2.03,0.16,18.1,2.19,https://fbref.com/en/players/cb1580aa/Derick,cb1580aa,La Liga 2
154,Diego,ESP,FW,Leganés,23-265,2000,16.3,28.0,1.04,2.52,12.0,13.9,3.07,28.0,0.49,0.25,50.0,0.18,37.5,15.7,76.2,25.2,0.74,1.17,0.25,2.58,1.78,22.6,4.72,https://fbref.com/en/players/b85a5126/Diego,b85a5126,La Liga 2
155,Landry Dimata,BEL,"FW,MF",Espanyol,26-129,1997,0.5,42.0,4.00,8.00,26.0,8.00,4.00,42.0,6.00,2.00,33.3,4.00,66.7,26.0,120.0,2.00,0.00,0.00,0.00,10.0,2.00,36.0,6.00,https://fbref.com/en/players/b5f63410/Landry-Dimata,b5f63410,La Liga 2
