Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Player Link_,Player ID_,Competition
21,Diego Alende,ESP,DF,FC Andorra,26-136,1997,4.0,71.3,65.0,6.25,4.50,0.00,0.50,0.00,1.00,0.00,0.00,0.00,0.00,65.8,0.00,0.75,https://fbref.com/en/players/9af88279/Diego-Alende,9af88279,La Liga 2
22,Ángel Algobia,ESP,"MF,DF",Levante,24-199,1999,6.7,51.3,50.7,0.60,0.60,0.00,0.75,0.30,0.00,0.00,0.00,0.00,0.00,44.9,0.00,0.90,https://fbref.com/en/players/acc1aefa/Angel-Algobia,acc1aefa,La Liga 2
23,Julio Alonso,ESP,DF,Albacete,25-025,1998,13.5,62.5,48.8,13.6,1.26,0.07,0.07,3.93,12.1,0.15,0.00,0.00,0.00,44.1,0.15,2.15,https://fbref.com/en/players/8fcea8a1/Julio-Alonso,8fcea8a1,La Liga 2
24,Rodri Alonso,ESP,MF,Villarreal B,21-004,2003,6.3,,,,,,,1.59,,,,,,,,,https://fbref.com/en/players/5d048362/Rodri-Alonso,5d048362,La Liga 2
25,Adrià Altimira,ESP,"DF,MF",Villarreal B,22-286,2001,8.2,44.3,37.8,6.46,1.46,0.00,1.10,1.34,5.00,0.00,0.00,0.00,0.00,36.6,0.00,0.24,https://fbref.com/en/players/757a3431/Adria-Altimira,757a3431,La Liga 2
26,Altube,ESP,GK,Albacete,23-320,2000,4.0,25.5,14.8,10.8,2.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.0,0.00,0.00,https://fbref.com/en/players/e4cbb095/Altube,e4cbb095,La Liga 2
27,Carlos Álvarez,ESP,MF,Levante,20-155,2003,5.5,45.1,42.4,2.18,0.73,1.09,0.18,1.82,0.00,1.09,0.36,0.18,0.00,35.3,0.55,1.27,https://fbref.com/en/players/56bcaaa0/Carlos-Alvarez,56bcaaa0,La Liga 2
28,Cristian Álvarez,ARG,GK,Zaragoza,38-056,1985,9.7,35.6,25.9,9.59,3.09,0.00,0.41,0.00,0.00,0.00,0.00,0.00,0.00,24.8,0.10,0.00,https://fbref.com/en/players/87e89eb4/Cristian-Alvarez,87e89eb4,La Liga 2
29,Iker Álvarez,AND,GK,Villarreal B,22-167,2001,15.0,30.9,20.9,9.87,2.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.0,0.07,0.00,https://fbref.com/en/players/13619663/Iker-Alvarez,13619663,La Liga 2
30,Sergio Álvarez,ESP,MF,Eibar,31-350,1992,19.2,51.0,50.0,0.89,0.83,0.05,0.36,0.00,0.05,0.00,0.00,0.00,0.00,43.2,0.10,0.26,https://fbref.com/en/players/88d91621/Sergio-Alvarez,88d91621,La Liga 2
31,Jair Amador,EQG,DF,Zaragoza,34-140,1989,19.5,54.6,51.9,2.56,2.05,0.00,0.46,0.10,0.00,0.00,0.00,0.00,0.00,46.3,0.15,0.36,https://fbref.com/en/players/82b27ccb/Jair-Amador,82b27ccb,La Liga 2
32,Selim Amallah,MAR,MF,Valladolid,27-054,1996,0.3,20.0,20.0,0.00,0.00,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.3,0.00,0.00,https://fbref.com/en/players/00eba9c9/Selim-Amallah,00eba9c9,La Liga 2
33,Jose Amo,ESP,DF,Tenerife,25-274,1998,16.9,49.1,47.8,1.07,0.89,0.00,0.41,0.00,0.00,0.00,0.00,0.00,0.00,39.7,0.24,0.12,https://fbref.com/en/players/444610e8/Jose-Amo,444610e8,La Liga 2
34,Lucas Anacker,BRA,GK,Alcorcón,27-108,1996,3.0,32.3,16.7,15.3,3.33,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,19.0,0.33,0.00,https://fbref.com/en/players/0b5d06ee/Lucas-Anacker,0b5d06ee,La Liga 2
35,Florin Andone,ROU,FW,Eldense,30-272,1993,13.1,16.2,15.3,0.84,0.00,0.00,0.00,0.69,0.00,0.00,0.00,0.00,0.00,9.62,0.08,0.53,https://fbref.com/en/players/dc008610/Florin-Andone,dc008610,La Liga 2
36,Marcos André,BRA,FW,Valladolid,27-080,1996,3.3,11.2,10.6,0.61,0.30,0.30,0.61,0.00,0.00,0.00,0.00,0.00,0.00,6.97,0.00,0.61,https://fbref.com/en/players/ae86d473/Marcos-Andre,ae86d473,La Liga 2
37,Andy,ESP,"MF,DF",Burgos,33-343,1990,2.0,62.5,52.5,10.0,4.50,0.00,1.50,8.00,0.00,5.50,3.00,2.00,0.00,50.0,0.00,1.00,https://fbref.com/en/players/bdc7dbb0/Andy,bdc7dbb0,La Liga 2
38,José Ángel,ESP,DF,Sporting Gijón,34-125,1989,16.3,63.5,48.3,14.8,2.45,0.06,0.25,9.08,8.71,3.68,2.39,0.92,0.00,48.6,0.31,0.92,https://fbref.com/en/players/3024e383/Jose-Angel,3024e383,La Liga 2
39,Josep Antoni Gayá,ESP,DF,Amorebieta,23-185,2000,9.9,44.4,43.5,0.91,0.71,0.00,0.30,0.10,0.20,0.00,0.00,0.00,0.00,37.0,0.00,0.40,https://fbref.com/en/players/4a5f2032/Josep-Antoni-Gaya,4a5f2032,La Liga 2
40,José Antonio Ríos,ESP,DF,Eibar,33-243,1990,8.5,59.6,42.2,16.8,1.29,0.00,0.47,5.29,14.0,1.53,0.59,0.47,0.12,41.2,0.59,1.29,https://fbref.com/en/players/7f72a644/Jose-Antonio-Rios,7f72a644,La Liga 2
41,Juan Antonio Ros,ESP,DF,Albacete,27-299,1996,5.9,61.4,59.2,2.03,1.86,0.00,0.17,0.34,0.17,0.00,0.00,0.00,0.00,50.0,0.17,0.51,https://fbref.com/en/players/44415755/Juan-Antonio-Ros,44415755,La Liga 2
42,Antoniu,ESP,FW,Espanyol,21-125,2002,0.3,20.0,20.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.0,0.00,0.00,https://fbref.com/en/players/af784a9e/Antoniu,af784a9e,La Liga 2
43,Anuar,MAR,MF,Valladolid,28-358,1995,3.2,33.8,32.8,0.94,0.31,0.00,0.31,0.94,0.63,0.00,0.00,0.00,0.00,29.1,0.00,0.94,https://fbref.com/en/players/c93231dc/Anuar,c93231dc,La Liga 2
