Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Player Link_,Player ID_,Competition
15,Éverson,BRA,GK,Atlético Mineiro,,32,1990,36.0,0.86,0.06,0.03,0.03,0.03,1.15,0.3,0.31,0.31,5.28,13.1,40.3,24.6,3.67,43.8,37.1,4.92,47.5,40.5,14.6,0.83,5.7,1.0,1.0,14.2,https://fbref.com/en/players/a59c090b/Everson,a59c090b,Brazilian Serie A
16,Fábio,BRA,GK,Fluminense,,42,1980,35.0,1.17,0.14,0.0,0.11,0.03,1.37,0.3,0.22,0.22,1.26,3.51,35.8,21.5,4.86,11.4,22.2,8.4,12.6,15.5,14.5,1.14,7.9,0.83,0.83,12.6,https://fbref.com/en/players/15825726/Fabio,15825726,Brazilian Serie A
17,Marcos Felipe,BRA,GK,Bahia,,26,1996,37.0,1.38,0.16,0.03,0.11,0.03,1.56,0.29,0.21,0.21,5.38,13.7,39.3,23.9,3.76,41.7,36.1,6.78,54.6,43.1,12.3,0.73,5.9,1.05,1.05,14.8,https://fbref.com/en/players/453bdfb9/Marcos-Felipe,453bdfb9,Brazilian Serie A
18,Danilo Fernandes,BRA,GK,Bahia,,34,1988,0.4,,,,,,3.75,0.25,,,2.5,15.0,16.7,25.0,2.5,40.0,35.3,10.0,50.0,34.5,17.5,2.5,14.3,,,10.0,https://fbref.com/en/players/ed05acdc/Danilo-Fernandes,ed05acdc,Brazilian Serie A
19,Gatito Fernández,PAR,GK,Botafogo (RJ),,34,1988,0.5,2.0,0.0,0.0,0.0,0.0,3.6,0.45,1.6,1.59,4.0,8.0,50.0,20.0,6.0,40.0,30.4,6.0,0.0,20.0,6.0,2.0,33.3,6.0,6.0,18.4,https://fbref.com/en/players/9a82f79a/Gatito-Fernandez,9a82f79a,Brazilian Serie A
20,Gabriel,BRA,GK,Coritiba,,30,1992,30.7,1.95,0.23,0.03,0.29,0.07,1.69,0.27,-0.2,-0.2,5.15,15.1,34.1,24.2,4.98,45.3,38.3,8.34,49.6,40.8,17.3,1.37,7.9,0.91,0.91,12.3,https://fbref.com/en/players/f93ed0df/Gabriel,f93ed0df,Brazilian Serie A
21,Jandrei,BRA,GK,São Paulo,,29,1993,5.0,0.8,0.4,0.0,0.0,0.0,1.14,0.22,0.34,0.33,7.8,18.6,41.9,37.6,5.0,36.7,35.5,10.0,48.0,41.6,12.8,0.6,4.7,0.8,0.8,15.2,https://fbref.com/en/players/85ea4399/Jandrei,85ea4399,Brazilian Serie A
22,Léo Jardim,BRA,GK,Vasco da Gama,,27,1995,38.0,1.34,0.11,0.05,0.13,0.0,1.4,0.27,0.06,0.06,3.61,9.71,37.1,16.7,3.79,37.7,34.3,8.29,41.3,35.6,15.8,0.89,5.7,0.39,0.39,10.8,https://fbref.com/en/players/f5dfc256/Leo-Jardim,f5dfc256,Brazilian Serie A
23,John,BRA,GK,Internacional,,26,1996,9.0,0.56,0.0,0.0,0.22,0.0,1.34,0.32,0.79,0.79,3.0,9.33,32.1,16.6,3.67,40.3,34.2,7.78,34.3,30.6,19.1,0.22,1.2,1.44,1.44,13.8,https://fbref.com/en/players/33a235af/John,33a235af,Brazilian Serie A
24,Jori,BRA,GK,América (MG),,26,1996,11.0,2.27,0.18,0.09,0.27,0.09,2.15,0.31,-0.03,-0.02,3.27,9.73,33.6,16.1,5.64,33.9,33.7,8.64,49.5,38.9,19.0,1.36,7.2,0.73,0.73,10.8,https://fbref.com/en/players/9aecb45b/Jori,9aecb45b,Brazilian Serie A
