Rk,Player,Nation,Pos,Squad,Age,Born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Player Link_,Player ID_,Competition
381,Nkanyiso Shinga,RSA,"DF,MF",Estrela,23-284,2000,4.7,0.00,0.00,0.00,0.85,0.43,0.00,2.34,1.28,2.13,0.00,0.00,0.00,4.68,1.06,1.49,41.7,https://fbref.com/en/players/9e638fdb/Nkanyiso-Shinga,9e638fdb,Primeira Liga
382,André Silva,BRA,FW,Vitória,26-219,1997,13.3,0.15,0.00,0.00,0.98,0.53,0.68,0.68,0.23,0.23,0.00,0.00,0.00,3.91,1.65,3.31,33.3,https://fbref.com/en/players/dde93e2c/Andre-Silva,dde93e2c,Primeira Liga
383,António Silva,POR,DF,Benfica,20-070,2003,15.0,0.20,0.00,0.00,0.73,0.33,0.07,0.00,0.60,1.80,0.00,0.07,0.00,6.60,2.13,1.47,59.3,https://fbref.com/en/players/8f0435c7/Antonio-Silva,8f0435c7,Primeira Liga
384,Gonçalo Silva,POR,DF,Farense,32-218,1991,14.2,0.07,0.07,0.00,0.56,0.14,0.21,0.07,1.41,0.85,0.00,0.07,0.00,4.79,1.83,1.62,53.1,https://fbref.com/en/players/599e6b6f/Goncalo-Silva,599e6b6f,Primeira Liga
385,Joel silva,POR,"MF,FW",Boavista,20-331,2003,0.5,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,12.0,2.00,0.00,100.0,https://fbref.com/en/players/6deb1eab/Joel-silva,6deb1eab,Primeira Liga
386,Jota Silva,POR,"FW,MF",Vitória,24-160,1999,15.1,0.26,0.00,0.00,1.39,1.72,1.06,2.78,0.73,0.66,0.00,0.00,0.00,3.71,1.85,2.25,45.2,https://fbref.com/en/players/4d77e622/Jota-Silva,4d77e622,Primeira Liga
387,Felipe Silva Lipe,BRA,DF,Gil Vicente FC,21-323,2002,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.0,0.00,0.00,,https://fbref.com/en/players/6b2bfcda/Felipe-Silva-Lipe,6b2bfcda,Primeira Liga
388,Rafa Silva,POR,MF,Benfica,30-236,1993,15.6,0.13,0.00,0.00,1.09,2.69,0.83,0.58,0.38,0.71,0.00,0.00,0.00,3.85,0.64,0.77,45.5,https://fbref.com/en/players/70cf63ca/Rafa-Silva,70cf63ca,Primeira Liga
389,Tiago Silva,POR,MF,Vitória,30-220,1993,10.5,0.38,0.00,0.00,1.90,1.24,0.00,6.48,1.14,1.24,0.00,0.00,0.00,5.90,0.57,1.24,31.6,https://fbref.com/en/players/44d0de01/Tiago-Silva,44d0de01,Primeira Liga
390,Vinicius Silvestre,BRA,GK,Portimonense,29-286,1994,14.0,0.07,0.00,0.00,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.43,0.57,0.00,100.0,https://fbref.com/en/players/1944518a/Vinicius-Silvestre,1944518a,Primeira Liga
391,David Simão,POR,MF,Arouca,33-238,1990,13.0,0.23,0.08,0.00,1.08,1.54,0.00,4.62,1.38,0.85,0.00,0.00,0.00,5.77,0.85,0.38,68.8,https://fbref.com/en/players/fcef3903/David-Simao,fcef3903,Primeira Liga
392,André Simões,POR,FW,Gil Vicente FC,20-144,2003,0.2,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,,https://fbref.com/en/players/edc7be9d/Andre-Simoes,edc7be9d,Primeira Liga
393,Alexandre Miguel Barros Soares,POR,MF,Estoril,32-313,1991,2.8,0.00,0.00,0.00,1.07,2.14,0.00,0.71,1.07,1.43,0.00,0.00,0.00,6.07,0.36,1.43,20.0,https://fbref.com/en/players/ba0aead1/Alexandre-Miguel-Barros-Soares,ba0aead1,Primeira Liga
