Rk,Player,Nation,Pos,Squad,Age,Born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Player Link_,Player ID_,Competition
163,Ricardo Esgaio,POR,"DF,MF",Sporting CP,29,1993,14.6,0.07,0.82,0.55,66.7,0.82,0.55,0.08,0.13,14.2,0.00,0.00,0.00,0.13,0.13,0.16,-0.06,-0.06,https://fbref.com/en/players/12dcbdcc/Ricardo-Esgaio,12dcbdcc,Primeira Liga
164,Tiago Esgaio,POR,DF,Arouca,26,1995,25.4,0.00,0.43,0.08,18.2,0.43,0.08,0.00,0.00,15.8,0.00,0.00,0.00,0.03,0.03,0.07,-0.03,-0.03,https://fbref.com/en/players/9c14a96b/Tiago-Esgaio,9c14a96b,Primeira Liga
165,Dario Essugo,POR,MF,Sporting CP,17,2005,2.2,0.00,0.91,0.00,0.0,0.90,0.00,0.00,,28.8,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,https://fbref.com/en/players/1e4319ac/Dario-Essugo,1e4319ac,Primeira Liga
166,Gonçalo Esteves,POR,DF,Estoril,18,2004,2.0,0.00,0.50,0.50,100.0,0.51,0.51,0.00,0.00,21.4,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,https://fbref.com/en/players/ea3b4578/Goncalo-Esteves,ea3b4578,Primeira Liga
167,Paulo Estrela Moreira,POR,MF,Portimonense,23,1999,16.8,0.12,0.54,0.18,33.3,0.54,0.18,0.11,0.33,29.7,0.12,0.06,0.12,0.11,0.02,0.04,0.01,0.04,https://fbref.com/en/players/edf2b497/Paulo-Estrela-Moreira,edf2b497,Primeira Liga
168,Friday Etim,NGA,FW,Vizela,20,2002,4.9,0.41,4.29,2.04,47.6,4.25,2.02,0.10,0.20,13.2,0.00,0.00,0.00,0.55,0.55,0.13,-0.14,-0.14,https://fbref.com/en/players/28eedd20/Friday-Etim,28eedd20,Primeira Liga
169,Euller,BRA,"FW,MF",Chaves,27,1995,11.8,0.08,1.53,0.42,27.8,1.52,0.42,0.06,0.20,20.1,0.25,0.00,0.00,0.22,0.22,0.15,-0.14,-0.14,https://fbref.com/en/players/45ef868f/Euller,45ef868f,Primeira Liga
170,Stephen Eustáquio,CAN,MF,Porto,25,1996,18.6,0.11,1.40,0.38,26.9,1.40,0.38,0.08,0.29,20.0,0.11,0.00,0.00,0.11,0.11,0.08,-0.01,-0.01,https://fbref.com/en/players/577efaec/Stephen-Eustaquio,577efaec,Primeira Liga
171,Evanilson,BRA,FW,Porto,22,1999,15.0,0.47,2.27,0.87,38.2,2.26,0.86,0.21,0.54,11.3,0.00,0.00,0.00,0.61,0.61,0.27,-0.14,-0.14,https://fbref.com/en/players/6f3cc2fe/Evanilson,6f3cc2fe,Primeira Liga
172,Ewerton,BRA,MF,Portimonense,29,1992,6.5,0.15,1.38,0.77,55.6,1.39,0.77,0.11,0.20,16.1,0.00,0.00,0.00,0.15,0.15,0.12,0.00,0.00,https://fbref.com/en/players/46e98743/Ewerton,46e98743,Primeira Liga
