Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Player Link_,Player ID_,Competition
11,Abdel Abqar,MAR,DF,Alavés,es La Liga,25-051,1999,21.2,31.2,29.1,1.93,1.75,0.00,0.75,0.05,0.14,0.00,0.00,0.00,0.00,22.7,0.14,0.42,https://fbref.com/en/players/2bc7f211/Abdel-Abqar,2bc7f211,Big 5 combined
12,Tammy Abraham,ENG,FW,Roma,it Serie A,26-211,1997,1.2,10.0,9.17,0.83,0.00,0.00,0.00,0.83,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,https://fbref.com/en/players/f586779e/Tammy-Abraham,f586779e,Big 5 combined
13,Francesco Acerbi,ITA,DF,Inter,it Serie A,36-080,1988,24.5,66.9,64.6,2.24,1.59,0.00,0.41,0.33,0.33,0.00,0.00,0.00,0.00,60.5,0.08,0.20,https://fbref.com/en/players/b96b595c/Francesco-Acerbi,b96b595c,Big 5 combined
14,Marcos Acuña,ARG,DF,Sevilla,es La Liga,32-185,1991,11.2,58.6,46.7,11.7,1.61,0.00,0.54,5.45,8.93,1.16,0.36,0.80,0.00,44.3,0.18,1.16,https://fbref.com/en/players/81442ecb/Marcos-Acuna,81442ecb,Big 5 combined
15,Bénie Adama Traore,CIV,"FW,MF",Sheffield Utd,eng Premier League,21-152,2002,4.3,16.5,15.1,1.16,0.00,0.47,0.00,0.70,0.00,0.00,0.00,0.00,0.00,12.8,0.23,0.93,https://fbref.com/en/players/77816c91/Benie-Adama-Traore,77816c91,Big 5 combined
16,Bénie Adama Traore,CIV,"FW,MF",Nantes,fr Ligue 1,21-152,2002,3.6,27.8,26.7,1.11,0.00,0.28,0.00,1.94,0.56,0.00,0.00,0.00,0.00,20.0,0.00,2.22,https://fbref.com/en/players/77816c91/Benie-Adama-Traore,77816c91,Big 5 combined
17,Akor Adams,NGA,FW,Montpellier,fr Ligue 1,24-092,2000,23.1,15.4,15.1,0.30,0.00,0.09,0.04,0.52,0.04,0.00,0.00,0.00,0.00,9.96,0.00,0.87,https://fbref.com/en/players/2ccd39ed/Akor-Adams,2ccd39ed,Big 5 combined
18,Tyler Adams,USA,MF,Bournemouth,eng Premier League,25-076,1999,1.2,51.7,49.2,2.50,1.67,0.00,0.83,0.83,0.83,0.00,0.00,0.00,0.00,41.7,0.00,0.00,https://fbref.com/en/players/2b09d998/Tyler-Adams,2b09d998,Big 5 combined
19,Junior Adamu,AUT,"FW,MF",Freiburg,de Bundesliga,22-329,2001,1.1,25.5,24.5,0.91,0.00,0.00,0.00,0.91,0.00,0.00,0.00,0.00,0.00,14.5,0.00,0.00,https://fbref.com/en/players/82e12fe7/Junior-Adamu,82e12fe7,Big 5 combined
20,Sargis Adamyan,ARM,"FW,MF",Köln,de Bundesliga,30-343,1993,8.3,21.6,19.2,2.29,0.12,0.00,0.24,0.48,0.24,0.00,0.00,0.00,0.00,15.4,0.12,0.72,https://fbref.com/en/players/22919e97/Sargis-Adamyan,22919e97,Big 5 combined
21,Tosin Adarabioyo,ENG,DF,Fulham,eng Premier League,26-219,1997,18.0,67.6,65.6,1.83,1.56,0.06,0.50,0.06,0.11,0.00,0.00,0.00,0.00,57.1,0.11,0.44,https://fbref.com/en/players/c81d773d/Tosin-Adarabioyo,c81d773d,Big 5 combined
22,Elijah Adebayo,ENG,FW,Luton Town,eng Premier League,26-114,1998,13.1,13.8,13.7,0.08,0.00,0.08,0.00,0.31,0.08,0.00,0.00,0.00,0.00,10.1,0.08,0.31,https://fbref.com/en/players/0480ebc7/Elijah-Adebayo,0480ebc7,Big 5 combined
23,Karim Adeyemi,GER,"FW,MF",Dortmund,de Bundesliga,22-103,2002,9.2,28.5,26.6,1.85,0.33,0.00,0.00,2.39,1.09,0.33,0.11,0.22,0.00,20.8,0.00,1.74,https://fbref.com/en/players/501055d8/Karim-Adeyemi,501055d8,Big 5 combined
24,Simon Adingra,CIV,FW,Brighton,eng Premier League,22-120,2002,20.9,34.4,33.3,0.96,0.14,0.19,0.10,3.25,0.57,0.24,0.00,0.05,0.00,25.7,0.10,1.15,https://fbref.com/en/players/4dcec659/Simon-Adingra,4dcec659,Big 5 combined
25,Nathaniel Adjei,GHA,DF,Lorient,fr Ligue 1,21-253,2002,12.1,50.1,46.8,3.22,2.15,0.00,0.25,0.17,0.91,0.00,0.00,0.00,0.00,43.3,0.08,0.41,https://fbref.com/en/players/c55de1f5/Nathaniel-Adjei,c55de1f5,Big 5 combined
26,Amine Adli,MAR,"MF,FW",Leverkusen,de Bundesliga,23-356,2000,9.0,45.7,44.4,1.11,0.22,0.22,0.11,2.44,0.67,0.00,0.00,0.00,0.00,36.1,0.11,1.11,https://fbref.com/en/players/dcfb17f4/Amine-Adli,dcfb17f4,Big 5 combined
27,Yacine Adli,FRA,MF,Milan,it Serie A,23-276,2000,15.2,82.4,77.4,4.87,2.17,0.20,1.05,3.16,0.46,2.24,0.72,0.79,0.00,71.4,0.13,0.86,https://fbref.com/en/players/26777636/Yacine-Adli,26777636,Big 5 combined
28,Adryelson,BRA,"DF,FW",Lyon,fr Ligue 1,26-038,1998,0.1,50.0,50.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.0,0.00,0.00,https://fbref.com/en/players/e980e78d/Adryelson,e980e78d,Big 5 combined
29,Adson,BRA,"MF,FW",Nantes,fr Ligue 1,23-207,2000,2.6,50.0,49.2,0.77,0.00,0.00,0.00,0.77,0.77,0.00,0.00,0.00,0.00,44.2,0.00,0.77,https://fbref.com/en/players/eda38706/Adson,eda38706,Big 5 combined
30,Michel Aebischer,SUI,MF,Bologna,it Serie A,27-115,1997,21.9,60.7,58.4,2.19,1.42,0.14,0.23,0.55,0.50,0.27,0.14,0.00,0.00,55.5,0.14,0.73,https://fbref.com/en/players/f9c927de/Michel-Aebischer,f9c927de,Big 5 combined
31,Emmanuel Agbadou,CIV,DF,Reims,fr Ligue 1,26-318,1997,25.8,66.5,62.6,3.76,1.67,0.19,0.43,0.23,1.86,0.00,0.00,0.00,0.00,58.1,0.16,0.35,https://fbref.com/en/players/75f1ed80/Emmanuel-Agbadou,75f1ed80,Big 5 combined
32,Julen Agirrezabala,ESP,GK,Athletic Club,es La Liga,23-126,2000,1.0,37.0,28.0,9.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.0,0.00,1.00,https://fbref.com/en/players/a2c1a8d3/Julen-Agirrezabala,a2c1a8d3,Big 5 combined
33,Lucien Agoume,FRA,MF,Inter,it Serie A,22-081,2002,0.1,50.0,50.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.0,0.00,0.00,https://fbref.com/en/players/8bc8829a/Lucien-Agoume,8bc8829a,Big 5 combined
34,Lucien Agoume,FRA,MF,Sevilla,es La Liga,22-081,2002,3.8,40.5,40.5,0.00,0.00,0.00,0.00,0.26,0.00,0.00,0.00,0.00,0.00,32.6,0.00,0.79,https://fbref.com/en/players/8bc8829a/Lucien-Agoume,8bc8829a,Big 5 combined
35,Felix Agu,GER,"DF,MF",Werder Bremen,de Bundesliga,24-216,1999,15.3,35.5,28.2,7.06,0.13,0.00,0.13,2.61,6.86,0.07,0.00,0.00,0.00,25.4,0.20,1.90,https://fbref.com/en/players/cb6d81b3/Felix-Agu,cb6d81b3,Big 5 combined
36,Nayef Aguerd,MAR,DF,West Ham,eng Premier League,28-031,1996,20.6,57.1,53.4,3.64,2.67,0.05,1.41,0.24,0.29,0.00,0.00,0.00,0.00,45.8,0.10,0.24,https://fbref.com/en/players/288e1e13/Nayef-Aguerd,288e1e13,Big 5 combined
37,Ruben Aguilar,FRA,DF,Lens,fr Ligue 1,31-004,1993,20.3,60.3,51.5,8.67,0.84,0.15,0.05,3.60,7.83,0.00,0.00,0.00,0.00,49.1,0.15,1.67,https://fbref.com/en/players/3dd738a1/Ruben-Aguilar,3dd738a1,Big 5 combined
38,Brandon Aguilera,CRC,FW,Nott'ham Forest,eng Premier League,20-307,2003,0.1,80.0,80.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.0,0.00,10.0,https://fbref.com/en/players/938fa024/Brandon-Aguilera,938fa024,Big 5 combined
39,Naouirou Ahamada,FRA,"MF,FW",Crystal Palace,eng Premier League,22-032,2002,3.1,49.7,48.7,0.97,0.00,0.00,0.00,1.94,0.65,0.00,0.00,0.00,0.00,40.3,0.00,2.58,https://fbref.com/en/players/a6c58494/Naouirou-Ahamada,a6c58494,Big 5 combined
40,Anel Ahmedhodžić,BIH,DF,Sheffield Utd,eng Premier League,25-035,1999,27.4,33.3,32.0,1.24,0.33,0.04,0.07,0.18,0.91,0.00,0.00,0.00,0.00,25.1,0.07,0.73,https://fbref.com/en/players/eab957a3/Anel-Ahmedhodzic,eab957a3,Big 5 combined
41,Joseph Aidoo,GHA,DF,Celta Vigo,es La Liga,28-214,1995,4.5,41.1,38.9,2.22,1.33,0.22,0.00,0.00,0.89,0.00,0.00,0.00,0.00,32.2,0.00,0.00,https://fbref.com/en/players/18abe173/Joseph-Aidoo,18abe173,Big 5 combined
42,Ola Aina,NGA,DF,Nott'ham Forest,eng Premier League,27-205,1996,16.8,41.4,33.8,7.56,0.65,0.12,0.12,1.49,6.90,0.00,0.00,0.00,0.00,31.0,0.06,0.95,https://fbref.com/en/players/246d153b/Ola-Aina,246d153b,Big 5 combined
43,Rayan Aït-Nouri,ALG,"DF,MF",Wolves,eng Premier League,22-329,2001,23.4,46.6,41.2,5.21,0.98,0.09,0.17,1.58,3.89,0.34,0.21,0.09,0.00,39.6,0.17,0.77,https://fbref.com/en/players/9b398aea/Rayan-Ait-Nouri,9b398aea,Big 5 combined
44,Tosin Aiyegun,BEN,"MF,FW",Lorient,fr Ligue 1,25-309,1998,8.7,20.2,19.1,0.92,0.00,0.00,0.00,0.80,0.11,0.00,0.00,0.00,0.00,15.7,0.23,0.23,https://fbref.com/en/players/9c4f39b3/Tosin-Aiyegun,9c4f39b3,Big 5 combined
45,Kristoffer Ajer,NOR,DF,Brentford,eng Premier League,26-013,1998,19.2,38.9,35.4,3.49,0.47,0.05,0.47,1.04,2.76,0.00,0.00,0.00,0.00,29.0,0.05,0.57,https://fbref.com/en/players/a8c0acb7/Kristoffer-Ajer,a8c0acb7,Big 5 combined
46,Ludovic Ajorque,FRA,FW,Mainz 05,de Bundesliga,30-065,1994,14.1,29.2,27.3,1.84,0.14,0.14,0.28,0.21,0.00,0.00,0.00,0.00,0.00,20.6,0.07,0.35,https://fbref.com/en/players/462475ed/Ludovic-Ajorque,462475ed,Big 5 combined
47,Manuel Akanji,SUI,"DF,MF",Manchester City,eng Premier League,28-286,1995,24.1,83.9,81.3,2.57,1.04,0.17,0.46,0.37,1.12,0.00,0.00,0.00,0.00,78.4,0.08,0.33,https://fbref.com/en/players/89ac64a6/Manuel-Akanji,89ac64a6,Big 5 combined
48,Marley Aké,FRA,FW,Udinese,it Serie A,23-116,2001,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/414e1f69/Marley-Ake,414e1f69,Big 5 combined
49,Nathan Aké,NED,DF,Manchester City,eng Premier League,29-072,1995,21.5,81.8,76.3,5.40,1.40,0.05,0.09,0.47,3.77,0.00,0.00,0.00,0.00,75.3,0.09,0.65,https://fbref.com/en/players/eaeca114/Nathan-Ake,eaeca114,Big 5 combined
50,Ilias Akhomach,MAR,"MF,FW",Villarreal,es La Liga,20-014,2004,14.6,27.5,26.3,0.96,0.34,0.21,0.14,1.71,0.34,0.27,0.07,0.07,0.00,21.0,0.21,0.89,https://fbref.com/en/players/b8bd60fe/Ilias-Akhomach,b8bd60fe,Big 5 combined
51,Sergio Akieme,ESP,DF,Almería,es La Liga,26-136,1997,18.6,43.1,33.9,9.09,1.02,0.05,0.27,3.06,7.96,0.11,0.00,0.05,0.00,33.3,0.11,1.18,https://fbref.com/en/players/06efa9dc/Sergio-Akieme,06efa9dc,Big 5 combined
52,Sergio Akieme,ESP,DF,Reims,fr Ligue 1,26-136,1997,6.1,40.8,33.9,6.72,0.00,0.00,0.00,2.79,6.56,0.00,0.00,0.00,0.00,31.8,0.16,1.15,https://fbref.com/en/players/06efa9dc/Sergio-Akieme,06efa9dc,Big 5 combined
53,Ebenezer Akinsanmiro,NGA,MF,Inter,it Serie A,19-157,2004,0.2,40.0,35.0,5.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.0,0.00,0.00,https://fbref.com/en/players/3ad34015/Ebenezer-Akinsanmiro,3ad34015,Big 5 combined
54,Maghnes Akliouche,FRA,"MF,FW",Monaco,fr Ligue 1,22-065,2002,16.0,46.9,43.6,2.88,0.56,0.50,0.13,3.06,0.19,2.00,0.81,0.38,0.00,35.9,0.38,1.50,https://fbref.com/en/players/b625b241/Maghnes-Akliouche,b625b241,Big 5 combined
55,Paul Akouokou,CIV,MF,Betis,es La Liga,26-132,1997,0.3,56.7,56.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53.3,0.00,0.00,https://fbref.com/en/players/31f5b89b/Paul-Akouokou,31f5b89b,Big 5 combined
56,Paul Akouokou,CIV,MF,Lyon,fr Ligue 1,26-132,1997,3.4,54.4,53.8,0.59,0.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,46.5,0.00,0.59,https://fbref.com/en/players/31f5b89b/Paul-Akouokou,31f5b89b,Big 5 combined
57,Jean-Daniel Akpa-Akpro,CIV,MF,Monza,it Serie A,31-202,1992,7.3,34.2,33.8,0.41,0.14,0.14,0.14,0.00,0.00,0.00,0.00,0.00,0.00,28.8,0.00,1.37,https://fbref.com/en/players/fdf4b948/Jean-Daniel-Akpa-Akpro,fdf4b948,Big 5 combined
58,David Akpan Ankeye,NGA,FW,Genoa,it Serie A,22-076,2002,0.6,,,,,,,1.67,,,,,,,,,https://fbref.com/en/players/8c4b95af/David-Akpan-Ankeye,8c4b95af,Big 5 combined
59,Kevin Akpoguma,NGA,DF,Hoffenheim,de Bundesliga,29-011,1995,9.2,55.7,52.9,2.61,1.30,0.00,0.22,0.43,1.30,0.00,0.00,0.00,0.00,46.1,0.11,0.54,https://fbref.com/en/players/6ec6fde0/Kevin-Akpoguma,6ec6fde0,Big 5 combined
60,David Alaba,AUT,DF,Real Madrid,es La Liga,31-311,1992,12.8,70.6,65.2,5.08,1.80,0.31,0.55,1.33,0.39,0.94,0.55,0.23,0.00,63.3,0.31,0.16,https://fbref.com/en/players/05439de2/David-Alaba,05439de2,Big 5 combined
61,Luis Alberto,ESP,MF,Lazio,it Serie A,31-215,1992,24.8,65.5,56.6,8.47,2.86,0.44,0.24,5.89,0.48,4.44,1.73,2.14,0.00,50.9,0.44,1.09,https://fbref.com/en/players/5294a83f/Luis-Alberto,5294a83f,Big 5 combined
62,Raúl Albiol,ESP,DF,Villarreal,es La Liga,38-239,1985,21.1,55.4,52.5,2.70,2.09,0.00,0.28,0.00,0.09,0.00,0.00,0.00,0.00,47.4,0.19,0.38,https://fbref.com/en/players/4bd414c1/Raul-Albiol,4bd414c1,Big 5 combined
63,Thiago Alcántara,ESP,MF,Liverpool,eng Premier League,33-019,1991,0.1,100.0,90.0,10.0,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70.0,0.00,0.00,https://fbref.com/en/players/77e84962/Thiago-Alcantara,77e84962,Big 5 combined
64,Carlos Alcaraz,ARG,MF,Juventus,it Serie A,21-152,2002,2.7,39.3,37.4,1.85,0.74,0.74,0.00,0.37,0.74,0.37,0.00,0.00,0.00,32.2,0.00,0.74,https://fbref.com/en/players/4abac767/Carlos-Alcaraz,4abac767,Big 5 combined
65,Rubén Alcaraz,ESP,MF,Cádiz,es La Liga,32-365,1991,29.8,44.0,40.5,3.05,2.52,0.03,1.14,0.91,0.13,0.20,0.00,0.20,0.00,35.0,0.44,0.50,https://fbref.com/en/players/036bba5f/Ruben-Alcaraz,036bba5f,Big 5 combined
66,Omar Alderete,PAR,DF,Getafe,es La Liga,27-126,1996,19.9,41.1,37.8,2.61,2.46,0.00,1.41,0.20,0.10,0.00,0.00,0.00,0.00,25.4,0.65,0.50,https://fbref.com/en/players/bb08bce9/Omar-Alderete,bb08bce9,Big 5 combined
67,Iván Alejo,ESP,MF,Cádiz,es La Liga,29-080,1995,18.3,25.1,22.7,2.24,0.55,0.05,0.11,7.65,1.15,0.55,0.00,0.49,0.00,12.8,0.11,1.53,https://fbref.com/en/players/3d7e48ce/Ivan-Alejo,3d7e48ce,Big 5 combined
68,Carles Aleñá,ESP,"MF,FW",Getafe,es La Liga,26-116,1998,9.9,34.0,30.5,3.43,1.62,0.10,0.40,3.33,0.40,1.41,1.31,0.10,0.00,25.8,0.10,1.21,https://fbref.com/en/players/6c811eb7/Carles-Alena,6c811eb7,Big 5 combined
69,Trent Alexander-Arnold,ENG,DF,Liverpool,eng Premier League,25-206,1998,21.2,88.1,73.2,14.5,3.25,1.04,1.46,6.98,8.49,2.78,0.38,2.08,0.00,66.0,0.38,0.99,https://fbref.com/en/players/cd1acf9d/Trent-Alexander-Arnold,cd1acf9d,Big 5 combined
70,Aboubacar Ali,FRA,"MF,FW",Strasbourg,fr Ligue 1,18-028,2006,0.5,32.0,32.0,0.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,22.0,0.00,0.00,https://fbref.com/en/players/133d2aa5/Aboubacar-Ali,133d2aa5,Big 5 combined
71,Mohamed Ali Cho,FRA,"FW,MF",Real Sociedad,es La Liga,20-102,2004,2.8,23.6,23.6,0.00,0.00,0.00,0.00,3.93,0.00,0.00,0.00,0.00,0.00,13.6,0.00,0.36,https://fbref.com/en/players/f8405304/Mohamed-Ali-Cho,f8405304,Big 5 combined
72,Mohamed Ali Cho,FRA,"FW,MF",Nice,fr Ligue 1,20-102,2004,7.8,29.4,26.7,2.69,0.64,0.13,0.00,5.26,0.00,2.05,1.03,0.90,0.00,20.5,0.00,1.03,https://fbref.com/en/players/f8405304/Mohamed-Ali-Cho,f8405304,Big 5 combined
73,Yanis Ali Issoufou,FRA,FW,Montpellier,fr Ligue 1,17-185,2006,0.1,,,,,,,10.0,,,,,,,,,https://fbref.com/en/players/5d004b30/Yanis-Ali-Issoufou,5d004b30,Big 5 combined
74,Faride Alidou,GER,"FW,MF",Köln,de Bundesliga,22-287,2001,12.0,21.7,20.8,0.83,0.00,0.00,0.17,2.75,0.50,0.08,0.00,0.08,0.00,13.9,0.00,1.17,https://fbref.com/en/players/00f518d8/Faride-Alidou,00f518d8,Big 5 combined
75,Nabil Alioui,FRA,"MF,FW",Le Havre,fr Ligue 1,25-072,1999,11.2,32.0,25.8,5.89,1.52,0.54,0.09,4.82,0.09,3.21,2.05,1.16,0.00,20.4,0.27,1.25,https://fbref.com/en/players/b386310a/Nabil-Alioui,b386310a,Big 5 combined
76,Alisson,BRA,GK,Liverpool,eng Premier League,31-211,1992,25.0,42.2,36.2,5.76,1.32,0.00,0.16,0.00,0.00,0.00,0.00,0.00,0.00,36.4,0.16,0.04,https://fbref.com/en/players/7a2e46a8/Alisson,7a2e46a8,Big 5 combined
77,Tadeo Allende,ARG,"MF,FW",Celta Vigo,es La Liga,25-070,1999,3.2,25.9,25.9,0.00,0.00,0.31,0.31,2.50,0.00,0.00,0.00,0.00,0.00,15.6,0.00,1.88,https://fbref.com/en/players/75a66bed/Tadeo-Allende,75a66bed,Big 5 combined
78,Jim Allevinah,GAB,"MF,DF",Clermont Foot,fr Ligue 1,29-063,1995,19.7,35.9,32.8,2.99,0.10,0.05,0.00,2.13,2.89,0.00,0.00,0.00,0.00,28.6,0.10,0.81,https://fbref.com/en/players/1956b948/Jim-Allevinah,1956b948,Big 5 combined
79,Domingos André Ribeiro Almeida,POR,"FW,MF",Valencia,es La Liga,23-336,2000,7.4,35.1,33.9,1.22,0.81,0.00,0.54,1.35,0.14,0.14,0.00,0.14,0.00,26.5,0.00,2.03,https://fbref.com/en/players/e6697917/Domingos-Andre-Ribeiro-Almeida,e6697917,Big 5 combined
80,Miguel Almirón,PAR,FW,Newcastle Utd,eng Premier League,30-080,1994,20.5,37.3,36.7,0.44,0.10,0.24,0.00,1.17,0.29,0.05,0.00,0.00,0.00,30.8,0.15,0.78,https://fbref.com/en/players/862a1c15/Miguel-Almiron,862a1c15,Big 5 combined
81,Pontus Almqvist,SWE,"FW,MF",Lecce,it Serie A,24-295,1999,21.8,20.3,20.0,0.28,0.09,0.05,0.00,0.92,0.14,0.05,0.05,0.00,0.00,15.0,0.00,0.73,https://fbref.com/en/players/0917188a/Pontus-Almqvist,0917188a,Big 5 combined
82,Marcos Alonso,ESP,DF,Barcelona,es La Liga,33-124,1990,2.8,76.4,61.1,15.4,3.57,0.00,1.07,5.36,9.64,2.14,0.71,0.71,0.00,64.3,0.00,1.79,https://fbref.com/en/players/f4290206/Marcos-Alonso,f4290206,Big 5 combined
83,Adrià Altimira,ESP,"DF,MF",Villarreal,es La Liga,23-033,2001,8.6,54.1,46.5,7.56,0.58,0.00,0.12,0.58,6.98,0.00,0.00,0.00,0.00,45.2,0.00,1.16,https://fbref.com/en/players/757a3431/Adria-Altimira,757a3431,Big 5 combined
84,Sergi Altimira,ESP,MF,Betis,es La Liga,22-249,2001,5.6,48.2,47.7,0.36,0.18,0.00,0.54,0.18,0.00,0.18,0.18,0.00,0.00,43.6,0.18,0.54,https://fbref.com/en/players/94acdd4e/Sergi-Altimira,94acdd4e,Big 5 combined
85,Edson Álvarez,MEX,MF,West Ham,eng Premier League,26-189,1997,25.7,45.6,44.7,0.66,0.54,0.08,0.31,0.16,0.12,0.00,0.00,0.00,0.00,39.0,0.19,0.54,https://fbref.com/en/players/8b3ab7ad/Edson-Alvarez,8b3ab7ad,Big 5 combined
86,Gastón Álvarez,URU,DF,Getafe,es La Liga,24-037,2000,24.2,34.0,29.8,4.21,1.12,0.00,0.41,0.87,3.06,0.00,0.00,0.00,0.00,24.3,0.04,0.66,https://fbref.com/en/players/852ddfb8/Gaston-Alvarez,852ddfb8,Big 5 combined
87,Hugo Álvarez,ESP,"MF,DF",Celta Vigo,es La Liga,20-303,2003,5.1,59.2,48.0,10.6,1.37,0.59,0.20,3.73,7.84,1.37,0.20,0.98,0.20,48.6,0.59,1.57,https://fbref.com/en/players/6f392eb8/Hugo-Alvarez,6f392eb8,Big 5 combined
88,Julián Álvarez,ARG,"MF,FW",Manchester City,eng Premier League,24-090,2000,29.2,42.6,36.3,6.23,0.86,0.31,0.03,4.69,0.24,4.32,1.51,1.23,0.07,34.2,0.14,0.92,https://fbref.com/en/players/15ab5a2b/Julian-Alvarez,15ab5a2b,Big 5 combined
89,Yeray Álvarez,ESP,DF,Athletic Club,es La Liga,29-097,1995,9.7,57.3,54.3,2.58,2.47,0.21,0.72,0.10,0.00,0.00,0.00,0.00,0.00,47.3,0.41,0.52,https://fbref.com/en/players/3ecc11d8/Yeray-Alvarez,3ecc11d8,Big 5 combined
90,Skelly Alvero,FRA,MF,Lyon,fr Ligue 1,21-362,2002,4.7,41.1,40.4,0.43,0.43,0.21,0.21,0.43,0.00,0.00,0.00,0.00,0.00,33.8,0.21,0.43,https://fbref.com/en/players/add37c13/Skelly-Alvero,add37c13,Big 5 combined
91,Skelly Alvero,FRA,MF,Werder Bremen,de Bundesliga,21-362,2002,1.4,54.3,53.6,0.71,0.71,0.00,0.71,0.00,0.00,0.00,0.00,0.00,0.00,42.1,0.00,1.43,https://fbref.com/en/players/add37c13/Skelly-Alvero,add37c13,Big 5 combined
92,Papa Amadou Diallo,SEN,FW,Metz,fr Ligue 1,19-310,2004,6.9,27.2,27.0,0.29,0.14,0.29,0.00,1.01,0.14,0.00,0.00,0.00,0.00,18.4,0.00,1.01,https://fbref.com/en/players/d638ab17/Papa-Amadou-Diallo,d638ab17,Big 5 combined
93,Selim Amallah,MAR,"FW,MF",Valencia,es La Liga,27-167,1996,6.6,24.2,23.9,0.30,0.00,0.30,0.00,0.61,0.00,0.00,0.00,0.00,0.00,17.9,0.00,0.76,https://fbref.com/en/players/00eba9c9/Selim-Amallah,00eba9c9,Big 5 combined
