Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Player Link_,Player ID_,Competition
13,Bénie Adama Traore,CIV,"FW,MF",Sheffield Utd,eng Premier League,21-039,2002,4.3,0.93,0.47,0.23,0.47,0.23,0.00,0.93,0.0,0.93,0.93,0.23,0.70,0.23,1.16,0.23,0.00,https://fbref.com/en/players/77816c91/Benie-Adama-Traore,77816c91,Big 5 combined
14,Akor Adams,NGA,FW,Montpellier,fr Ligue 1,23-344,2000,15.3,0.52,0.20,0.13,0.13,0.26,0.13,0.39,33.3,0.26,0.13,0.07,0.07,0.13,0.65,0.33,0.00,https://fbref.com/en/players/2ccd39ed/Akor-Adams,2ccd39ed,Big 5 combined
15,Junior Adamu,AUT,"FW,MF",Freiburg,de Bundesliga,22-216,2001,1.1,4.55,0.91,0.91,1.82,1.82,0.91,1.82,50.0,0.91,0.91,0.00,0.91,0.00,4.55,0.91,0.00,https://fbref.com/en/players/82e12fe7/Junior-Adamu,82e12fe7,Big 5 combined
16,Sargis Adamyan,ARM,"FW,MF",Köln,de Bundesliga,30-230,1993,1.6,1.88,1.25,0.00,1.25,0.63,0.63,1.25,50.0,0.63,1.25,0.00,1.25,0.00,1.88,1.25,0.00,https://fbref.com/en/players/22919e97/Sargis-Adamyan,22919e97,Big 5 combined
17,Tosin Adarabioyo,ENG,DF,Fulham,eng Premier League,26-106,1997,6.0,1.33,0.67,0.67,0.67,0.00,1.33,1.67,80.0,0.33,1.17,1.00,0.17,1.50,2.83,4.83,0.00,https://fbref.com/en/players/c81d773d/Tosin-Adarabioyo,c81d773d,Big 5 combined
18,Elijah Adebayo,ENG,FW,Luton Town,eng Premier League,26-001,1998,9.2,0.11,0.00,0.11,0.00,0.00,0.00,0.54,0.0,0.54,0.87,0.11,0.76,0.43,0.54,1.63,0.00,https://fbref.com/en/players/0480ebc7/Elijah-Adebayo,0480ebc7,Big 5 combined
19,Karim Adeyemi,GER,"FW,MF",Dortmund,de Bundesliga,21-355,2002,4.1,1.71,1.71,0.73,0.49,0.49,0.73,2.44,30.0,1.71,1.46,0.00,1.46,0.49,2.20,0.24,0.00,https://fbref.com/en/players/501055d8/Karim-Adeyemi,501055d8,Big 5 combined
20,Simon Adingra,CIV,"FW,MF",Brighton,eng Premier League,22-007,2002,12.7,1.57,0.87,0.87,0.39,0.31,0.79,1.89,41.7,1.10,0.94,0.00,0.94,0.94,2.52,0.71,0.00,https://fbref.com/en/players/4dcec659/Simon-Adingra,4dcec659,Big 5 combined
21,Amine Adli,MAR,"MF,DF",Leverkusen,de Bundesliga,23-243,2000,2.9,2.07,0.34,0.34,0.69,1.03,1.38,2.07,66.7,0.69,1.72,0.34,1.38,1.03,3.10,0.34,0.00,https://fbref.com/en/players/dcfb17f4/Amine-Adli,dcfb17f4,Big 5 combined
22,Yacine Adli,FRA,MF,Milan,it Serie A,23-163,2000,4.9,3.47,1.84,1.63,1.63,0.20,1.22,3.67,33.3,2.45,1.02,0.82,0.20,1.22,4.69,1.43,0.00,https://fbref.com/en/players/26777636/Yacine-Adli,26777636,Big 5 combined
23,Adson,BRA,"MF,FW",Nantes,fr Ligue 1,23-094,2000,2.6,2.69,2.31,0.38,2.31,0.00,0.77,0.77,100.0,0.00,1.92,0.00,1.92,0.77,3.46,0.77,0.00,https://fbref.com/en/players/eda38706/Adson,eda38706,Big 5 combined
24,Michel Aebischer,SUI,MF,Bologna,it Serie A,27-002,1997,13.0,1.31,1.00,0.31,0.92,0.08,0.54,1.31,41.2,0.77,1.31,0.23,1.08,0.69,2.00,0.85,0.00,https://fbref.com/en/players/f9c927de/Michel-Aebischer,f9c927de,Big 5 combined
25,Emmanuel Agbadou,CIV,DF,Reims,fr Ligue 1,26-205,1997,12.6,2.30,1.43,0.95,1.19,0.16,1.51,2.38,63.3,0.87,1.35,0.56,0.79,2.22,4.52,4.21,0.08,https://fbref.com/en/players/75f1ed80/Emmanuel-Agbadou,75f1ed80,Big 5 combined
26,Lucien Agoume,FRA,MF,Inter,it Serie A,21-333,2002,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/8bc8829a/Lucien-Agoume,8bc8829a,Big 5 combined
27,Felix Agu,GER,"MF,DF",Werder Bremen,de Bundesliga,24-103,1999,2.2,0.91,0.91,0.45,0.00,0.45,0.45,0.91,50.0,0.45,0.45,0.00,0.45,0.91,1.82,2.73,0.00,https://fbref.com/en/players/cb6d81b3/Felix-Agu,cb6d81b3,Big 5 combined
28,Nayef Aguerd,MAR,DF,West Ham,eng Premier League,27-284,1996,15.7,1.21,0.51,0.83,0.38,0.00,0.70,0.83,84.6,0.13,1.46,1.08,0.38,1.02,2.23,4.46,0.13,https://fbref.com/en/players/288e1e13/Nayef-Aguerd,288e1e13,Big 5 combined
29,Ruben Aguilar,FRA,DF,Lens,fr Ligue 1,30-257,1993,11.5,2.09,1.30,1.13,0.78,0.17,0.96,1.91,50.0,0.96,1.22,0.00,1.22,1.22,3.30,1.39,0.00,https://fbref.com/en/players/3dd738a1/Ruben-Aguilar,3dd738a1,Big 5 combined
30,Naouirou Ahamada,FRA,"MF,FW",Crystal Palace,eng Premier League,21-285,2002,1.5,1.33,1.33,0.67,0.67,0.00,1.33,4.00,33.3,2.67,0.00,0.00,0.00,0.67,2.00,0.00,0.00,https://fbref.com/en/players/a6c58494/Naouirou-Ahamada,a6c58494,Big 5 combined
31,Anel Ahmedhodžić,BIH,DF,Sheffield Utd,eng Premier League,24-288,1999,13.5,2.00,1.56,1.56,0.30,0.15,1.04,1.85,56.0,0.81,1.78,0.96,0.81,1.19,3.19,4.22,0.00,https://fbref.com/en/players/eab957a3/Anel-Ahmedhodzic,eab957a3,Big 5 combined
32,Joseph Aidoo,GHA,DF,Celta Vigo,es La Liga,28-101,1995,4.5,1.78,0.67,1.33,0.44,0.00,0.89,1.78,50.0,0.89,0.67,0.22,0.44,0.89,2.67,6.22,0.00,https://fbref.com/en/players/18abe173/Joseph-Aidoo,18abe173,Big 5 combined
33,Ola Aina,NGA,DF,Nott'ham Forest,eng Premier League,27-092,1996,11.0,2.36,1.36,1.91,0.36,0.09,1.55,2.09,73.9,0.55,0.91,0.27,0.64,0.73,3.09,3.45,0.09,https://fbref.com/en/players/246d153b/Ola-Aina,246d153b,Big 5 combined
34,Rayan Aït Nouri,ALG,"DF,MF",Wolves,eng Premier League,22-216,2001,12.7,2.83,1.73,1.50,1.10,0.24,0.94,1.34,70.6,0.39,1.18,0.39,0.79,0.87,3.70,1.97,0.00,https://fbref.com/en/players/9b398aea/Rayan-Ait-Nouri,9b398aea,Big 5 combined
35,Tosin Aiyegun,BEN,"MF,FW",Lorient,fr Ligue 1,25-196,1998,6.9,0.72,0.58,0.14,0.43,0.14,0.29,0.72,40.0,0.43,0.29,0.14,0.14,0.14,0.87,0.72,0.00,https://fbref.com/en/players/9c4f39b3/Tosin-Aiyegun,9c4f39b3,Big 5 combined
36,Kristoffer Ajer,NOR,DF,Brentford,eng Premier League,25-266,1998,8.1,2.10,1.11,1.48,0.49,0.12,1.60,2.35,68.4,0.74,0.62,0.12,0.49,0.62,2.72,3.09,0.00,https://fbref.com/en/players/a8c0acb7/Kristoffer-Ajer,a8c0acb7,Big 5 combined
37,Ludovic Ajorque,FRA,FW,Mainz 05,de Bundesliga,29-317,1994,9.8,0.20,0.20,0.10,0.10,0.00,0.10,0.61,16.7,0.51,0.51,0.10,0.41,0.00,0.20,0.41,0.00,https://fbref.com/en/players/462475ed/Ludovic-Ajorque,462475ed,Big 5 combined
38,Manuel Akanji,SUI,"DF,MF",Manchester City,eng Premier League,28-173,1995,14.0,1.36,0.71,0.57,0.57,0.21,0.64,1.36,47.4,0.71,1.00,0.50,0.50,0.79,2.14,2.79,0.07,https://fbref.com/en/players/89ac64a6/Manuel-Akanji,89ac64a6,Big 5 combined
39,Marley Aké,FRA,FW,Udinese,it Serie A,23-003,2001,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/414e1f69/Marley-Ake,414e1f69,Big 5 combined
40,Nathan Aké,NED,DF,Manchester City,eng Premier League,28-324,1995,11.2,1.34,0.71,0.98,0.36,0.00,0.71,1.07,66.7,0.36,0.63,0.00,0.63,0.63,1.96,2.59,0.00,https://fbref.com/en/players/eaeca114/Nathan-Ake,eaeca114,Big 5 combined
41,Ilias Akhomach,ESP,"MF,FW",Villarreal,es La Liga,19-267,2004,7.2,2.36,1.81,0.69,1.25,0.42,0.69,1.39,50.0,0.69,0.83,0.28,0.56,0.69,3.06,0.69,0.00,https://fbref.com/en/players/b8bd60fe/Ilias-Akhomach,b8bd60fe,Big 5 combined
42,Sergio Akieme,ESP,DF,Almería,es La Liga,26-023,1997,16.0,1.44,0.75,1.00,0.31,0.13,0.63,0.81,76.9,0.19,0.81,0.25,0.56,0.63,2.06,1.56,0.00,https://fbref.com/en/players/06efa9dc/Sergio-Akieme,06efa9dc,Big 5 combined
43,Maghnes Akliouche,FRA,"MF,FW",Monaco,fr Ligue 1,21-317,2002,5.8,1.90,1.38,0.69,0.86,0.34,0.52,1.72,30.0,1.21,0.86,0.00,0.86,0.69,2.59,0.00,0.00,https://fbref.com/en/players/b625b241/Maghnes-Akliouche,b625b241,Big 5 combined
44,Paul Akouokou,CIV,MF,Betis,es La Liga,26-019,1997,0.3,16.7,10.0,0.00,6.67,10.0,10.0,10.0,100.0,0.00,10.0,3.33,6.67,3.33,20.0,3.33,0.00,https://fbref.com/en/players/31f5b89b/Paul-Akouokou,31f5b89b,Big 5 combined
45,Paul Akouokou,CIV,MF,Lyon,fr Ligue 1,26-019,1997,3.3,4.24,2.73,0.61,3.03,0.61,1.82,2.12,85.7,0.30,1.52,0.30,1.21,1.82,6.06,2.73,0.00,https://fbref.com/en/players/31f5b89b/Paul-Akouokou,31f5b89b,Big 5 combined
46,Jean-Daniel Akpa-Akpro,CIV,MF,Monza,it Serie A,31-089,1992,2.7,3.33,1.11,2.22,0.74,0.37,0.37,1.11,33.3,0.74,1.11,0.74,0.37,1.85,5.19,1.11,0.00,https://fbref.com/en/players/fdf4b948/Jean-Daniel-Akpa-Akpro,fdf4b948,Big 5 combined
47,Kevin Akpoguma,NGA,DF,Hoffenheim,de Bundesliga,28-264,1995,6.4,3.28,1.56,2.34,0.78,0.16,2.34,2.97,78.9,0.63,2.19,0.78,1.41,1.56,4.84,2.50,0.00,https://fbref.com/en/players/6ec6fde0/Kevin-Akpoguma,6ec6fde0,Big 5 combined
48,David Alaba,AUT,DF,Real Madrid,es La Liga,31-198,1992,12.8,1.02,0.70,0.55,0.39,0.08,0.31,0.63,50.0,0.31,0.78,0.55,0.23,1.17,2.19,2.66,0.00,https://fbref.com/en/players/05439de2/David-Alaba,05439de2,Big 5 combined
49,Luis Alberto,ESP,MF,Lazio,it Serie A,31-102,1992,13.4,1.64,0.97,0.82,0.45,0.37,0.75,2.39,31.3,1.64,1.79,0.15,1.64,0.22,1.87,0.37,0.00,https://fbref.com/en/players/5294a83f/Luis-Alberto,5294a83f,Big 5 combined
50,Raúl Albiol,ESP,DF,Villarreal,es La Liga,38-126,1985,14.2,0.99,0.63,0.42,0.49,0.07,0.70,1.27,55.6,0.56,1.34,1.13,0.21,0.70,1.69,5.28,0.00,https://fbref.com/en/players/4bd414c1/Raul-Albiol,4bd414c1,Big 5 combined
51,Rubén Alcaraz,ESP,MF,Cádiz,es La Liga,32-252,1991,16.8,2.68,1.49,1.07,1.43,0.18,1.07,3.21,33.3,2.14,1.90,0.48,1.43,0.95,3.63,1.85,0.00,https://fbref.com/en/players/036bba5f/Ruben-Alcaraz,036bba5f,Big 5 combined
52,Omar Alderete,PAR,DF,Getafe,es La Liga,27-013,1996,7.1,0.99,0.85,0.70,0.28,0.00,0.56,1.41,40.0,0.85,1.97,1.13,0.85,0.42,1.41,5.92,0.00,https://fbref.com/en/players/bb08bce9/Omar-Alderete,bb08bce9,Big 5 combined
53,Iván Alejo,ESP,MF,Cádiz,es La Liga,28-332,1995,12.6,1.90,0.71,1.11,0.48,0.32,0.71,2.62,27.3,1.90,0.63,0.00,0.63,0.16,2.06,1.27,0.00,https://fbref.com/en/players/3d7e48ce/Ivan-Alejo,3d7e48ce,Big 5 combined
54,Carles Aleñá,ESP,MF,Getafe,es La Liga,26-003,1998,6.7,1.94,0.75,0.60,1.04,0.30,0.60,1.64,36.4,1.04,1.79,0.45,1.34,0.45,2.39,1.04,0.00,https://fbref.com/en/players/6c811eb7/Carles-Alena,6c811eb7,Big 5 combined
55,Trent Alexander-Arnold,ENG,DF,Liverpool,eng Premier League,25-093,1998,16.6,1.57,1.08,1.02,0.48,0.06,1.08,3.55,30.5,2.47,0.66,0.06,0.60,1.33,2.89,2.11,0.18,https://fbref.com/en/players/cd1acf9d/Trent-Alexander-Arnold,cd1acf9d,Big 5 combined
56,Mohamed Ali Cho,FRA,"FW,MF",Real Sociedad,es La Liga,19-354,2004,2.8,1.43,1.07,1.07,0.36,0.00,0.71,2.50,28.6,1.79,2.14,0.00,2.14,0.36,1.79,0.36,0.00,https://fbref.com/en/players/f8405304/Mohamed-Ali-Cho,f8405304,Big 5 combined
57,Yanis Ali Issoufou,FRA,FW,Montpellier,fr Ligue 1,17-072,2006,0.1,,0.00,,,,,,,,,,,0.00,,,,https://fbref.com/en/players/5d004b30/Yanis-Ali-Issoufou,5d004b30,Big 5 combined
58,Faride Alidou,GER,"FW,MF",Köln,de Bundesliga,22-174,2001,3.0,1.67,0.33,0.67,0.67,0.33,0.67,2.33,28.6,1.67,2.33,0.33,2.00,1.00,2.67,0.33,0.33,https://fbref.com/en/players/00f518d8/Faride-Alidou,00f518d8,Big 5 combined
59,Nabil Alioui,FRA,"MF,FW",Le Havre,fr Ligue 1,24-324,1999,10.7,0.28,0.19,0.19,0.09,0.00,0.19,0.37,50.0,0.19,0.56,0.09,0.47,0.28,0.56,0.37,0.00,https://fbref.com/en/players/b386310a/Nabil-Alioui,b386310a,Big 5 combined
60,Alisson,BRA,GK,Liverpool,eng Premier League,31-098,1992,18.0,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.0,0.06,0.00,0.00,0.00,0.00,0.00,0.44,0.11,https://fbref.com/en/players/7a2e46a8/Alisson,7a2e46a8,Big 5 combined
61,Jim Allevinah,GAB,"MF,DF",Clermont Foot,fr Ligue 1,28-315,1995,12.8,1.48,0.78,0.47,0.70,0.31,0.70,1.95,36.0,1.25,1.25,0.23,1.02,0.70,2.19,1.09,0.00,https://fbref.com/en/players/1956b948/Jim-Allevinah,1956b948,Big 5 combined
62,Domingos André Ribeiro Almeida,POR,"FW,MF",Valencia,es La Liga,23-223,2000,5.3,2.08,1.13,0.57,1.13,0.38,0.94,1.89,50.0,0.94,0.75,0.00,0.75,0.38,2.45,0.38,0.00,https://fbref.com/en/players/e6697917/Domingos-Andre-Ribeiro-Almeida,e6697917,Big 5 combined
63,Miguel Almirón,PAR,FW,Newcastle Utd,eng Premier League,29-332,1994,14.9,1.68,1.21,0.54,0.67,0.47,0.74,1.41,52.4,0.67,1.41,0.07,1.34,0.54,2.21,0.54,0.00,https://fbref.com/en/players/862a1c15/Miguel-Almiron,862a1c15,Big 5 combined
64,Pontus Almqvist,SWE,FW,Lecce,it Serie A,24-182,1999,10.6,1.79,1.23,0.57,1.04,0.19,0.85,2.26,37.5,1.42,1.13,0.00,1.13,0.57,2.36,0.47,0.00,https://fbref.com/en/players/0917188a/Pontus-Almqvist,0917188a,Big 5 combined
65,Marcos Alonso,ESP,DF,Barcelona,es La Liga,33-011,1990,1.8,2.78,1.67,1.11,1.67,0.00,1.67,2.22,75.0,0.56,1.11,0.00,1.11,2.22,5.00,1.67,0.00,https://fbref.com/en/players/f4290206/Marcos-Alonso,f4290206,Big 5 combined
66,Adrià Altimira,ESP,"DF,MF",Villarreal,es La Liga,22-286,2001,8.0,1.75,0.88,1.00,0.75,0.00,1.13,2.75,40.9,1.63,2.00,0.50,1.50,0.63,2.38,2.13,0.00,https://fbref.com/en/players/757a3431/Adria-Altimira,757a3431,Big 5 combined
67,Sergi Altimira,ESP,MF,Betis,es La Liga,22-136,2001,3.2,4.06,2.19,2.19,1.56,0.31,2.81,5.63,50.0,2.81,2.19,0.31,1.88,0.63,4.69,1.56,0.00,https://fbref.com/en/players/94acdd4e/Sergi-Altimira,94acdd4e,Big 5 combined
68,Edson Álvarez,MEX,MF,West Ham,eng Premier League,26-076,1997,14.9,2.68,1.34,1.54,1.01,0.13,1.07,2.08,51.6,1.01,1.81,0.74,1.07,1.28,3.96,3.69,0.00,https://fbref.com/en/players/8b3ab7ad/Edson-Alvarez,8b3ab7ad,Big 5 combined
69,Gastón Álvarez,URU,DF,Getafe,es La Liga,23-290,2000,15.8,2.22,1.27,1.52,0.57,0.13,1.08,1.71,63.0,0.63,1.39,0.51,0.89,1.58,3.80,3.10,0.00,https://fbref.com/en/players/852ddfb8/Gaston-Alvarez,852ddfb8,Big 5 combined
70,Hugo Álvarez,ESP,MF,Celta Vigo,es La Liga,20-190,2003,0.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,https://fbref.com/en/players/6f392eb8/Hugo-Alvarez,6f392eb8,Big 5 combined
71,Julián Álvarez,ARG,"MF,FW",Manchester City,eng Premier League,23-342,2000,17.6,0.68,0.28,0.11,0.23,0.34,0.23,1.02,22.2,0.80,1.08,0.00,1.08,0.06,0.74,0.57,0.00,https://fbref.com/en/players/15ab5a2b/Julian-Alvarez,15ab5a2b,Big 5 combined
72,Yeray Álvarez,ESP,DF,Athletic Club,es La Liga,28-349,1995,2.1,2.38,2.38,1.90,0.48,0.00,0.48,0.95,50.0,0.48,0.95,0.95,0.00,1.43,3.81,5.24,0.00,https://fbref.com/en/players/3ecc11d8/Yeray-Alvarez,3ecc11d8,Big 5 combined
73,Skelly Alvero,FRA,MF,Lyon,fr Ligue 1,21-249,2002,4.7,1.70,1.49,1.06,0.43,0.21,0.43,1.91,22.2,1.49,1.06,0.21,0.85,0.43,2.13,1.06,0.00,https://fbref.com/en/players/add37c13/Skelly-Alvero,add37c13,Big 5 combined
74,Papa Amadou Diallo,SEN,"FW,MF",Metz,fr Ligue 1,19-197,2004,2.8,1.07,0.71,0.36,0.36,0.36,0.71,1.43,50.0,0.71,0.71,0.00,0.71,1.43,2.50,0.71,0.00,https://fbref.com/en/players/d638ab17/Papa-Amadou-Diallo,d638ab17,Big 5 combined
75,Selim Amallah,MAR,"MF,FW",Valencia,es La Liga,27-054,1996,5.4,2.59,1.67,1.11,0.93,0.56,0.56,1.48,37.5,0.93,2.04,0.00,2.04,1.85,4.44,0.74,0.00,https://fbref.com/en/players/00eba9c9/Selim-Amallah,00eba9c9,Big 5 combined
76,Amath,SEN,"FW,MF",Mallorca,es La Liga,27-176,1996,4.4,2.05,1.36,1.59,0.45,0.00,0.45,2.27,20.0,1.82,0.45,0.00,0.45,0.68,2.73,1.36,0.00,https://fbref.com/en/players/f3b1d9a2/Amath,f3b1d9a2,Big 5 combined
77,Lorenzo Amatucci,ITA,MF,Fiorentina,it Serie A,19-337,2004,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/13b9e2fb/Lorenzo-Amatucci,13b9e2fb,Big 5 combined
78,Zeki Amdouni,SUI,"FW,MF",Burnley,eng Premier League,23-035,2000,15.2,1.32,0.86,0.07,0.66,0.59,0.39,1.18,33.3,0.79,0.99,0.46,0.53,0.33,1.64,0.46,0.00,https://fbref.com/en/players/2ee5b0c9/Zeki-Amdouni,2ee5b0c9,Big 5 combined
79,Bruno Amione,ARG,DF,Hellas Verona,it Serie A,22-005,2002,6.4,1.72,0.47,1.41,0.31,0.00,0.63,0.78,80.0,0.16,0.63,0.31,0.31,1.41,3.13,2.97,0.31,https://fbref.com/en/players/2df7cc43/Bruno-Amione,2df7cc43,Big 5 combined
80,Michael Amir Murillo,PAN,DF,Marseille,fr Ligue 1,27-331,1996,6.1,2.30,0.98,1.15,0.66,0.49,1.31,1.64,80.0,0.33,0.66,0.00,0.66,0.82,3.11,1.80,0.00,https://fbref.com/en/players/349cae8f/Michael-Amir-Murillo,349cae8f,Big 5 combined
81,Nadiem Amiri,GER,"MF,FW",Leverkusen,de Bundesliga,27-073,1996,0.2,10.0,0.00,0.00,10.0,0.00,0.00,10.0,0.0,10.0,0.00,0.00,0.00,0.00,10.0,0.00,0.00,https://fbref.com/en/players/555d5edd/Nadiem-Amiri,555d5edd,Big 5 combined
82,Kofi Amoako,GER,MF,Wolfsburg,de Bundesliga,18-247,2005,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,https://fbref.com/en/players/b8e17ca3/Kofi-Amoako,b8e17ca3,Big 5 combined
83,Sofyan Amrabat,MAR,"MF,DF",Manchester Utd,eng Premier League,27-140,1996,6.8,3.09,1.91,1.76,1.03,0.29,2.06,3.24,63.6,1.18,1.76,0.44,1.32,0.59,3.68,1.62,0.15,https://fbref.com/en/players/5a2cb25d/Sofyan-Amrabat,5a2cb25d,Big 5 combined
84,Joachim Andersen,DEN,DF,Crystal Palace,eng Premier League,27-222,1996,20.0,1.50,0.95,1.15,0.30,0.05,0.85,1.15,73.9,0.30,1.10,0.70,0.40,1.05,2.55,4.90,0.05,https://fbref.com/en/players/e34fc66d/Joachim-Andersen,e34fc66d,Big 5 combined
85,Elliot Anderson,SCO,"MF,FW",Newcastle Utd,eng Premier League,21-063,2002,4.6,1.74,1.30,0.65,0.87,0.22,0.65,1.96,33.3,1.30,1.30,0.65,0.65,0.43,2.17,1.30,0.00,https://fbref.com/en/players/de31038e/Elliot-Anderson,de31038e,Big 5 combined
86,Felipe Anderson,BRA,FW,Lazio,it Serie A,30-268,1993,14.6,2.19,1.16,0.82,0.75,0.62,1.03,2.67,38.5,1.64,1.44,0.00,1.44,1.30,3.49,1.03,0.00,https://fbref.com/en/players/9f1893b9/Felipe-Anderson,9f1893b9,Big 5 combined
87,Benjamin André,FRA,MF,Lille,fr Ligue 1,33-158,1990,15.3,3.33,1.76,1.50,1.57,0.26,1.44,2.88,50.0,1.44,0.98,0.26,0.72,1.11,4.44,2.22,0.00,https://fbref.com/en/players/ef9c1c95/Benjamin-Andre,ef9c1c95,Big 5 combined
88,Komnen Andrić,SRB,FW,Clermont Foot,fr Ligue 1,28-191,1995,1.4,1.43,0.71,0.00,0.71,0.71,0.00,0.71,0.0,0.71,1.43,0.00,1.43,0.00,1.43,0.71,0.00,https://fbref.com/en/players/af3ddb2e/Komnen-Andric,af3ddb2e,Big 5 combined
89,Robert Andrich,GER,"MF,DF",Leverkusen,de Bundesliga,29-108,1994,3.7,0.81,0.81,0.00,0.54,0.27,0.27,0.81,33.3,0.54,1.35,0.54,0.81,1.62,2.43,1.89,0.00,https://fbref.com/en/players/e0b113a7/Robert-Andrich,e0b113a7,Big 5 combined
90,Miguel Ángel Rubio,ESP,DF,Granada,es La Liga,25-303,1998,6.3,1.27,0.63,0.79,0.48,0.00,1.11,1.27,87.5,0.16,2.22,1.27,0.95,1.90,3.17,3.65,0.16,https://fbref.com/en/players/56cafd0a/Miguel-Angel-Rubio,56cafd0a,Big 5 combined
