Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Player Link_,Player ID_,Competition
32,Mory Diaw,SEN,GK,Clermont Foot,fr Ligue 1,30-200,1993,17.0,1.53,0.18,0.00,0.12,0.06,1.62,0.25,0.15,+0.15,6.94,18.9,36.6,36.9,3.76,42.9,36.7,5.71,54.6,42.6,13.2,1.29,9.8,1.76,1.76,15.2,https://fbref.com/en/players/f41a69e6/Mory-Diaw,f41a69e6,Big 5 combined
33,Guillaume Dietsch,FRA,GK,Metz,fr Ligue 1,22-266,2001,0.8,1.25,0.00,0.00,0.00,0.00,1.00,0.31,-0.25,-0.21,7.50,20.0,37.5,23.8,3.75,47.4,36.4,8.75,100.0,63.0,17.5,1.25,7.1,0.00,0.00,3.0,https://fbref.com/en/players/e11a39aa/Guillaume-Dietsch,e11a39aa,Big 5 combined
34,Stole Dimitrievski,MKD,GK,Rayo Vallecano,es La Liga,30-014,1993,19.0,1.26,0.05,0.05,0.16,0.11,1.31,0.28,0.15,+0.15,4.74,16.4,28.8,24.5,4.32,48.4,40.3,8.42,54.4,45.7,15.5,0.47,3.1,0.74,0.74,13.3,https://fbref.com/en/players/fc70e345/Stole-Dimitrievski,fc70e345,Big 5 combined
35,Yehvann Diouf,FRA,GK,Reims,fr Ligue 1,24-053,1999,17.0,1.35,0.06,0.00,0.12,0.00,1.16,0.30,-0.19,-0.19,4.18,11.0,38.0,32.9,4.88,26.6,30.8,5.06,44.2,38.6,15.6,1.18,7.5,1.18,1.18,13.9,https://fbref.com/en/players/eedea60b/Yehvann-Diouf,eedea60b,Big 5 combined
36,Marko Dmitrović,SRB,GK,Sevilla,es La Liga,31-349,1992,11.0,1.55,0.18,0.00,0.09,0.09,1.58,0.30,0.13,+0.13,3.91,11.9,32.8,25.4,5.64,32.3,32.6,6.36,58.6,46.3,11.9,0.91,7.6,1.36,1.36,15.7,https://fbref.com/en/players/ac295d9e/Marko-Dmitrovic,ac295d9e,Big 5 combined
37,Gianluigi Donnarumma,ITA,GK,Paris S-G,fr Ligue 1,24-317,1999,14.1,0.85,0.14,0.00,0.14,0.00,1.06,0.27,0.21,+0.21,1.56,3.55,44.0,26.5,4.11,12.0,24.0,5.67,6.3,18.9,12.1,0.50,4.1,0.92,0.92,13.8,https://fbref.com/en/players/08f5afaa/Gianluigi-Donnarumma,08f5afaa,Big 5 combined
38,Martin Dúbravka,SVK,GK,Newcastle Utd,eng Premier League,34-358,1989,6.1,2.46,0.33,0.00,0.16,0.00,2.98,0.34,0.52,+0.54,2.62,8.69,30.2,23.4,7.21,16.8,25.7,9.18,51.8,38.5,15.6,1.15,7.4,0.66,0.66,12.1,https://fbref.com/en/players/3a949a25/Martin-Dubravka,3a949a25,Big 5 combined
39,Ederson,BRA,GK,Manchester City,eng Premier League,30-144,1993,18.0,1.11,0.11,0.00,0.11,0.06,0.93,0.30,-0.13,-0.13,4.00,8.78,45.6,37.4,4.22,19.8,28.3,3.78,36.8,36.9,8.00,0.83,10.4,0.83,0.83,15.3,https://fbref.com/en/players/3bb7b8b4/Ederson,3bb7b8b4,Big 5 combined
40,Łukasz Fabiański,POL,GK,West Ham,eng Premier League,38-265,1985,3.0,2.00,0.00,0.00,0.67,0.00,1.77,0.32,-0.23,-0.23,6.00,16.0,37.5,24.7,6.00,47.3,36.4,6.67,65.0,47.3,20.0,1.67,8.3,0.33,0.33,8.3,https://fbref.com/en/players/9328b835/Lukasz-Fabianski,9328b835,Big 5 combined
41,Wladimiro Falcone,ITA,GK,Lecce,it Serie A,28-271,1995,19.0,1.32,0.21,0.05,0.05,0.05,1.43,0.26,0.17,+0.17,3.63,10.9,33.3,20.7,4.79,39.1,33.2,7.11,39.3,32.5,14.3,0.42,3.0,0.47,0.47,11.3,https://fbref.com/en/players/9f5a610b/Wladimiro-Falcone,9f5a610b,Big 5 combined
42,Aitor Fernández,ESP,GK,Osasuna,es La Liga,32-250,1991,3.1,1.94,0.32,0.00,0.32,0.00,1.58,0.43,-0.35,-0.36,6.45,15.8,40.8,29.0,3.55,47.8,40.8,3.55,54.5,47.5,10.0,0.32,3.2,0.97,0.96,15.2,https://fbref.com/en/players/a01c3d54/Aitor-Fernandez,a01c3d54,Big 5 combined
43,Raúl Fernández,ESP,GK,Granada,es La Liga,35-301,1988,3.1,3.55,0.00,0.00,0.32,0.32,2.52,0.46,-0.71,-0.71,4.52,15.2,29.8,28.4,3.23,37.5,35.7,5.48,82.4,62.1,11.6,1.29,11.1,3.55,3.54,17.3,https://fbref.com/en/players/6fb59070/Raul-Fernandez,6fb59070,Big 5 combined
44,Fernando,ESP,GK,Almería,es La Liga,33-212,1990,2.0,3.50,0.00,0.00,0.00,0.00,2.45,0.45,-1.05,-1.05,7.00,20.0,35.0,33.5,7.00,47.8,37.2,8.00,50.0,45.8,16.0,1.00,6.3,2.50,2.50,17.9,https://fbref.com/en/players/dabb2827/Fernando,dabb2827,Big 5 combined
45,André Ferreira,POR,GK,Granada,es La Liga,27-224,1996,14.9,1.95,0.20,0.00,0.13,0.07,1.87,0.33,-0.01,-0.01,4.90,12.5,39.2,26.0,5.91,31.4,32.2,7.38,58.2,44.3,13.1,0.40,3.1,0.87,0.87,12.6,https://fbref.com/en/players/12c6cbef/Andre-Ferreira,12c6cbef,Big 5 combined
46,Mark Flekken,NED,GK,Brentford,eng Premier League,30-209,1993,17.5,1.66,0.06,0.00,0.23,0.00,1.22,0.28,-0.44,-0.44,5.20,15.0,34.6,37.4,3.83,32.0,32.2,7.43,41.5,36.4,14.4,0.80,5.6,0.86,0.86,13.8,https://fbref.com/en/players/a92ab7be/Mark-Flekken,a92ab7be,Big 5 combined
47,Wes Foderingham,ENG,GK,Sheffield Utd,eng Premier League,32-359,1991,20.0,2.45,0.05,0.00,0.30,0.15,2.33,0.35,0.03,+0.04,7.40,20.8,35.7,26.7,3.85,54.1,39.7,8.50,74.1,52.6,16.0,0.75,4.7,1.25,1.25,14.7,https://fbref.com/en/players/96cf7b61/Wes-Foderingham,96cf7b61,Big 5 combined
48,Paulo Gazzaniga,ARG,GK,Girona,es La Liga,32-006,1992,19.0,1.26,0.11,0.00,0.32,0.00,1.40,0.28,0.14,+0.14,4.00,11.9,33.5,30.8,4.79,27.7,31.0,6.21,55.1,46.6,15.7,1.21,7.7,0.53,0.53,10.7,https://fbref.com/en/players/63d17038/Paulo-Gazzaniga,63d17038,Big 5 combined
49,Luca Gemello,ITA,GK,Torino,it Serie A,23-189,2000,1.0,2.00,0.00,0.00,0.00,0.00,0.30,0.16,-1.70,-1.68,4.00,12.0,33.3,42.0,3.00,28.6,32.6,0.00,,,16.0,2.00,12.5,2.00,2.00,15.8,https://fbref.com/en/players/53e494ec/Luca-Gemello,53e494ec,Big 5 combined
50,David Gil,ESP,GK,Cádiz,es La Liga,29-362,1994,3.1,0.65,0.00,0.00,0.00,0.00,0.68,0.18,0.03,+0.04,14.2,32.9,43.1,24.2,1.29,89.3,54.7,11.9,94.6,63.8,25.5,1.61,6.3,0.00,0.00,7.3,https://fbref.com/en/players/fea23125/David-Gil,fea23125,Big 5 combined
51,Pierluigi Gollini,ITA,GK,Napoli,it Serie A,28-296,1995,3.0,1.67,0.00,0.00,0.33,0.00,1.67,0.36,0.00,+0.01,4.33,12.7,34.2,36.0,4.33,26.9,31.4,5.67,52.9,40.9,12.0,0.33,2.8,1.33,1.33,18.8,https://fbref.com/en/players/f0f7f62f/Pierluigi-Gollini,f0f7f62f,Big 5 combined
52,Jens Grahl,GER,GK,Eint Frankfurt,de Bundesliga,35-108,1988,1.0,1.00,0.00,0.00,0.00,0.00,1.00,0.26,0.00,+0.02,2.00,18.0,11.1,40.0,9.00,35.0,35.9,5.00,80.0,58.0,21.0,2.00,9.5,0.00,0.00,11.0,https://fbref.com/en/players/f26dee6b/Jens-Grahl,f26dee6b,Big 5 combined
53,Vicente Guaita,ESP,GK,Celta Vigo,es La Liga,36-363,1987,9.7,1.44,0.31,0.00,0.10,0.00,1.62,0.30,0.18,+0.18,5.57,14.0,39.7,21.8,5.05,41.7,37.8,6.70,73.8,53.0,17.8,1.44,8.1,1.03,1.03,12.6,https://fbref.com/en/players/ab13a5aa/Vicente-Guaita,ab13a5aa,Big 5 combined
54,Dean Henderson,ENG,GK,Crystal Palace,eng Premier League,26-302,1997,4.0,1.50,0.25,0.00,0.00,0.00,1.95,0.32,0.45,+0.45,5.25,18.5,28.4,27.3,3.50,45.0,38.7,7.00,89.3,60.1,14.8,0.50,3.4,0.75,0.75,14.7,https://fbref.com/en/players/e5a76dfe/Dean-Henderson,e5a76dfe,Big 5 combined
55,Sergio Herrera,ESP,GK,Osasuna,es La Liga,30-217,1993,15.9,1.45,0.00,0.00,0.25,0.00,1.24,0.32,-0.21,-0.21,8.62,21.3,40.4,29.8,2.89,52.3,40.7,8.18,70.0,50.8,16.3,0.82,5.0,0.94,0.94,15.5,https://fbref.com/en/players/a4995f48/Sergio-Herrera,a4995f48,Big 5 combined
56,Lukáš Hrádecký,FIN,GK,Leverkusen,de Bundesliga,34-045,1989,16.0,0.75,0.00,0.00,0.19,0.00,1.05,0.29,0.30,+0.30,2.38,6.06,39.2,23.9,5.25,20.1,28.0,3.81,32.8,34.9,10.2,0.94,9.2,1.38,1.38,17.6,https://fbref.com/en/players/ad3389d5/Lukas-Hradecky,ad3389d5,Big 5 combined
57,Sam Johnstone,ENG,GK,Crystal Palace,eng Premier League,30-289,1993,16.0,1.38,0.13,0.00,0.19,0.06,1.03,0.27,-0.28,-0.28,5.63,15.8,35.6,22.2,3.44,49.3,38.8,6.81,71.6,50.7,16.5,1.31,8.0,0.56,0.56,10.6,https://fbref.com/en/players/9e5708be/Sam-Johnstone,9e5708be,Big 5 combined
58,Filip Jørgensen,DEN,GK,Villarreal,es La Liga,21-267,2002,19.0,2.00,0.21,0.05,0.32,0.00,1.97,0.28,-0.03,-0.03,4.32,10.4,41.6,31.3,5.16,22.9,28.9,7.11,45.2,38.3,18.7,0.95,5.1,1.05,1.05,14.2,https://fbref.com/en/players/0107757e/Filip-Jorgensen,0107757e,Big 5 combined
59,Thomas Kaminski,BEL,GK,Luton Town,eng Premier League,31-077,1992,19.0,1.95,0.05,0.00,0.21,0.05,2.11,0.38,0.22,+0.22,7.74,23.9,32.3,27.3,3.79,59.8,43.0,9.58,79.7,54.1,16.2,0.63,3.9,1.37,1.37,17.1,https://fbref.com/en/players/1caa93a5/Thomas-Kaminski,1caa93a5,Big 5 combined
60,Caoimhín Kelleher,IRL,GK,Liverpool,eng Premier League,25-046,1998,2.0,1.50,0.00,0.00,0.50,0.00,1.10,0.37,-0.40,-0.40,2.50,5.50,45.5,33.5,4.50,11.9,20.7,4.50,33.3,30.7,5.50,1.00,18.2,1.50,1.50,17.7,https://fbref.com/en/players/62d7ef38/Caoimhin-Kelleher,62d7ef38,Big 5 combined
61,Gregor Kobel,SUI,GK,Dortmund,de Bundesliga,26-033,1997,15.3,1.57,0.33,0.00,0.26,0.07,1.68,0.26,0.18,+0.17,5.29,11.8,45.0,34.8,4.51,24.2,29.4,7.45,44.7,39.5,13.7,0.26,1.9,0.65,0.65,12.7,https://fbref.com/en/players/cd59b9df/Gregor-Kobel,cd59b9df,Big 5 combined
62,Philipp Köhn,SUI,GK,Monaco,fr Ligue 1,25-281,1998,17.0,1.29,0.24,0.00,0.24,0.00,1.25,0.23,-0.05,-0.05,4.00,12.2,32.7,24.2,4.06,36.4,33.3,5.94,57.4,43.8,12.7,0.94,7.4,0.88,0.88,11.5,https://fbref.com/en/players/ff74841d/Philipp-Kohn,ff74841d,Big 5 combined
63,Alban Lafont,FRA,GK,Nantes,fr Ligue 1,24-350,1999,11.7,1.54,0.34,0.00,0.09,0.00,1.76,0.31,0.22,+0.22,3.68,12.1,30.3,32.6,5.04,29.1,31.4,5.04,52.5,41.2,12.2,1.28,10.5,1.37,1.36,13.7,https://fbref.com/en/players/4e7db402/Alban-Lafont,4e7db402,Big 5 combined
64,Nicola Leali,ITA,GK,Genoa,it Serie A,30-325,1993,1.0,2.00,0.00,0.00,0.00,0.00,2.70,0.34,0.70,+0.73,11.0,30.0,36.7,42.0,3.00,69.0,42.5,3.00,33.3,27.0,11.0,1.00,9.1,1.00,0.99,17.8,https://fbref.com/en/players/5f9970a0/Nicola-Leali,5f9970a0,Big 5 combined
65,Benjamin Lecomte,FRA,GK,Montpellier,fr Ligue 1,32-257,1991,17.0,1.24,0.00,0.12,0.06,0.12,1.18,0.23,0.06,+0.06,5.76,16.7,34.5,27.4,4.29,47.9,37.4,7.29,49.2,39.6,14.2,0.88,6.2,0.18,0.18,8.9,https://fbref.com/en/players/2fa2a875/Benjamin-Lecomte,2fa2a875,Big 5 combined
66,Jeremías Ledesma,ARG,GK,Cádiz,es La Liga,30-329,1993,15.9,1.51,0.06,0.00,0.13,0.00,1.70,0.32,0.19,+0.19,9.37,24.1,38.9,26.7,3.27,62.7,44.9,8.43,87.3,62.9,16.9,1.57,9.3,1.13,1.13,11.7,https://fbref.com/en/players/6c4776b1/Jeremias-Ledesma,6c4776b1,Big 5 combined
67,Bernd Leno,GER,GK,Fulham,eng Premier League,31-310,1992,20.0,1.75,0.25,0.00,0.05,0.15,1.64,0.26,0.04,+0.04,3.90,11.7,33.3,35.8,4.30,23.7,28.4,4.80,66.7,49.8,11.4,0.35,3.1,1.20,1.20,14.9,https://fbref.com/en/players/2628fd2b/Bernd-Leno,2628fd2b,Big 5 combined
68,Anthony Lopes,POR,GK,Lyon,fr Ligue 1,33-099,1990,14.0,1.50,0.14,0.00,0.00,0.00,1.41,0.25,-0.09,-0.08,4.86,13.1,37.2,25.2,4.00,40.8,34.6,6.79,41.1,34.3,12.7,0.86,6.7,1.14,1.14,16.4,https://fbref.com/en/players/f00de885/Anthony-Lopes,f00de885,Big 5 combined
69,Pau López,ESP,GK,Marseille,fr Ligue 1,29-026,1994,16.7,1.02,0.00,0.06,0.24,0.00,0.90,0.25,-0.12,-0.12,2.75,9.34,29.5,31.1,3.05,24.6,29.6,4.61,36.4,34.6,13.5,0.30,2.2,0.78,0.78,14.9,https://fbref.com/en/players/20b9f052/Pau-Lopez,20b9f052,Big 5 combined
70,Andriy Lunin,UKR,GK,Real Madrid,es La Liga,24-331,1999,8.0,0.50,0.00,0.00,0.00,0.00,0.89,0.30,0.39,+0.38,1.50,3.25,46.2,23.5,5.25,10.1,23.1,4.88,17.9,27.3,13.0,1.25,9.6,1.38,1.38,13.9,https://fbref.com/en/players/3061e1ec/Andriy-Lunin,3061e1ec,Big 5 combined
71,Mike Maignan,FRA,GK,Milan,it Serie A,28-189,1995,16.0,1.13,0.13,0.13,0.13,0.00,1.03,0.23,-0.09,-0.10,5.19,11.4,45.4,39.6,6.63,22.9,29.0,5.75,41.3,38.1,12.6,1.38,10.9,1.44,1.44,15.0,https://fbref.com/en/players/fcb38f57/Mike-Maignan,fcb38f57,Big 5 combined
72,Giorgi Mamardashvili,GEO,GK,Valencia,es La Liga,23-101,2000,19.0,1.21,0.05,0.00,0.11,0.05,1.31,0.31,0.15,+0.15,4.37,16.9,25.8,22.1,3.84,57.4,41.2,6.32,67.5,52.8,15.1,1.21,8.0,0.79,0.79,11.9,https://fbref.com/en/players/d4b73232/Giorgi-Mamardashvili,d4b73232,Big 5 combined
