Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP,Player Link_,Player ID_,Competition
16,Sargis Adamyan,ARM,"FW,MF",Köln,de Bundesliga,30-230,1993,1.6,17.5,22.5,77.8,221.3,83.8,10.0,11.9,84.2,6.25,7.50,83.3,0.00,0.63,0.0,0.63,0.31,0.25,0.31,1.88,1.88,0.63,0.00,3.13,https://fbref.com/en/players/22919e97/Sargis-Adamyan,22919e97,Big 5 combined
17,Tosin Adarabioyo,ENG,DF,Fulham,eng Premier League,26-106,1997,6.0,63.5,73.7,86.2,1265.0,474.0,18.2,19.5,93.2,38.3,42.2,90.9,6.33,10.0,63.3,0.00,0.02,0.02,-0.02,0.17,3.17,0.33,0.00,3.67,https://fbref.com/en/players/c81d773d/Tosin-Adarabioyo,c81d773d,Big 5 combined
18,Elijah Adebayo,ENG,FW,Luton Town,eng Premier League,26-001,1998,9.2,10.5,14.3,73.5,130.5,27.9,7.17,8.80,81.5,2.61,3.80,68.6,0.22,0.43,50.0,0.00,0.05,0.03,-0.05,1.20,0.33,0.33,0.00,1.52,https://fbref.com/en/players/0480ebc7/Elijah-Adebayo,0480ebc7,Big 5 combined
19,Karim Adeyemi,GER,"FW,MF",Dortmund,de Bundesliga,21-355,2002,4.1,21.0,29.0,72.3,288.8,83.9,11.7,14.6,80.0,6.83,9.27,73.7,0.98,1.71,57.1,0.24,0.22,0.24,0.02,0.73,1.46,0.98,0.24,3.17,https://fbref.com/en/players/501055d8/Karim-Adeyemi,501055d8,Big 5 combined
20,Simon Adingra,CIV,"FW,MF",Brighton,eng Premier League,22-007,2002,12.7,26.4,34.3,77.0,374.3,69.3,16.7,20.2,82.5,7.87,10.2,76.9,1.10,1.57,70.0,0.08,0.17,0.11,-0.09,1.42,0.71,1.50,0.47,1.73,https://fbref.com/en/players/4dcec659/Simon-Adingra,4dcec659,Big 5 combined
21,Amine Adli,MAR,"MF,DF",Leverkusen,de Bundesliga,23-243,2000,2.9,37.6,48.6,77.3,487.2,136.6,25.9,29.7,87.2,8.97,11.4,78.8,1.03,3.79,27.3,1.03,0.21,0.31,0.83,3.10,3.10,1.38,0.00,5.17,https://fbref.com/en/players/dcfb17f4/Amine-Adli,dcfb17f4,Big 5 combined
22,Yacine Adli,FRA,MF,Milan,it Serie A,23-163,2000,4.9,70.6,81.2,86.9,1334.7,422.2,28.4,31.2,90.8,30.8,33.5,92.1,9.59,13.1,73.4,0.00,0.04,0.10,-0.04,0.82,9.80,1.02,0.20,8.37,https://fbref.com/en/players/26777636/Yacine-Adli,26777636,Big 5 combined
23,Adson,BRA,"MF,FW",Nantes,fr Ligue 1,23-094,2000,2.6,44.2,50.0,88.5,673.1,145.4,23.5,24.6,95.3,15.4,17.7,87.0,3.08,3.85,80.0,0.00,0.04,0.12,-0.04,1.15,4.23,1.54,0.00,5.77,https://fbref.com/en/players/eda38706/Adson,eda38706,Big 5 combined
24,Michel Aebischer,SUI,MF,Bologna,it Serie A,27-002,1997,13.0,58.2,63.3,91.9,942.9,279.7,29.8,31.8,93.9,23.5,24.8,95.0,3.62,4.54,79.7,0.08,0.06,0.05,0.02,0.46,5.15,0.38,0.08,5.46,https://fbref.com/en/players/f9c927de/Michel-Aebischer,f9c927de,Big 5 combined
25,Emmanuel Agbadou,CIV,DF,Reims,fr Ligue 1,26-205,1997,12.6,56.7,64.8,87.5,1148.6,364.8,17.1,18.3,93.9,31.2,33.8,92.3,7.62,11.3,67.1,0.00,0.01,0.03,-0.01,0.32,6.03,0.08,0.00,6.43,https://fbref.com/en/players/75f1ed80/Emmanuel-Agbadou,75f1ed80,Big 5 combined
26,Lucien Agoume,FRA,MF,Inter,it Serie A,21-333,2002,0.1,50.0,50.0,100.0,750.0,70.0,30.0,30.0,100.0,20.0,20.0,100.0,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/8bc8829a/Lucien-Agoume,8bc8829a,Big 5 combined
27,Felix Agu,GER,"MF,DF",Werder Bremen,de Bundesliga,24-103,1999,2.2,32.3,46.4,69.6,500.0,200.0,16.4,22.3,73.5,14.5,16.8,86.5,1.36,3.18,42.9,0.00,0.05,0.09,-0.05,0.91,0.45,1.82,0.45,3.64,https://fbref.com/en/players/cb6d81b3/Felix-Agu,cb6d81b3,Big 5 combined
28,Nayef Aguerd,MAR,DF,West Ham,eng Premier League,27-284,1996,15.7,43.6,54.7,79.7,940.4,426.8,15.5,16.5,93.8,20.1,21.7,92.4,7.52,15.2,49.6,0.00,0.01,0.02,-0.01,0.19,2.93,0.06,0.00,2.80,https://fbref.com/en/players/288e1e13/Nayef-Aguerd,288e1e13,Big 5 combined
29,Ruben Aguilar,FRA,DF,Lens,fr Ligue 1,30-257,1993,11.5,48.4,59.5,81.4,698.4,271.9,28.8,31.0,93.0,17.0,21.0,81.0,1.57,4.00,39.1,0.26,0.22,0.28,0.04,1.57,3.22,2.43,0.78,6.09,https://fbref.com/en/players/3dd738a1/Ruben-Aguilar,3dd738a1,Big 5 combined
30,Naouirou Ahamada,FRA,"MF,FW",Crystal Palace,eng Premier League,21-285,2002,1.5,37.3,48.0,77.8,541.3,147.3,20.0,24.0,83.3,13.3,15.3,87.0,1.33,2.67,50.0,0.00,0.00,0.07,0.00,0.67,1.33,0.00,0.00,6.00,https://fbref.com/en/players/a6c58494/Naouirou-Ahamada,a6c58494,Big 5 combined
31,Anel Ahmedhodžić,BIH,DF,Sheffield Utd,eng Premier League,24-288,1999,13.5,25.6,34.7,73.6,400.3,158.2,13.8,15.9,86.5,9.56,12.1,78.7,1.63,4.74,34.4,0.00,0.00,0.01,0.00,0.07,1.33,0.07,0.00,1.11,https://fbref.com/en/players/eab957a3/Anel-Ahmedhodzic,eab957a3,Big 5 combined
32,Joseph Aidoo,GHA,DF,Celta Vigo,es La Liga,28-101,1995,4.5,32.2,41.1,78.4,648.4,263.8,9.11,10.2,89.1,18.7,22.7,82.4,4.22,7.78,54.3,0.00,0.02,0.00,-0.02,0.22,1.78,0.22,0.00,2.67,https://fbref.com/en/players/18abe173/Joseph-Aidoo,18abe173,Big 5 combined
33,Ola Aina,NGA,DF,Nott'ham Forest,eng Premier League,27-092,1996,11.0,26.4,35.6,74.0,418.7,167.4,14.0,15.7,89.0,10.2,13.0,78.3,1.64,4.55,36.0,0.09,0.05,0.04,0.05,0.45,2.00,0.27,0.09,2.73,https://fbref.com/en/players/246d153b/Ola-Aina,246d153b,Big 5 combined
34,Rayan Aït Nouri,ALG,"DF,MF",Wolves,eng Premier League,22-216,2001,12.7,35.9,43.7,82.2,509.2,168.5,22.6,25.4,88.9,10.6,12.8,83.3,1.50,2.91,51.4,0.00,0.07,0.06,-0.07,0.94,2.44,0.47,0.00,4.17,https://fbref.com/en/players/9b398aea/Rayan-Ait-Nouri,9b398aea,Big 5 combined
35,Tosin Aiyegun,BEN,"MF,FW",Lorient,fr Ligue 1,25-196,1998,6.9,14.5,19.0,76.3,231.2,31.3,6.67,8.84,75.4,5.51,6.81,80.9,1.30,1.88,69.2,0.00,0.01,0.01,-0.01,0.58,0.58,0.00,0.00,0.72,https://fbref.com/en/players/9c4f39b3/Tosin-Aiyegun,9c4f39b3,Big 5 combined
36,Kristoffer Ajer,NOR,DF,Brentford,eng Premier League,25-266,1998,8.1,35.1,46.7,75.1,583.6,210.0,17.9,20.9,85.8,14.2,18.1,78.2,2.59,5.93,43.8,0.12,0.20,0.23,-0.07,0.86,3.46,0.12,0.12,3.58,https://fbref.com/en/players/a8c0acb7/Kristoffer-Ajer,a8c0acb7,Big 5 combined
37,Ludovic Ajorque,FRA,FW,Mainz 05,de Bundesliga,29-317,1994,9.8,19.3,26.2,73.5,267.4,29.3,10.4,13.6,76.7,5.71,7.86,72.7,1.12,1.43,78.6,0.00,0.07,0.12,-0.07,1.12,1.02,0.10,0.00,1.12,https://fbref.com/en/players/462475ed/Ludovic-Ajorque,462475ed,Big 5 combined
38,Manuel Akanji,SUI,"DF,MF",Manchester City,eng Premier League,28-173,1995,14.0,79.5,85.6,92.9,1313.1,337.6,38.9,40.6,96.0,35.1,36.9,95.2,4.29,6.07,70.6,0.00,0.01,0.06,-0.01,0.36,8.14,0.07,0.00,4.64,https://fbref.com/en/players/89ac64a6/Manuel-Akanji,89ac64a6,Big 5 combined
39,Marley Aké,FRA,FW,Udinese,it Serie A,23-003,2001,0.1,0.00,0.00,,0.00,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/414e1f69/Marley-Ake,414e1f69,Big 5 combined
40,Nathan Aké,NED,DF,Manchester City,eng Premier League,28-324,1995,11.2,73.8,79.4,93.0,1198.8,369.4,34.2,36.1,94.8,35.8,37.3,95.9,2.50,4.02,62.2,0.09,0.10,0.06,-0.01,0.54,5.54,0.09,0.00,5.18,https://fbref.com/en/players/eaeca114/Nathan-Ake,eaeca114,Big 5 combined
41,Ilias Akhomach,ESP,"MF,FW",Villarreal,es La Liga,19-267,2004,7.2,24.7,31.9,77.4,320.0,66.8,16.8,18.9,89.0,5.28,7.50,70.4,0.83,1.81,46.2,0.28,0.08,0.06,0.19,0.83,1.11,0.83,0.14,1.94,https://fbref.com/en/players/b8bd60fe/Ilias-Akhomach,b8bd60fe,Big 5 combined
42,Sergio Akieme,ESP,DF,Almería,es La Liga,26-023,1997,16.0,33.6,43.3,77.5,556.9,164.2,16.8,18.4,91.2,13.6,16.5,82.2,2.63,6.00,43.8,0.00,0.09,0.09,-0.09,0.81,1.69,0.75,0.63,1.56,https://fbref.com/en/players/06efa9dc/Sergio-Akieme,06efa9dc,Big 5 combined
43,Maghnes Akliouche,FRA,"MF,FW",Monaco,fr Ligue 1,21-317,2002,5.8,40.0,49.8,80.3,582.2,169.5,23.4,26.0,90.1,12.6,14.3,88.0,1.90,4.31,44.0,0.17,0.10,0.12,0.07,1.90,4.66,1.21,0.34,5.34,https://fbref.com/en/players/b625b241/Maghnes-Akliouche,b625b241,Big 5 combined
44,Paul Akouokou,CIV,MF,Betis,es La Liga,26-019,1997,0.3,53.3,56.7,94.1,933.3,216.7,23.3,26.7,87.5,23.3,23.3,100.0,3.33,3.33,100.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.33,https://fbref.com/en/players/31f5b89b/Paul-Akouokou,31f5b89b,Big 5 combined
45,Paul Akouokou,CIV,MF,Lyon,fr Ligue 1,26-019,1997,3.3,47.6,55.5,85.8,822.7,214.8,18.2,21.8,83.3,23.0,24.5,93.8,4.24,5.45,77.8,0.00,0.00,0.03,0.00,0.00,4.85,0.00,0.00,3.94,https://fbref.com/en/players/31f5b89b/Paul-Akouokou,31f5b89b,Big 5 combined
46,Jean-Daniel Akpa-Akpro,CIV,MF,Monza,it Serie A,31-089,1992,2.7,27.8,34.1,81.5,442.6,119.3,14.1,16.3,86.4,12.6,14.4,87.2,1.11,1.85,60.0,0.00,0.04,0.07,-0.04,0.37,2.22,0.00,0.00,1.85,https://fbref.com/en/players/fdf4b948/Jean-Daniel-Akpa-Akpro,fdf4b948,Big 5 combined
47,Kevin Akpoguma,NGA,DF,Hoffenheim,de Bundesliga,28-264,1995,6.4,45.8,54.2,84.4,855.6,301.9,18.4,20.5,90.1,21.3,23.6,90.1,5.47,8.44,64.8,0.00,0.02,0.05,-0.02,0.31,5.63,0.00,0.00,4.84,https://fbref.com/en/players/6ec6fde0/Kevin-Akpoguma,6ec6fde0,Big 5 combined
48,David Alaba,AUT,DF,Real Madrid,es La Liga,31-198,1992,12.8,63.3,70.6,89.6,1013.8,390.4,34.9,36.3,96.3,23.2,25.8,90.0,3.83,6.56,58.3,0.08,0.05,0.06,0.02,0.78,4.38,0.39,0.00,3.98,https://fbref.com/en/players/05439de2/David-Alaba,05439de2,Big 5 combined
49,Luis Alberto,ESP,MF,Lazio,it Serie A,31-102,1992,13.4,53.2,68.8,77.3,854.1,285.6,28.6,32.4,88.2,18.7,21.9,85.7,4.70,10.6,44.4,0.07,0.11,0.16,-0.04,2.16,8.13,1.72,0.07,9.70,https://fbref.com/en/players/5294a83f/Luis-Alberto,5294a83f,Big 5 combined
50,Raúl Albiol,ESP,DF,Villarreal,es La Liga,38-126,1985,14.2,48.6,55.8,87.1,990.3,371.3,14.1,15.3,92.2,28.6,30.6,93.3,5.63,8.59,65.6,0.00,0.02,0.01,-0.02,0.07,3.24,0.00,0.00,2.68,https://fbref.com/en/players/4bd414c1/Raul-Albiol,4bd414c1,Big 5 combined
51,Rubén Alcaraz,ESP,MF,Cádiz,es La Liga,32-252,1991,16.8,30.7,38.5,79.9,590.9,169.4,14.3,15.8,90.9,11.0,12.6,87.3,4.58,8.04,57.0,0.00,0.01,0.02,-0.01,0.48,3.63,0.30,0.06,3.57,https://fbref.com/en/players/036bba5f/Ruben-Alcaraz,036bba5f,Big 5 combined
52,Omar Alderete,PAR,DF,Getafe,es La Liga,27-013,1996,7.1,21.4,33.9,63.1,527.2,263.1,6.62,7.89,83.9,8.87,11.7,75.9,5.63,13.7,41.2,0.14,0.01,0.03,0.13,0.70,3.52,0.42,0.00,2.96,https://fbref.com/en/players/bb08bce9/Omar-Alderete,bb08bce9,Big 5 combined
53,Iván Alejo,ESP,MF,Cádiz,es La Liga,28-332,1995,12.6,10.5,22.1,47.3,177.7,68.9,5.16,7.14,72.2,2.70,6.51,41.5,1.75,5.00,34.9,0.16,0.06,0.11,0.10,0.56,0.71,1.03,1.03,1.27,https://fbref.com/en/players/3d7e48ce/Ivan-Alejo,3d7e48ce,Big 5 combined
54,Carles Aleñá,ESP,MF,Getafe,es La Liga,26-003,1998,6.7,25.4,33.4,75.9,434.0,90.3,13.0,14.9,87.0,8.06,11.0,73.0,3.43,5.37,63.9,0.15,0.15,0.06,0.00,1.64,2.09,0.00,0.00,1.49,https://fbref.com/en/players/6c811eb7/Carles-Alena,6c811eb7,Big 5 combined
55,Trent Alexander-Arnold,ENG,DF,Liverpool,eng Premier League,25-093,1998,16.6,64.0,85.5,74.9,1256.9,508.0,27.5,29.9,92.0,25.0,31.8,78.6,10.5,21.3,49.2,0.18,0.31,0.25,-0.13,2.95,8.19,2.17,0.60,8.43,https://fbref.com/en/players/cd1acf9d/Trent-Alexander-Arnold,cd1acf9d,Big 5 combined
56,Mohamed Ali Cho,FRA,"FW,MF",Real Sociedad,es La Liga,19-354,2004,2.8,13.6,23.6,57.6,179.3,44.3,8.21,11.4,71.9,4.29,6.43,66.7,0.36,3.21,11.1,0.00,0.04,0.11,-0.04,0.36,0.36,0.00,0.00,1.07,https://fbref.com/en/players/f8405304/Mohamed-Ali-Cho,f8405304,Big 5 combined
57,Yanis Ali Issoufou,FRA,FW,Montpellier,fr Ligue 1,17-072,2006,0.1,,,,,,,,,,,,,,,0.00,,,,,,,,,https://fbref.com/en/players/5d004b30/Yanis-Ali-Issoufou,5d004b30,Big 5 combined
58,Faride Alidou,GER,"FW,MF",Köln,de Bundesliga,22-174,2001,3.0,19.0,26.0,73.1,266.3,48.0,10.7,13.3,80.0,6.67,8.00,83.3,0.67,2.33,28.6,0.00,0.03,0.13,-0.03,0.67,0.67,0.67,0.33,3.00,https://fbref.com/en/players/00f518d8/Faride-Alidou,00f518d8,Big 5 combined
59,Nabil Alioui,FRA,"MF,FW",Le Havre,fr Ligue 1,24-324,1999,10.7,19.7,31.4,62.8,328.2,120.8,10.5,13.5,77.8,5.51,8.04,68.6,2.80,7.01,40.0,0.00,0.20,0.20,-0.20,2.06,2.99,1.12,0.09,3.74,https://fbref.com/en/players/b386310a/Nabil-Alioui,b386310a,Big 5 combined
60,Alisson,BRA,GK,Liverpool,eng Premier League,31-098,1992,18.0,35.8,41.9,85.4,787.1,490.7,9.00,9.06,99.4,20.7,21.1,98.2,6.00,11.4,52.7,0.00,0.00,0.00,0.00,0.06,0.33,0.00,0.00,0.11,https://fbref.com/en/players/7a2e46a8/Alisson,7a2e46a8,Big 5 combined
61,Jim Allevinah,GAB,"MF,DF",Clermont Foot,fr Ligue 1,28-315,1995,12.8,29.6,38.3,77.3,427.6,109.5,15.5,18.5,84.0,11.3,14.4,78.3,0.86,2.27,37.9,0.00,0.05,0.05,-0.05,1.02,1.72,1.02,0.39,2.66,https://fbref.com/en/players/1956b948/Jim-Allevinah,1956b948,Big 5 combined
62,Domingos André Ribeiro Almeida,POR,"FW,MF",Valencia,es La Liga,23-223,2000,5.3,27.2,35.1,77.4,423.0,109.2,15.1,16.4,92.0,9.06,10.9,82.8,2.26,3.77,60.0,0.19,0.13,0.09,0.06,1.32,3.02,0.75,0.00,4.34,https://fbref.com/en/players/e6697917/Domingos-Andre-Ribeiro-Almeida,e6697917,Big 5 combined
63,Miguel Almirón,PAR,FW,Newcastle Utd,eng Premier League,29-332,1994,14.9,32.8,39.2,83.6,441.7,86.8,20.5,22.9,89.7,10.0,11.5,86.6,1.01,1.88,53.6,0.07,0.09,0.07,-0.02,1.01,1.95,1.07,0.07,4.23,https://fbref.com/en/players/862a1c15/Miguel-Almiron,862a1c15,Big 5 combined
64,Pontus Almqvist,SWE,FW,Lecce,it Serie A,24-182,1999,10.6,17.8,23.4,76.2,238.1,51.5,11.3,14.1,80.5,4.43,6.13,72.3,0.94,0.94,100.0,0.00,0.04,0.05,-0.04,0.75,0.75,0.38,0.09,1.70,https://fbref.com/en/players/0917188a/Pontus-Almqvist,0917188a,Big 5 combined
65,Marcos Alonso,ESP,DF,Barcelona,es La Liga,33-011,1990,1.8,67.8,78.3,86.5,1012.8,213.9,36.7,40.0,91.7,25.6,30.0,85.2,2.22,3.89,57.1,0.00,0.28,0.17,-0.28,2.22,3.33,1.67,0.56,5.00,https://fbref.com/en/players/f4290206/Marcos-Alonso,f4290206,Big 5 combined
66,Adrià Altimira,ESP,"DF,MF",Villarreal,es La Liga,22-286,2001,8.0,45.9,54.9,83.6,780.0,254.3,21.3,24.3,87.6,20.0,22.9,87.4,3.75,5.13,73.2,0.00,0.01,0.03,-0.01,0.25,2.88,0.63,0.25,3.50,https://fbref.com/en/players/757a3431/Adria-Altimira,757a3431,Big 5 combined
67,Sergi Altimira,ESP,MF,Betis,es La Liga,22-136,2001,3.2,38.8,41.6,93.2,619.4,140.6,20.9,21.9,95.7,12.5,13.1,95.2,4.06,5.00,81.3,0.00,0.06,0.06,-0.06,0.63,3.13,0.63,0.00,5.00,https://fbref.com/en/players/94acdd4e/Sergi-Altimira,94acdd4e,Big 5 combined
68,Edson Álvarez,MEX,MF,West Ham,eng Premier League,26-076,1997,14.9,38.1,44.6,85.4,644.5,183.8,18.2,19.8,91.9,15.8,17.6,90.1,3.22,5.44,59.3,0.07,0.01,0.01,0.06,0.20,3.02,0.20,0.00,2.75,https://fbref.com/en/players/8b3ab7ad/Edson-Alvarez,8b3ab7ad,Big 5 combined
69,Gastón Álvarez,URU,DF,Getafe,es La Liga,23-290,2000,15.8,24.8,35.0,70.9,482.7,188.6,9.94,11.3,87.7,10.4,13.4,77.7,3.73,8.35,44.7,0.00,0.03,0.01,-0.03,0.19,2.91,0.19,0.13,2.47,https://fbref.com/en/players/852ddfb8/Gaston-Alvarez,852ddfb8,Big 5 combined
70,Hugo Álvarez,ESP,MF,Celta Vigo,es La Liga,20-190,2003,0.0,2,4,50.0,28,14,1,2,50.0,1,2,50.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,1,https://fbref.com/en/players/6f392eb8/Hugo-Alvarez,6f392eb8,Big 5 combined
71,Julián Álvarez,ARG,"MF,FW",Manchester City,eng Premier League,23-342,2000,17.6,33.7,43.1,78.1,475.3,110.5,20.1,22.5,89.1,9.20,11.1,82.7,2.27,5.74,39.6,0.28,0.27,0.27,0.01,2.50,1.48,1.42,0.23,3.52,https://fbref.com/en/players/15ab5a2b/Julian-Alvarez,15ab5a2b,Big 5 combined
72,Yeray Álvarez,ESP,DF,Athletic Club,es La Liga,28-349,1995,2.1,31.4,40.0,78.6,689.5,283.8,8.57,9.52,90.0,17.1,20.0,85.7,5.24,9.05,57.9,0.00,0.05,0.00,-0.05,0.95,2.38,0.48,0.00,2.38,https://fbref.com/en/players/3ecc11d8/Yeray-Alvarez,3ecc11d8,Big 5 combined
73,Skelly Alvero,FRA,MF,Lyon,fr Ligue 1,21-249,2002,4.7,33.8,41.1,82.4,536.0,157.0,17.7,20.2,87.4,12.8,16.0,80.0,2.55,3.40,75.0,0.00,0.00,0.04,0.00,0.21,3.62,0.64,0.21,5.74,https://fbref.com/en/players/add37c13/Skelly-Alvero,add37c13,Big 5 combined
74,Papa Amadou Diallo,SEN,"FW,MF",Metz,fr Ligue 1,19-197,2004,2.8,17.1,25.7,66.7,278.9,67.9,7.86,11.4,68.8,7.86,9.64,81.5,0.71,2.14,33.3,0.00,0.00,0.04,0.00,1.07,1.43,0.36,0.00,3.21,https://fbref.com/en/players/d638ab17/Papa-Amadou-Diallo,d638ab17,Big 5 combined
75,Selim Amallah,MAR,"MF,FW",Valencia,es La Liga,27-054,1996,5.4,19.3,26.7,72.2,274.6,75.2,10.7,12.8,84.1,5.37,7.78,69.0,1.30,2.59,50.0,0.19,0.04,0.04,0.15,0.56,1.67,0.37,0.00,3.33,https://fbref.com/en/players/00eba9c9/Selim-Amallah,00eba9c9,Big 5 combined
76,Amath,SEN,"FW,MF",Mallorca,es La Liga,27-176,1996,4.4,17.3,25.7,67.3,254.1,67.3,9.55,12.5,76.4,5.45,8.64,63.2,1.36,1.82,75.0,0.00,0.09,0.07,-0.09,0.68,1.82,0.91,0.45,2.95,https://fbref.com/en/players/f3b1d9a2/Amath,f3b1d9a2,Big 5 combined
