Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Player Link_,Player ID_,Competition
11,Abdel Abqar,MAR,DF,Alavés,es La Liga,25-051,1999,21.2,0.47,0.47,0.33,0.00,0.00,0.09,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/2bc7f211/Abdel-Abqar,2bc7f211,Big 5 combined
12,Tammy Abraham,ENG,FW,Roma,it Serie A,26-211,1997,1.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/f586779e/Tammy-Abraham,f586779e,Big 5 combined
13,Francesco Acerbi,ITA,DF,Inter,it Serie A,36-080,1988,24.5,0.82,0.82,0.69,0.00,0.00,0.12,0.00,0.00,0.04,0.04,0.04,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/b96b595c/Francesco-Acerbi,b96b595c,Big 5 combined
14,Marcos Acuña,ARG,DF,Sevilla,es La Liga,32-185,1991,11.2,3.66,3.66,1.96,1.16,0.27,0.00,0.18,0.09,0.36,0.36,0.09,0.27,0.00,0.00,0.00,0.00,https://fbref.com/en/players/81442ecb/Marcos-Acuna,81442ecb,Big 5 combined
15,Bénie Adama Traore,CIV,"FW,MF",Sheffield Utd,eng Premier League,21-152,2002,4.3,1.40,1.40,1.40,0.00,0.00,0.00,0.00,0.00,0.23,0.23,0.23,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/77816c91/Benie-Adama-Traore,77816c91,Big 5 combined
16,Bénie Adama Traore,CIV,"FW,MF",Nantes,fr Ligue 1,21-152,2002,3.6,2.50,2.47,2.22,0.00,0.00,0.28,0.00,0.00,0.28,0.27,0.28,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/77816c91/Benie-Adama-Traore,77816c91,Big 5 combined
17,Akor Adams,NGA,FW,Montpellier,fr Ligue 1,24-092,2000,23.1,1.77,1.78,1.21,0.00,0.22,0.30,0.04,0.00,0.09,0.09,0.00,0.00,0.09,0.00,0.00,0.00,https://fbref.com/en/players/2ccd39ed/Akor-Adams,2ccd39ed,Big 5 combined
18,Tyler Adams,USA,MF,Bournemouth,eng Premier League,25-076,1999,1.2,1.67,1.64,0.83,0.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/2b09d998/Tyler-Adams,2b09d998,Big 5 combined
19,Junior Adamu,AUT,"FW,MF",Freiburg,de Bundesliga,22-329,2001,1.1,1.82,1.76,0.91,0.00,0.00,0.00,0.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/82e12fe7/Junior-Adamu,82e12fe7,Big 5 combined
20,Sargis Adamyan,ARM,"FW,MF",Köln,de Bundesliga,30-343,1993,8.3,3.73,3.72,2.65,0.00,0.12,0.12,0.72,0.12,0.36,0.36,0.12,0.00,0.00,0.12,0.12,0.00,https://fbref.com/en/players/22919e97/Sargis-Adamyan,22919e97,Big 5 combined
21,Tosin Adarabioyo,ENG,DF,Fulham,eng Premier League,26-219,1997,18.0,0.56,0.56,0.33,0.00,0.00,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/c81d773d/Tosin-Adarabioyo,c81d773d,Big 5 combined
22,Elijah Adebayo,ENG,FW,Luton Town,eng Premier League,26-114,1998,13.1,1.98,1.99,1.37,0.00,0.23,0.31,0.08,0.00,0.23,0.23,0.08,0.00,0.00,0.15,0.00,0.00,https://fbref.com/en/players/0480ebc7/Elijah-Adebayo,0480ebc7,Big 5 combined
23,Karim Adeyemi,GER,"FW,MF",Dortmund,de Bundesliga,22-103,2002,9.2,2.07,2.07,0.98,0.11,0.22,0.22,0.54,0.00,0.11,0.11,0.11,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/501055d8/Karim-Adeyemi,501055d8,Big 5 combined
24,Simon Adingra,CIV,FW,Brighton,eng Premier League,22-120,2002,20.9,2.73,2.73,1.82,0.05,0.43,0.29,0.05,0.10,0.19,0.19,0.14,0.00,0.00,0.00,0.00,0.05,https://fbref.com/en/players/4dcec659/Simon-Adingra,4dcec659,Big 5 combined
25,Nathaniel Adjei,GHA,DF,Lorient,fr Ligue 1,21-253,2002,12.1,0.83,0.82,0.58,0.00,0.00,0.00,0.08,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/c55de1f5/Nathaniel-Adjei,c55de1f5,Big 5 combined
26,Amine Adli,MAR,"MF,FW",Leverkusen,de Bundesliga,23-356,2000,9.0,4.89,4.87,3.67,0.00,0.56,0.22,0.44,0.00,0.78,0.77,0.44,0.00,0.22,0.00,0.11,0.00,https://fbref.com/en/players/dcfb17f4/Amine-Adli,dcfb17f4,Big 5 combined
27,Yacine Adli,FRA,MF,Milan,it Serie A,23-276,2000,15.2,3.88,3.89,2.63,1.05,0.20,0.00,0.00,0.00,0.53,0.53,0.26,0.20,0.07,0.00,0.00,0.00,https://fbref.com/en/players/26777636/Yacine-Adli,26777636,Big 5 combined
28,Adryelson,BRA,"DF,FW",Lyon,fr Ligue 1,26-038,1998,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/e980e78d/Adryelson,e980e78d,Big 5 combined
29,Adson,BRA,"MF,FW",Nantes,fr Ligue 1,23-207,2000,2.6,3.46,3.40,3.08,0.00,0.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/eda38706/Adson,eda38706,Big 5 combined
30,Michel Aebischer,SUI,MF,Bologna,it Serie A,27-115,1997,21.9,1.60,1.60,1.23,0.09,0.09,0.09,0.09,0.00,0.05,0.05,0.05,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/f9c927de/Michel-Aebischer,f9c927de,Big 5 combined
31,Emmanuel Agbadou,CIV,DF,Reims,fr Ligue 1,26-318,1997,25.8,1.74,1.74,1.59,0.00,0.00,0.16,0.00,0.00,0.04,0.04,0.04,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/75f1ed80/Emmanuel-Agbadou,75f1ed80,Big 5 combined
32,Julen Agirrezabala,ESP,GK,Athletic Club,es La Liga,23-126,2000,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/a2c1a8d3/Julen-Agirrezabala,a2c1a8d3,Big 5 combined
33,Lucien Agoume,FRA,MF,Inter,it Serie A,22-081,2002,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/8bc8829a/Lucien-Agoume,8bc8829a,Big 5 combined
34,Lucien Agoume,FRA,MF,Sevilla,es La Liga,22-081,2002,3.8,2.11,2.12,2.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/8bc8829a/Lucien-Agoume,8bc8829a,Big 5 combined
35,Felix Agu,GER,"DF,MF",Werder Bremen,de Bundesliga,24-216,1999,15.3,1.24,1.25,0.72,0.07,0.00,0.00,0.46,0.00,0.20,0.20,0.00,0.00,0.00,0.00,0.20,0.00,https://fbref.com/en/players/cb6d81b3/Felix-Agu,cb6d81b3,Big 5 combined
36,Nayef Aguerd,MAR,DF,West Ham,eng Premier League,28-031,1996,20.6,0.68,0.68,0.58,0.05,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/288e1e13/Nayef-Aguerd,288e1e13,Big 5 combined
37,Ruben Aguilar,FRA,DF,Lens,fr Ligue 1,31-004,1993,20.3,2.17,2.17,1.97,0.05,0.05,0.10,0.00,0.00,0.25,0.25,0.25,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/3dd738a1/Ruben-Aguilar,3dd738a1,Big 5 combined
38,Brandon Aguilera,CRC,FW,Nott'ham Forest,eng Premier League,20-307,2003,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/938fa024/Brandon-Aguilera,938fa024,Big 5 combined
39,Naouirou Ahamada,FRA,"MF,FW",Crystal Palace,eng Premier League,22-032,2002,3.1,2.90,2.88,2.90,0.00,0.00,0.00,0.00,0.00,0.97,0.96,0.97,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/a6c58494/Naouirou-Ahamada,a6c58494,Big 5 combined
40,Anel Ahmedhodžić,BIH,DF,Sheffield Utd,eng Premier League,25-035,1999,27.4,0.91,0.91,0.80,0.00,0.00,0.11,0.00,0.00,0.04,0.04,0.00,0.00,0.00,0.04,0.00,0.00,https://fbref.com/en/players/eab957a3/Anel-Ahmedhodzic,eab957a3,Big 5 combined
41,Joseph Aidoo,GHA,DF,Celta Vigo,es La Liga,28-214,1995,4.5,1.33,1.33,0.89,0.00,0.22,0.22,0.00,0.00,0.22,0.22,0.00,0.00,0.00,0.22,0.00,0.00,https://fbref.com/en/players/18abe173/Joseph-Aidoo,18abe173,Big 5 combined
42,Ola Aina,NGA,DF,Nott'ham Forest,eng Premier League,27-205,1996,16.8,1.96,1.96,1.31,0.18,0.18,0.06,0.18,0.06,0.06,0.06,0.06,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/246d153b/Ola-Aina,246d153b,Big 5 combined
43,Rayan Aït-Nouri,ALG,"DF,MF",Wolves,eng Premier League,22-329,2001,23.4,2.61,2.61,1.67,0.38,0.17,0.13,0.26,0.00,0.21,0.21,0.09,0.00,0.00,0.00,0.13,0.00,https://fbref.com/en/players/9b398aea/Rayan-Ait-Nouri,9b398aea,Big 5 combined
44,Tosin Aiyegun,BEN,"MF,FW",Lorient,fr Ligue 1,25-309,1998,8.7,1.26,1.26,1.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/9c4f39b3/Tosin-Aiyegun,9c4f39b3,Big 5 combined
45,Kristoffer Ajer,NOR,DF,Brentford,eng Premier League,26-013,1998,19.2,1.35,1.36,1.20,0.00,0.05,0.10,0.00,0.00,0.16,0.16,0.16,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/a8c0acb7/Kristoffer-Ajer,a8c0acb7,Big 5 combined
46,Ludovic Ajorque,FRA,FW,Mainz 05,de Bundesliga,30-065,1994,14.1,2.48,2.48,1.91,0.07,0.00,0.07,0.35,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/462475ed/Ludovic-Ajorque,462475ed,Big 5 combined
47,Manuel Akanji,SUI,"DF,MF",Manchester City,eng Premier League,28-286,1995,24.1,2.07,2.07,1.70,0.04,0.00,0.12,0.08,0.12,0.17,0.17,0.17,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/89ac64a6/Manuel-Akanji,89ac64a6,Big 5 combined
48,Marley Aké,FRA,FW,Udinese,it Serie A,23-116,2001,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/414e1f69/Marley-Ake,414e1f69,Big 5 combined
49,Nathan Aké,NED,DF,Manchester City,eng Premier League,29-072,1995,21.5,1.63,1.63,1.26,0.00,0.09,0.19,0.05,0.05,0.28,0.28,0.14,0.00,0.05,0.09,0.00,0.00,https://fbref.com/en/players/eaeca114/Nathan-Ake,eaeca114,Big 5 combined
50,Ilias Akhomach,MAR,"MF,FW",Villarreal,es La Liga,20-014,2004,14.6,3.15,3.16,1.85,0.14,0.68,0.07,0.34,0.07,0.21,0.21,0.14,0.00,0.07,0.00,0.00,0.00,https://fbref.com/en/players/b8bd60fe/Ilias-Akhomach,b8bd60fe,Big 5 combined
51,Sergio Akieme,ESP,DF,Almería,es La Liga,26-136,1997,18.6,1.72,1.72,1.18,0.16,0.22,0.05,0.11,0.00,0.05,0.05,0.00,0.00,0.00,0.05,0.00,0.00,https://fbref.com/en/players/06efa9dc/Sergio-Akieme,06efa9dc,Big 5 combined
52,Sergio Akieme,ESP,DF,Reims,fr Ligue 1,26-136,1997,6.1,2.95,2.96,1.97,0.16,0.33,0.33,0.00,0.16,0.16,0.16,0.00,0.00,0.00,0.16,0.00,0.00,https://fbref.com/en/players/06efa9dc/Sergio-Akieme,06efa9dc,Big 5 combined
53,Ebenezer Akinsanmiro,NGA,MF,Inter,it Serie A,19-157,2004,0.2,5.00,6.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/3ad34015/Ebenezer-Akinsanmiro,3ad34015,Big 5 combined
54,Maghnes Akliouche,FRA,"MF,FW",Monaco,fr Ligue 1,22-065,2002,16.0,4.94,4.94,3.25,0.56,0.38,0.19,0.25,0.31,0.44,0.44,0.31,0.00,0.00,0.00,0.00,0.13,https://fbref.com/en/players/b625b241/Maghnes-Akliouche,b625b241,Big 5 combined
55,Paul Akouokou,CIV,MF,Betis,es La Liga,26-132,1997,0.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/31f5b89b/Paul-Akouokou,31f5b89b,Big 5 combined
56,Paul Akouokou,CIV,MF,Lyon,fr Ligue 1,26-132,1997,3.4,1.76,1.75,1.18,0.00,0.29,0.00,0.00,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/31f5b89b/Paul-Akouokou,31f5b89b,Big 5 combined
57,Jean-Daniel Akpa-Akpro,CIV,MF,Monza,it Serie A,31-202,1992,7.3,0.55,0.55,0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/fdf4b948/Jean-Daniel-Akpa-Akpro,fdf4b948,Big 5 combined
58,David Akpan Ankeye,NGA,FW,Genoa,it Serie A,22-076,2002,0.6,,,,,,,,,,,,,,,,,https://fbref.com/en/players/8c4b95af/David-Akpan-Ankeye,8c4b95af,Big 5 combined
59,Kevin Akpoguma,NGA,DF,Hoffenheim,de Bundesliga,29-011,1995,9.2,0.76,0.76,0.54,0.00,0.11,0.00,0.11,0.00,0.11,0.11,0.11,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/6ec6fde0/Kevin-Akpoguma,6ec6fde0,Big 5 combined
60,David Alaba,AUT,DF,Real Madrid,es La Liga,31-311,1992,12.8,1.41,1.40,1.02,0.31,0.00,0.08,0.00,0.00,0.08,0.08,0.00,0.08,0.00,0.00,0.00,0.00,https://fbref.com/en/players/05439de2/David-Alaba,05439de2,Big 5 combined
61,Luis Alberto,ESP,MF,Lazio,it Serie A,31-215,1992,24.8,4.60,4.61,3.15,1.13,0.00,0.28,0.00,0.04,0.36,0.36,0.32,0.04,0.00,0.00,0.00,0.00,https://fbref.com/en/players/5294a83f/Luis-Alberto,5294a83f,Big 5 combined
62,Raúl Albiol,ESP,DF,Villarreal,es La Liga,38-239,1985,21.1,0.19,0.19,0.09,0.00,0.00,0.09,0.00,0.00,0.05,0.05,0.05,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/4bd414c1/Raul-Albiol,4bd414c1,Big 5 combined
63,Thiago Alcántara,ESP,MF,Liverpool,eng Premier League,33-019,1991,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/77e84962/Thiago-Alcantara,77e84962,Big 5 combined
64,Carlos Alcaraz,ARG,MF,Juventus,it Serie A,21-152,2002,2.7,2.22,2.25,2.22,0.00,0.00,0.00,0.00,0.00,0.37,0.37,0.37,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/4abac767/Carlos-Alcaraz,4abac767,Big 5 combined
65,Rubén Alcaraz,ESP,MF,Cádiz,es La Liga,32-365,1991,29.8,2.01,2.01,1.41,0.23,0.03,0.17,0.07,0.10,0.17,0.17,0.10,0.00,0.00,0.07,0.00,0.00,https://fbref.com/en/players/036bba5f/Ruben-Alcaraz,036bba5f,Big 5 combined
66,Omar Alderete,PAR,DF,Getafe,es La Liga,27-126,1996,19.9,1.21,1.21,1.01,0.00,0.10,0.05,0.05,0.00,0.15,0.15,0.15,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/bb08bce9/Omar-Alderete,bb08bce9,Big 5 combined
67,Iván Alejo,ESP,MF,Cádiz,es La Liga,29-080,1995,18.3,1.91,1.91,1.37,0.11,0.00,0.00,0.44,0.00,0.27,0.27,0.16,0.00,0.00,0.00,0.11,0.00,https://fbref.com/en/players/3d7e48ce/Ivan-Alejo,3d7e48ce,Big 5 combined
68,Carles Aleñá,ESP,"MF,FW",Getafe,es La Liga,26-116,1998,9.9,3.33,3.32,1.92,1.11,0.00,0.10,0.10,0.10,0.20,0.20,0.10,0.10,0.00,0.00,0.00,0.00,https://fbref.com/en/players/6c811eb7/Carles-Alena,6c811eb7,Big 5 combined
69,Trent Alexander-Arnold,ENG,DF,Liverpool,eng Premier League,25-206,1998,21.2,5.28,5.29,3.49,1.37,0.24,0.19,0.00,0.00,0.33,0.33,0.19,0.14,0.00,0.00,0.00,0.00,https://fbref.com/en/players/cd1acf9d/Trent-Alexander-Arnold,cd1acf9d,Big 5 combined
70,Aboubacar Ali,FRA,"MF,FW",Strasbourg,fr Ligue 1,18-028,2006,0.5,2.00,1.87,2.00,0.00,0.00,0.00,0.00,0.00,2.00,1.87,2.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/133d2aa5/Aboubacar-Ali,133d2aa5,Big 5 combined
71,Mohamed Ali Cho,FRA,"FW,MF",Real Sociedad,es La Liga,20-102,2004,2.8,1.07,1.08,0.36,0.00,0.36,0.00,0.36,0.00,0.36,0.36,0.00,0.00,0.00,0.00,0.36,0.00,https://fbref.com/en/players/f8405304/Mohamed-Ali-Cho,f8405304,Big 5 combined
72,Mohamed Ali Cho,FRA,"FW,MF",Nice,fr Ligue 1,20-102,2004,7.8,3.85,3.83,2.18,0.51,0.51,0.00,0.64,0.00,0.51,0.51,0.38,0.00,0.00,0.00,0.13,0.00,https://fbref.com/en/players/f8405304/Mohamed-Ali-Cho,f8405304,Big 5 combined
73,Yanis Ali Issoufou,FRA,FW,Montpellier,fr Ligue 1,17-185,2006,0.1,,,,,,,,,,,,,,,,,https://fbref.com/en/players/5d004b30/Yanis-Ali-Issoufou,5d004b30,Big 5 combined
74,Faride Alidou,GER,"FW,MF",Köln,de Bundesliga,22-287,2001,12.0,2.58,2.58,1.75,0.00,0.33,0.08,0.42,0.00,0.25,0.25,0.08,0.00,0.08,0.00,0.08,0.00,https://fbref.com/en/players/00f518d8/Faride-Alidou,00f518d8,Big 5 combined
75,Nabil Alioui,FRA,"MF,FW",Le Havre,fr Ligue 1,25-072,1999,11.2,3.57,3.56,2.14,0.98,0.27,0.18,0.00,0.00,0.18,0.18,0.09,0.09,0.00,0.00,0.00,0.00,https://fbref.com/en/players/b386310a/Nabil-Alioui,b386310a,Big 5 combined
76,Alisson,BRA,GK,Liverpool,eng Premier League,31-211,1992,25.0,0.44,0.44,0.40,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/7a2e46a8/Alisson,7a2e46a8,Big 5 combined
77,Tadeo Allende,ARG,"MF,FW",Celta Vigo,es La Liga,25-070,1999,3.2,2.81,2.82,1.25,0.00,0.31,0.94,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/75a66bed/Tadeo-Allende,75a66bed,Big 5 combined
78,Jim Allevinah,GAB,"MF,DF",Clermont Foot,fr Ligue 1,29-063,1995,19.7,2.89,2.90,1.83,0.10,0.30,0.30,0.30,0.05,0.15,0.15,0.15,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/1956b948/Jim-Allevinah,1956b948,Big 5 combined
79,Domingos André Ribeiro Almeida,POR,"FW,MF",Valencia,es La Liga,23-336,2000,7.4,2.84,2.86,1.76,0.27,0.41,0.27,0.14,0.00,0.14,0.14,0.14,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/e6697917/Domingos-Andre-Ribeiro-Almeida,e6697917,Big 5 combined
80,Miguel Almirón,PAR,FW,Newcastle Utd,eng Premier League,30-080,1994,20.5,2.44,2.43,1.90,0.05,0.15,0.29,0.05,0.00,0.20,0.19,0.10,0.05,0.00,0.05,0.00,0.00,https://fbref.com/en/players/862a1c15/Miguel-Almiron,862a1c15,Big 5 combined
81,Pontus Almqvist,SWE,"FW,MF",Lecce,it Serie A,24-295,1999,21.8,2.66,2.66,1.51,0.05,0.37,0.23,0.37,0.14,0.28,0.28,0.14,0.00,0.00,0.00,0.09,0.05,https://fbref.com/en/players/0917188a/Pontus-Almqvist,0917188a,Big 5 combined
82,Marcos Alonso,ESP,DF,Barcelona,es La Liga,33-124,1990,2.8,2.86,2.86,2.50,0.36,0.00,0.00,0.00,0.00,0.36,0.36,0.36,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/f4290206/Marcos-Alonso,f4290206,Big 5 combined
83,Adrià Altimira,ESP,"DF,MF",Villarreal,es La Liga,23-033,2001,8.6,0.70,0.70,0.70,0.00,0.00,0.00,0.00,0.00,0.12,0.12,0.12,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/757a3431/Adria-Altimira,757a3431,Big 5 combined
84,Sergi Altimira,ESP,MF,Betis,es La Liga,22-249,2001,5.6,2.32,2.33,1.43,0.18,0.36,0.18,0.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/94acdd4e/Sergi-Altimira,94acdd4e,Big 5 combined
85,Edson Álvarez,MEX,MF,West Ham,eng Premier League,26-189,1997,25.7,1.25,1.25,0.93,0.00,0.08,0.12,0.00,0.12,0.08,0.08,0.08,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/8b3ab7ad/Edson-Alvarez,8b3ab7ad,Big 5 combined
86,Gastón Álvarez,URU,DF,Getafe,es La Liga,24-037,2000,24.2,0.79,0.79,0.58,0.04,0.04,0.12,0.00,0.00,0.04,0.04,0.04,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/852ddfb8/Gaston-Alvarez,852ddfb8,Big 5 combined
87,Hugo Álvarez,ESP,"MF,DF",Celta Vigo,es La Liga,20-303,2003,5.1,4.51,4.52,3.92,0.39,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/6f392eb8/Hugo-Alvarez,6f392eb8,Big 5 combined
88,Julián Álvarez,ARG,"MF,FW",Manchester City,eng Premier League,24-090,2000,29.2,4.01,4.01,2.53,0.96,0.14,0.34,0.03,0.00,0.48,0.48,0.41,0.03,0.00,0.00,0.03,0.00,https://fbref.com/en/players/15ab5a2b/Julian-Alvarez,15ab5a2b,Big 5 combined
89,Yeray Álvarez,ESP,DF,Athletic Club,es La Liga,29-097,1995,9.7,0.93,0.93,0.72,0.21,0.00,0.00,0.00,0.00,0.21,0.21,0.21,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/3ecc11d8/Yeray-Alvarez,3ecc11d8,Big 5 combined
90,Skelly Alvero,FRA,MF,Lyon,fr Ligue 1,21-362,2002,4.7,2.55,2.54,1.49,0.21,0.21,0.43,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/add37c13/Skelly-Alvero,add37c13,Big 5 combined
