Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Player Link_,Player ID_,Competition
214,Jochem van de Kamp,NED,"DF,MF",Almere City,20-180,2003,18.5,33.1,30.3,2.59,0.11,0.16,0.16,0.54,2.38,0.00,0.00,0.00,0.00,23.0,0.22,1.08,https://fbref.com/en/players/9d00bcd3/Jochem-van-de-Kamp,9d00bcd3,Eredivisie
215,Ahmetcan Kaplan,TUR,DF,Ajax,21-105,2003,7.5,77.2,75.9,1.33,1.07,0.00,0.80,0.00,0.00,0.00,0.00,0.00,0.00,69.2,0.00,0.67,https://fbref.com/en/players/c46366f5/Ahmetcan-Kaplan,c46366f5,Eredivisie
216,Safouane Karim,NED,"MF,FW",Volendam,19-287,2004,2.1,34.8,33.3,1.43,0.00,0.00,0.48,0.48,0.48,0.48,0.00,0.48,0.00,24.3,0.00,0.95,https://fbref.com/en/players/82fff1d0/Safouane-Karim,82fff1d0,Eredivisie
217,Daniel Karlsbakk,NOR,"FW,MF",Heerenveen,21-023,2003,3.3,17.6,15.2,2.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.7,0.00,0.30,https://fbref.com/en/players/3cedae52/Daniel-Karlsbakk,3cedae52,Eredivisie
218,Souffian El Karouani,MAR,DF,Utrecht,23-194,2000,24.2,48.4,39.5,8.76,0.74,0.00,0.04,4.38,7.98,0.04,0.00,0.04,0.00,35.0,0.12,1.28,https://fbref.com/en/players/2e5a31cb/Souffian-El-Karouani,2e5a31cb,Eredivisie
219,Denso Kasius,NED,DF,AZ Alkmaar,21-207,2002,4.7,59.1,49.8,8.94,0.43,0.21,1.28,3.19,8.09,0.43,0.00,0.21,0.00,47.0,0.43,1.28,https://fbref.com/en/players/7ae36711/Denso-Kasius,7ae36711,Eredivisie
220,Sam Kersten,NED,DF,Zwolle,26-091,1998,31.0,50.2,48.0,2.16,1.71,0.00,0.32,0.06,0.29,0.00,0.00,0.00,0.00,43.5,0.03,0.39,https://fbref.com/en/players/16ca1157/Sam-Kersten,16ca1157,Eredivisie
221,Yann Kitala,,FW,Almere City,26-021,1998,5.3,19.6,19.4,0.19,0.00,0.00,0.00,1.13,0.00,0.00,0.00,0.00,0.00,10.0,0.00,0.57,https://fbref.com/en/players/690f7a7b/Yann-Kitala,690f7a7b,Eredivisie
222,Joshua Kitolano,NOR,MF,Sparta R'dam,22-271,2001,23.4,31.0,30.0,0.90,0.51,0.17,0.04,0.51,0.30,0.00,0.00,0.00,0.00,25.8,0.04,0.34,https://fbref.com/en/players/5186dfbf/Joshua-Kitolano,5186dfbf,Eredivisie
223,Mathias Kjølø,NOR,MF,Twente,22-308,2001,22.7,55.6,54.4,1.06,0.84,0.26,0.75,0.53,0.13,0.00,0.00,0.00,0.00,47.1,0.09,0.84,https://fbref.com/en/players/4066ff66/Mathias-Kjolo,4066ff66,Eredivisie
224,Davy Klaassen,NED,MF,Ajax,31-069,1993,0.7,24.3,24.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.1,0.00,2.86,https://fbref.com/en/players/15fd5593/Davy-Klaassen,15fd5593,Eredivisie
225,Sean Klaiber,SUR,DF,Utrecht,29-274,1994,1.1,83.6,67.3,15.5,2.73,0.00,1.82,3.64,12.7,0.00,0.00,0.00,0.00,63.6,0.91,3.64,https://fbref.com/en/players/f4ceb85b/Sean-Klaiber,f4ceb85b,Eredivisie
226,Flip Klomp,NED,MF,Volendam,22-195,2001,0.4,22.5,20.0,2.50,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.0,0.00,0.00,https://fbref.com/en/players/26d759de/Flip-Klomp,26d759de,Eredivisie
227,Mats Köhlert,GER,DF,Heerenveen,25-364,1998,29.9,55.7,44.8,10.8,0.84,0.00,0.07,5.35,7.93,2.01,1.14,0.67,0.00,43.1,0.10,1.04,https://fbref.com/en/players/3015d86e/Mats-Kohlert,3015d86e,Eredivisie
