Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Player Link_,Player ID_,Competition
196,Peer Koopmeiners,NED,MF,Almere City,23-249,2000,16,16,1426,15.8,0.00,0.19,0.19,0.00,0.00,0.00,0.25,0.00,0.02,0.02,0.15,0.16,0.57,5.00,1.01,0.00,0.19,0.19,0.00,0.19,0.02,0.15,0.16,0.02,0.16,https://fbref.com/en/players/83454d60/Peer-Koopmeiners,83454d60,Eredivisie
197,Kacper Kozłowski,POL,"MF,FW",Vitesse,20-084,2003,15,13,843,9.4,0.00,0.32,0.32,0.00,0.00,0.00,0.32,0.00,0.10,0.10,0.31,0.40,2.45,2.34,4.89,0.00,0.32,0.32,0.00,0.32,0.10,0.31,0.41,0.10,0.41,https://fbref.com/en/players/3ece036c/Kacper-Kozlowski,3ece036c,Eredivisie
198,Joris Kramer,NED,DF,Go Ahead Eag,27-159,1996,13,12,1080,12.0,0.08,0.00,0.08,0.08,0.00,0.00,0.08,0.00,0.03,0.03,0.00,0.03,0.67,1.58,0.08,0.08,0.00,0.08,0.08,0.08,0.03,0.00,0.03,0.03,0.03,https://fbref.com/en/players/04e82fa0/Joris-Kramer,04e82fa0,Eredivisie
199,Michiel Kramer,NED,FW,RKC Waalwijk,35-036,1988,16,16,1390,15.4,0.26,0.00,0.26,0.06,0.19,0.19,0.19,0.00,0.38,0.22,0.04,0.26,0.32,1.43,2.66,0.26,0.00,0.26,0.06,0.06,0.37,0.04,0.41,0.22,0.26,https://fbref.com/en/players/f175ca0a/Michiel-Kramer,f175ca0a,Eredivisie
200,Bas Kuipers,NED,DF,Go Ahead Eag,29-144,1994,16,16,1439,16.0,0.19,0.13,0.31,0.19,0.00,0.00,0.19,0.00,0.12,0.12,0.11,0.23,1.88,3.75,6.44,0.19,0.13,0.31,0.19,0.31,0.12,0.11,0.23,0.12,0.23,https://fbref.com/en/players/149b617e/Bas-Kuipers,149b617e,Eredivisie
201,Garang Kuol,AUS,"FW,MF",Volendam,19-115,2004,12,8,645,7.2,0.14,0.14,0.28,0.14,0.00,0.00,0.14,0.00,0.17,0.17,0.11,0.28,2.08,1.11,6.53,0.14,0.14,0.28,0.14,0.28,0.17,0.11,0.27,0.17,0.27,https://fbref.com/en/players/a8a80be7/Garang-Kuol,a8a80be7,Eredivisie
202,Dave Kwakman,NED,MF,AZ Alkmaar,19-154,2004,1,0,6,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/2cc959a8/Dave-Kwakman,2cc959a8,Eredivisie
203,Rajiv van La Parra,NED,FW,Almere City,32-218,1991,16,14,1098,12.2,0.08,0.08,0.16,0.08,0.00,0.00,0.00,0.00,0.30,0.30,0.07,0.36,3.11,1.97,8.20,0.08,0.08,0.16,0.08,0.16,0.29,0.07,0.36,0.29,0.36,https://fbref.com/en/players/1931bde9/Rajiv-van-La-Parra,1931bde9,Eredivisie
204,Zakaria Labyad,MAR,"MF,FW",Utrecht,30-305,1993,9,4,278,3.1,0.00,0.32,0.32,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.23,0.32,1.29,2.26,7.42,0.00,0.32,0.32,0.00,0.32,0.10,0.22,0.32,0.10,0.32,https://fbref.com/en/players/ebc56869/Zakaria-Labyad,ebc56869,Eredivisie
205,Mayckel Lahdo,SWE,FW,AZ Alkmaar,21-009,2002,10,7,533,5.9,0.51,0.34,0.85,0.51,0.00,0.00,0.00,0.00,0.17,0.17,0.07,0.24,4.75,3.05,13.4,0.51,0.34,0.84,0.51,0.84,0.17,0.07,0.24,0.17,0.24,https://fbref.com/en/players/6b390f32/Mayckel-Lahdo,6b390f32,Eredivisie
206,Thomas Lam,FIN,"DF,MF",Zwolle,30-021,1993,14,14,1147,12.7,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.00,0.06,0.06,0.00,0.06,0.55,3.62,0.31,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,https://fbref.com/en/players/e7fea51e/Thomas-Lam,e7fea51e,Eredivisie
207,Lazaros Lamprou,GRE,"FW,MF",Excelsior,26-020,1997,15,11,855,9.5,0.21,0.53,0.74,0.21,0.00,0.00,0.32,0.11,0.39,0.39,0.28,0.67,2.84,2.42,5.47,0.21,0.53,0.74,0.21,0.74,0.39,0.28,0.67,0.39,0.67,https://fbref.com/en/players/42e1ea60/Lazaros-Lamprou,42e1ea60,Eredivisie
208,Tygo Land,NED,MF,PSV Eindhoven,17-362,2006,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/bd448460/Tygo-Land,bd448460,Eredivisie
209,Noa Lang,NED,"FW,MF",PSV Eindhoven,24-205,1999,8,7,489,5.4,0.74,0.19,0.93,0.74,0.00,0.00,0.00,0.00,0.48,0.48,0.50,1.00,6.85,7.41,11.1,0.74,0.18,0.92,0.74,0.92,0.49,0.50,0.99,0.49,0.99,https://fbref.com/en/players/8e034340/Noa-Lang,8e034340,Eredivisie
