Rk,Player,Nation,Pos,Squad,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP,Player Link_,Player ID_,Competition
488,Carlos Rotondi,ARG,"MF,FW",Cruz Azul,25,1997,21.8,19.0,29.3,64.9,316.1,111.6,9.63,12.4,77.8,6.97,10.2,68.2,1.61,3.85,41.7,0.09,0.18,0.13,-0.09,1.42,1.42,1.19,0.60,2.34,https://fbref.com/en/players/046eb30b/Carlos-Rotondi,046eb30b,Liga MX
489,Fernando Rubén González,MEX,MF,Guadalajara,28,1994,18.1,34.8,41.9,83.0,596.2,216.6,15.9,18.2,87.5,15.3,17.7,86.3,2.98,4.36,68.4,0.00,0.03,0.03,-0.03,0.61,3.81,0.22,0.00,5.19,https://fbref.com/en/players/807e33f0/Fernando-Ruben-Gonzalez,807e33f0,Liga MX
490,Brian Rubio,MEX,FW,Mazatlán,25,1996,7.6,16.4,24.7,66.5,237.8,22.8,8.16,11.7,69.7,5.66,7.89,71.7,1.05,1.32,80.0,0.00,0.03,0.08,-0.03,0.53,0.66,0.26,0.00,1.71,https://fbref.com/en/players/1241ff67/Brian-Rubio,1241ff67,Liga MX
491,Brian Rubio,MEX,FW,León,25,1996,4.3,19.3,29.1,66.4,283.3,61.9,10.2,13.7,74.6,6.98,10.2,68.2,0.70,1.16,60.0,0.23,0.21,0.09,0.02,1.63,1.40,0.47,0.00,3.95,https://fbref.com/en/players/1241ff67/Brian-Rubio,1241ff67,Liga MX
492,Jesús Rubio,MEX,DF,Tijuana,,,1.9,21.1,23.7,88.9,415.3,207.9,6.32,6.84,92.3,11.6,12.1,95.7,3.16,3.16,100.0,0.00,0.00,0.00,0.00,0.00,0.53,0.00,0.00,1.58,https://fbref.com/en/players/908e6b5c/Jesus-Rubio,908e6b5c,Liga MX
493,Alan Ruiz,MEX,DF,Tijuana,21,2001,0.8,30.0,45.0,66.7,550.0,297.5,13.8,17.5,78.6,13.8,20.0,68.8,2.50,6.25,40.0,0.00,0.00,0.00,0.00,1.25,0.00,0.00,0.00,2.50,https://fbref.com/en/players/613bf0c3/Alan-Ruiz,613bf0c3,Liga MX
494,Marcel Ruiz,MEX,MF,Toluca,21,2000,27.2,53.2,60.7,87.6,902.6,234.5,25.6,28.0,91.6,21.8,24.5,89.0,4.56,5.55,82.1,0.07,0.07,0.09,0.00,0.77,5.59,0.63,0.04,6.62,https://fbref.com/en/players/e8b5ca4b/Marcel-Ruiz,e8b5ca4b,Liga MX
495,Jorge Ruvalcaba,MEX,"MF,FW",UNAM,21,2001,8.3,18.2,24.7,73.7,301.4,58.2,8.31,10.4,80.2,7.83,9.76,80.2,1.20,2.89,41.7,0.12,0.19,0.07,-0.07,1.69,1.08,0.72,0.24,2.17,https://fbref.com/en/players/3c0efe33/Jorge-Ruvalcaba,3c0efe33,Liga MX
496,Javier Salas,MEX,MF,FC Juárez,28,1993,22.5,37.3,43.3,86.2,678.2,168.1,15.1,16.8,89.9,17.2,19.1,90.2,4.13,5.78,71.5,0.00,0.02,0.03,-0.02,0.49,2.84,0.27,0.09,3.16,https://fbref.com/en/players/d19ff8ab/Javier-Salas,d19ff8ab,Liga MX
497,Carlos Salcedo,MEX,DF,FC Juárez,28,1993,29.9,42.5,50.0,84.9,986.8,383.6,9.40,10.5,89.2,24.4,26.2,93.1,8.53,12.6,67.6,0.00,0.02,0.03,-0.02,0.20,3.01,0.13,0.03,3.24,https://fbref.com/en/players/64c07ae1/Carlos-Salcedo,64c07ae1,Liga MX
498,Eduardo Salvio,ARG,"MF,FW",UNAM,32,1990,24.2,28.0,39.6,70.8,467.2,130.6,14.7,17.3,84.9,9.46,12.4,76.1,3.10,7.27,42.6,0.12,0.22,0.18,-0.10,2.40,2.40,1.20,0.37,2.77,https://fbref.com/en/players/5f424f35/Eduardo-Salvio,5f424f35,Liga MX
499,Rubens Sambueza,ARG,"MF,FW",Atlético,38,1984,2.6,34.2,56.5,60.5,609.6,258.8,16.9,21.5,78.6,13.5,23.5,57.4,3.85,9.23,41.7,0.38,0.15,0.31,0.23,1.92,5.38,2.69,1.54,8.46,https://fbref.com/en/players/12d979de/Rubens-Sambueza,12d979de,Liga MX
500,Juan Sanabria,URU,"MF,DF",Atlético,22,2000,25.6,32.7,45.8,71.3,637.3,235.4,13.0,15.6,83.3,13.4,17.7,75.8,5.55,10.2,54.2,0.08,0.21,0.17,-0.13,2.07,3.16,1.09,0.63,4.73,https://fbref.com/en/players/f1d74479/Juan-Sanabria,f1d74479,Liga MX
501,Andrés Sánchez,MEX,GK,Atlético,24,1997,1.0,22.0,27.0,81.5,506.0,334.0,5.00,5.00,100.0,9.00,9.00,100.0,6.00,11.0,54.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/2d43706b/Andres-Sanchez,2d43706b,Liga MX
502,Erick Sánchez,MEX,MF,Pachuca,22,1999,31.8,45.8,55.0,83.4,854.7,236.4,18.7,21.0,89.4,19.8,22.3,89.0,5.94,8.27,71.9,0.03,0.13,0.08,-0.09,1.79,5.85,0.91,0.06,7.48,https://fbref.com/en/players/67d34a1b/Erick-Sanchez,67d34a1b,Liga MX
503,Jesús Sánchez García,MEX,DF,Guadalajara,32,1989,7.2,37.8,48.6,77.7,660.7,257.2,18.2,20.6,88.5,15.8,19.9,79.7,3.19,6.25,51.1,0.00,0.04,0.04,-0.04,0.42,4.31,0.97,0.28,4.31,https://fbref.com/en/players/a331f530/Jesus-Sanchez-Garcia,a331f530,Liga MX
504,Jonathan Sánchez,MEX,DF,UNAM,28,1994,5.5,22.0,30.4,72.5,481.5,193.5,6.36,6.73,94.6,12.0,14.4,83.5,3.64,8.91,40.8,0.00,0.00,0.00,0.00,0.00,1.09,0.18,0.00,1.27,https://fbref.com/en/players/814252bc/Jonathan-Sanchez,814252bc,Liga MX
505,Luis Sánchez,MEX,DF,Monterrey,22,2000,1.7,31.8,35.3,90.0,509.4,202.4,15.3,17.1,89.7,14.7,14.7,100.0,1.18,2.94,40.0,0.00,0.00,0.00,0.00,0.59,3.53,0.00,0.00,4.12,https://fbref.com/en/players/5cf71053/Luis-Sanchez,5cf71053,Liga MX
506,Richard Sánchez,PAR,MF,América,26,1996,24.1,63.4,72.7,87.3,1203.9,432.0,26.8,28.3,94.9,26.1,28.6,91.3,9.50,13.5,70.5,0.08,0.14,0.16,-0.06,2.12,10.6,1.08,0.08,9.13,https://fbref.com/en/players/2bc8597b/Richard-Sanchez,2bc8597b,Liga MX
507,Kevin Sandoval,MEX,FW,Atlético,19,2003,0.0,2,4,50.0,24,15,2,2,100.0,0,1,0.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,1,https://fbref.com/en/players/3913c7c3/Kevin-Sandoval,3913c7c3,Liga MX
508,Raúl Sandoval,MEX,DF,Mazatlán,22,2000,9.5,29.7,41.2,72.1,507.9,188.7,14.6,17.4,84.2,12.4,16.0,77.6,2.32,4.74,48.9,0.00,0.04,0.04,-0.04,0.63,1.89,0.84,0.74,2.42,https://fbref.com/en/players/d88d0a41/Raul-Sandoval,d88d0a41,Liga MX
509,Miguel Sansores,MEX,"FW,MF",Mazatlán,31,1991,8.8,15.3,21.8,70.3,195.8,28.0,9.32,12.0,77.4,4.20,5.23,80.4,0.34,1.14,30.0,0.11,0.09,0.09,0.02,1.93,1.25,0.11,0.11,1.14,https://fbref.com/en/players/67f2c5a5/Miguel-Sansores,67f2c5a5,Liga MX
510,Anderson Santamaría,PER,DF,Atlas,30,1992,20.4,35.1,44.1,79.7,761.0,298.8,10.5,11.6,90.7,18.2,20.3,89.6,6.27,11.4,55.2,0.05,0.05,0.06,0.00,0.54,4.07,0.64,0.05,3.33,https://fbref.com/en/players/7b0c89ae/Anderson-Santamaria,7b0c89ae,Liga MX
511,José Santiago Hernández,MEX,GK,Atlas,25,1997,4.9,24.1,39.8,60.5,769.8,616.5,3.67,3.67,100.0,11.6,11.8,98.3,8.57,23.7,36.2,0.00,0.00,0.00,0.00,0.00,0.61,0.00,0.00,0.00,https://fbref.com/en/players/2a860a40/Jose-Santiago-Hernandez,2a860a40,Liga MX
512,Samir Santos,BRA,DF,UANL,27,1994,18.4,47.7,54.1,88.2,972.6,359.4,13.2,14.3,92.4,28.4,30.5,93.2,5.43,7.93,68.5,0.05,0.01,0.02,0.04,0.27,2.39,0.16,0.00,3.42,https://fbref.com/en/players/92b4758e/Samir-Santos,92b4758e,Liga MX
