Rk,Player,Nation,Pos,Squad,Age,Born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Player Link_,Player ID_,Competition
173,Carlos Ernesto Cisneros,MEX,"FW,DF",Guadalajara,28,1993,19.2,0.21,2.66,1.09,41.2,2.66,1.09,0.08,0.19,18.8,0.00,0.00,0.00,0.31,0.31,0.11,-0.10,-0.10,https://fbref.com/en/players/29635536/Carlos-Ernesto-Cisneros,29635536,Liga MX
174,Kevin Escamilla,MEX,MF,Querétaro,28,1994,23.1,0.04,1.26,0.39,31.0,1.25,0.39,0.03,0.11,27.7,0.13,0.00,0.00,0.07,0.07,0.06,-0.03,-0.03,https://fbref.com/en/players/deee261c/Kevin-Escamilla,deee261c,Liga MX
175,Juan Escobar,PAR,DF,Cruz Azul,27,1995,26.2,0.00,0.92,0.11,12.5,0.92,0.11,0.00,0.00,17.3,0.00,0.00,0.00,0.05,0.05,0.05,-0.05,-0.05,https://fbref.com/en/players/d48a1284/Juan-Escobar,d48a1284,Liga MX
176,Alonso Escoboza,MEX,"DF,MF",Cruz Azul,29,1993,4.6,0.65,1.74,0.87,50.0,1.73,0.86,0.38,0.75,15.8,0.00,0.00,0.00,0.24,0.24,0.14,0.41,0.41,https://fbref.com/en/players/6087c5c7/Alonso-Escoboza,6087c5c7,Liga MX
177,Amaury Escoto,MEX,"FW,MF",Puebla,29,1992,1.6,0.63,3.13,0.63,20.0,3.19,0.64,0.20,1.00,22.9,0.00,0.00,0.00,0.37,0.37,0.13,0.25,0.25,https://fbref.com/en/players/7db31ca9/Amaury-Escoto,7db31ca9,Liga MX
178,Michael Estrada,ECU,FW,Cruz Azul,26,1996,9.3,0.32,2.26,0.54,23.8,2.27,0.54,0.10,0.40,20.4,0.11,0.11,0.11,0.34,0.26,0.11,-0.02,-0.04,https://fbref.com/en/players/773f5f12/Michael-Estrada,773f5f12,Liga MX
179,Marco Fabián,MEX,"MF,FW",Mazatlán,33,1989,8.4,0.12,3.33,0.83,25.0,3.32,0.83,0.04,0.14,24.7,0.36,0.00,0.00,0.15,0.15,0.05,-0.04,-0.04,https://fbref.com/en/players/e665a2db/Marco-Fabian,e665a2db,Liga MX
180,Luis Félix,MEX,DF,Tijuana,21,2000,2.3,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,https://fbref.com/en/players/b3e8b604/Luis-Felix,b3e8b604,Liga MX
181,Omar Fernández Frasica,COL,"MF,FW",Puebla,29,1993,17.7,0.23,0.96,0.51,52.9,0.96,0.51,0.24,0.44,17.8,0.00,0.00,0.00,0.10,0.10,0.11,0.12,0.12,https://fbref.com/en/players/548d8753/Omar-Fernandez-Frasica,548d8753,Liga MX
182,Gabriel Fernández,URU,FW,FC Juárez,28,1994,28.1,0.28,2.49,0.78,31.4,2.49,0.78,0.11,0.36,13.5,0.00,0.00,0.04,0.34,0.31,0.13,-0.05,-0.02,https://fbref.com/en/players/36c5f77b/Gabriel-Fernandez,36c5f77b,Liga MX
183,Leonardo Fernández,URU,"MF,FW",Toluca,23,1998,20.6,0.39,3.64,1.26,34.7,3.64,1.26,0.07,0.19,27.2,1.12,0.15,0.15,0.33,0.22,0.06,0.06,0.02,https://fbref.com/en/players/a757be87/Leonardo-Fernandez,a757be87,Liga MX
184,Rafael Fernández,MEX,DF,Querétaro,21,2000,15.6,0.06,0.45,0.13,28.6,0.45,0.13,0.14,0.50,21.0,0.00,0.00,0.00,0.04,0.04,0.08,0.03,0.03,https://fbref.com/en/players/49511283/Rafael-Fernandez,49511283,Liga MX
185,Luis Fernando Fuentes,MEX,DF,América,35,1986,19.6,0.00,1.17,0.20,17.4,1.17,0.20,0.00,0.00,17.2,0.00,0.00,0.00,0.06,0.06,0.05,-0.06,-0.06,https://fbref.com/en/players/01099a98/Luis-Fernando-Fuentes,01099a98,Liga MX
186,Luis Fernando León,ECU,DF,Atlético,29,1993,13.8,0.00,0.51,0.07,14.3,0.51,0.07,0.00,0.00,25.8,0.36,0.00,0.00,0.02,0.02,0.05,-0.02,-0.02,https://fbref.com/en/players/69873a5f/Luis-Fernando-Leon,69873a5f,Liga MX
187,Luis Fernando Quintana,MEX,DF,Necaxa,30,1992,0.8,0.00,1.25,0.00,0.0,1.27,0.00,0.00,,9.5,0.00,0.00,0.00,0.13,0.13,0.10,-0.13,-0.13,https://fbref.com/en/players/d49e5666/Luis-Fernando-Quintana,d49e5666,Liga MX
188,Gustavo Ferrareis,BRA,"DF,MF",Puebla,26,1996,26.5,0.11,1.62,0.38,23.3,1.63,0.38,0.07,0.30,23.4,0.00,0.00,0.00,0.09,0.09,0.06,0.02,0.02,https://fbref.com/en/players/5188561c/Gustavo-Ferrareis,5188561c,Liga MX
189,Álvaro Fidalgo,ESP,MF,América,25,1997,29.5,0.07,1.05,0.24,22.6,1.05,0.24,0.06,0.29,29.3,0.03,0.00,0.00,0.04,0.04,0.04,0.03,0.03,https://fbref.com/en/players/c705cdc4/Alvaro-Fidalgo,c705cdc4,Liga MX
190,Carlos Fierro,MEX,"FW,MF",FC Juárez,28,1994,3.6,0.28,1.11,0.28,25.0,1.10,0.28,0.25,1.00,20.7,0.00,0.00,0.00,0.03,0.03,0.04,0.25,0.25,https://fbref.com/en/players/bbd2b6b7/Carlos-Fierro,bbd2b6b7,Liga MX
