Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Player Link_,Player ID_,Competition
103,Ronaldo Cisneros,MEX,"FW,MF",Guadalajara,27-000,1997,4.5,18.4,0.22,1.33,6.44,11.1,3.11,18.4,0.89,0.00,0.0,0.89,100.0,12.4,35.6,14.0,0.44,0.22,0.00,2.22,0.89,14.7,3.56,https://fbref.com/en/players/e526c193/Ronaldo-Cisneros,e526c193,Liga MX
104,Josué Colmán,PAR,"MF,FW",Mazatlán,25-167,1998,10.9,50.0,0.64,6.15,24.4,19.9,2.66,49.9,4.95,3.30,66.7,1.65,33.3,28.4,168.3,83.1,2.66,1.47,1.10,3.67,1.38,34.4,4.95,https://fbref.com/en/players/9603d928/Josue-Colman,9603d928,Liga MX
105,Andrés Colorado,COL,MF,Necaxa,25-038,1998,5.7,40.9,2.63,9.47,24.4,7.54,0.88,40.9,1.05,0.70,66.7,0.18,16.7,19.6,99.1,42.3,0.35,1.23,0.00,1.93,0.35,25.1,1.75,https://fbref.com/en/players/f3afff11/Andres-Colorado,f3afff11,Liga MX
106,Bryan Colula,MEX,DF,Mazatlán,27-277,1996,11.5,53.5,3.83,17.2,21.9,14.8,1.04,53.5,0.61,0.17,28.6,0.43,71.4,25.2,125.7,71.2,1.91,1.39,0.26,0.96,0.26,26.3,4.70,https://fbref.com/en/players/4b677ba7/Bryan-Colula,4b677ba7,Liga MX
107,Francisco Contreras,MEX,DF,Tijuana,24-207,1999,9.7,52.2,1.86,15.7,23.4,13.5,0.62,52.2,0.82,0.21,25.0,0.62,75.0,25.9,131.5,70.7,1.96,1.03,0.21,1.03,0.52,28.7,4.43,https://fbref.com/en/players/01a27d9e/Francisco-Contreras,01a27d9e,Liga MX
108,Nicolás Cordero,ARG,FW,Querétaro,24-272,1999,3.5,34.3,2.00,5.14,15.4,14.0,4.86,34.3,1.14,0.29,25.0,0.86,75.0,14.6,62.3,16.9,0.29,0.29,0.29,2.00,1.71,24.3,4.57,https://fbref.com/en/players/78f10ec0/Nicolas-Cordero,78f10ec0,Liga MX
109,Jesús Corona,MEX,"MF,FW",Monterrey,31-002,1993,6.6,61.5,0.45,4.70,25.6,31.8,3.48,61.5,7.73,3.64,47.1,3.48,45.1,38.2,274.8,111.4,3.64,1.97,0.91,3.64,2.27,49.1,11.4,https://fbref.com/en/players/fb938d24/Jesus-Corona,fb938d24,Liga MX
110,José Corona,MEX,GK,Tijuana,42-347,1981,3.0,30.7,25.0,30.3,0.33,0.00,0.00,30.7,0.00,0.00,,0.00,,16.3,71.7,49.0,0.00,0.00,0.00,0.00,0.00,16.3,0.00,https://fbref.com/en/players/e39a7e9c/Jose-Corona,e39a7e9c,Liga MX
111,Jair Cortés,MEX,"DF,MF",Necaxa,23-048,2000,8.3,55.2,3.37,16.5,24.5,14.8,0.96,55.2,1.20,0.36,30.0,0.72,60.0,24.1,122.3,68.1,1.93,1.81,0.60,1.45,0.96,25.4,3.86,https://fbref.com/en/players/2a79d1ae/Jair-Cortes,2a79d1ae,Liga MX
112,Rogelio Cortéz Pineda,MEX,MF,Necaxa,19-185,2004,2.1,39.0,1.90,8.57,22.4,9.05,0.48,39.0,0.48,0.48,100.0,0.00,0.0,18.1,110.5,60.5,1.43,0.95,0.00,1.90,0.48,18.6,0.48,https://fbref.com/en/players/656316b4/Rogelio-Cortez-Pineda,656316b4,Liga MX
