Rk,Player,Nation,Pos,Squad,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP,Player Link_,Player ID_,Competition
51,Syam Ben Youssef,TUN,DF,Caen,34-283,1989,1.8,50.6,65.0,77.8,1090.0,424.4,18.3,21.7,84.6,22.8,24.4,93.2,8.33,16.1,51.7,0.00,0.00,0.06,0.00,0.00,6.11,0.56,0.00,5.00,https://fbref.com/en/players/2293f5df/Syam-Ben-Youssef,2293f5df,Ligue 2
52,William Benard,FRA,MF,Stade Laval,20-256,2003,1.8,34.4,45.6,75.6,552.2,187.2,15.6,19.4,80.0,15.0,19.4,77.1,2.22,3.89,57.1,0.00,0.06,0.00,-0.06,0.56,3.89,0.00,0.00,5.56,https://fbref.com/en/players/8ecee7d2/William-Benard,8ecee7d2,Ligue 2
53,Jessy Bénet,FRA,MF,Grenoble,28-198,1995,17.3,40.3,51.0,78.9,801.2,294.2,13.2,15.0,88.0,18.7,21.7,86.4,6.82,11.7,58.4,0.29,0.20,0.14,0.09,1.85,5.72,0.75,0.17,6.47,https://fbref.com/en/players/6278e149/Jessy-Benet,6278e149,Ligue 2
54,Zakaria Bengueddoudj,FRA,"MF,FW",Annecy,23-321,2000,3.4,21.2,28.8,73.5,275.3,64.7,12.9,15.6,83.0,6.18,7.94,77.8,0.00,1.76,0.0,0.00,0.06,0.06,-0.06,0.88,2.06,0.88,0.29,3.53,https://fbref.com/en/players/55ae925e/Zakaria-Bengueddoudj,55ae925e,Ligue 2
55,Julien Benhaim,FRA,MF,Ajaccio,27-075,1996,5.8,,,,,,,,,,,,,,,0.00,,,,,,,,,https://fbref.com/en/players/f5e28e85/Julien-Benhaim,f5e28e85,Ligue 2
56,Mahmoud Bentayg,MAR,"DF,FW",Saint-Étienne,24-070,1999,3.4,39.4,50.9,77.5,611.5,201.5,20.0,22.4,89.5,15.6,20.9,74.6,2.06,4.71,43.8,0.00,0.09,0.06,-0.09,0.88,2.35,0.59,0.29,4.41,https://fbref.com/en/players/d445a4e0/Mahmoud-Bentayg,d445a4e0,Ligue 2
57,Jason Berthomier,FRA,"MF,FW",Valenciennes,34-002,1990,1.4,64.3,83.6,76.9,1054.3,303.6,27.9,32.1,86.7,23.6,28.6,82.5,7.86,15.0,52.4,0.00,0.00,0.14,0.00,0.00,7.14,1.43,0.00,12.1,https://fbref.com/en/players/03e91055/Jason-Berthomier,03e91055,Ligue 2
58,Steeve Beusnard,FRA,MF,Pau FC,31-195,1992,10.8,42.0,48.8,86.1,759.1,217.0,17.1,18.7,91.6,18.4,20.8,88.4,5.09,6.67,76.4,0.09,0.05,0.07,0.05,1.20,5.28,0.65,0.00,5.46,https://fbref.com/en/players/58b0d2de/Steeve-Beusnard,58b0d2de,Ligue 2
59,Florian Bianchini,FRA,"MF,FW",Bastia,22-197,2001,2.6,26.5,34.6,76.7,407.3,97.7,13.1,15.4,85.0,9.23,11.5,80.0,1.92,5.38,35.7,0.38,0.08,0.08,0.31,0.77,1.54,0.77,0.77,1.92,https://fbref.com/en/players/adc58361/Florian-Bianchini,adc58361,Ligue 2
60,Yohan Bilingi,FRA,DF,Dunkerque,24-341,1999,17.6,40.6,51.2,79.4,717.6,244.7,16.9,19.7,85.9,18.9,23.1,81.8,3.75,6.36,58.9,0.00,0.03,0.02,-0.03,0.51,2.61,0.34,0.11,3.86,https://fbref.com/en/players/29df114a/Yohan-Bilingi,29df114a,Ligue 2
61,Clément Billemaz,FRA,"MF,FW",Annecy,25-108,1998,4.6,17.6,32.2,54.7,260.9,121.5,8.48,13.3,63.9,6.52,11.7,55.6,0.87,3.48,25.0,0.00,0.15,0.04,-0.15,1.09,2.39,1.09,0.00,4.35,https://fbref.com/en/players/56ec5c1b/Clement-Billemaz,56ec5c1b,Ligue 2
62,Bayiha Biumla,FRA,DF,Bordeaux,18-245,2005,0.9,70.0,78.9,88.7,1162.2,320.0,30.0,31.1,96.4,35.6,40.0,88.9,3.33,4.44,75.0,0.00,0.00,0.00,0.00,1.11,0.00,0.00,0.00,1.11,https://fbref.com/en/players/e5a94f46/Bayiha-Biumla,e5a94f46,Ligue 2
63,Darling Bladi,FRA,MF,Saint-Étienne,19-211,2004,0.1,20.0,40.0,50.0,180.0,70.0,20.0,20.0,100.0,0.00,0.00,,0.00,20.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/4a153f17/Darling-Bladi,4a153f17,Ligue 2
64,Gabin Blancquart,FRA,DF,Valenciennes,19-314,2004,1.5,57.3,63.3,90.5,1162.0,192.7,16.0,16.7,96.0,38.0,39.3,96.6,3.33,5.33,62.5,0.00,0.20,0.13,-0.20,0.67,0.00,0.00,0.00,4.67,https://fbref.com/en/players/a7cc9be4/Gabin-Blancquart,a7cc9be4,Ligue 2
65,Antonin Bobichon,FRA,"MF,FW",Stade Laval,28-116,1995,7.2,28.8,38.1,75.5,498.2,158.2,13.1,15.1,86.2,10.4,13.8,75.8,3.61,6.53,55.3,0.00,0.11,0.13,-0.11,0.97,3.47,1.39,0.28,5.00,https://fbref.com/en/players/7d937aa1/Antonin-Bobichon,7d937aa1,Ligue 2
66,Florian Bohnert,LUX,DF,Bastia,26-060,1997,14.9,44.2,56.6,78.1,757.5,283.4,20.3,23.2,87.6,19.2,24.0,80.1,3.36,6.31,53.2,0.00,0.02,0.02,-0.02,0.27,3.49,0.27,0.20,5.10,https://fbref.com/en/players/e0dad30c/Florian-Bohnert,e0dad30c,Ligue 2
67,Rémy Boissier,FRA,MF,Dunkerque,29-320,1994,14.4,36.9,44.3,83.2,722.9,146.6,13.2,15.9,83.0,18.0,19.8,90.9,4.93,6.67,74.0,0.00,0.01,0.03,-0.01,0.21,2.01,0.28,0.07,2.92,https://fbref.com/en/players/9d38f20c/Remy-Boissier,9d38f20c,Ligue 2
68,Malcom Bokélé,CMR,DF,Bordeaux,23-330,2000,8.7,54.9,65.7,83.6,1028.7,328.0,17.6,19.4,90.5,32.5,36.2,89.8,4.02,7.82,51.5,0.00,0.06,0.09,-0.06,0.69,2.76,0.80,0.34,3.45,https://fbref.com/en/players/51af19f7/Malcom-Bokele,51af19f7,Ligue 2
69,Charles Boli,FRA,"MF,DF",Pau FC,25-131,1998,3.0,32.3,41.7,77.6,586.7,165.7,13.7,17.7,77.4,15.3,18.3,83.6,3.00,4.67,64.3,0.00,0.03,0.07,-0.03,0.67,4.00,0.33,0.00,6.33,https://fbref.com/en/players/bbdd999a/Charles-Boli,bbdd999a,Ligue 2
70,Diabé Bolumbu,FRA,DF,Caen,19-180,2004,1.8,43.3,52.8,82.1,731.7,241.7,19.4,21.1,92.1,21.1,23.9,88.4,2.78,7.22,38.5,0.00,0.00,0.00,0.00,0.00,3.89,0.00,0.00,3.89,https://fbref.com/en/players/d77644a7/Diabe-Bolumbu,d77644a7,Ligue 2
71,Kévin Boma,TOG,DF,Rodez Aveyron,21-049,2002,1.2,46.7,53.3,87.5,962.5,287.5,17.5,18.3,95.5,24.2,26.7,90.6,5.00,8.33,60.0,0.00,0.00,0.00,0.00,0.00,2.50,0.00,0.00,4.17,https://fbref.com/en/players/49cfaf2e/Kevin-Boma,49cfaf2e,Ligue 2
72,Alexandre Bonnet,FRA,MF,Quevilly-Rouen,37-083,1986,3.1,27.4,38.7,70.8,456.1,155.2,12.6,16.8,75.0,12.3,14.5,84.4,1.61,4.52,35.7,0.00,0.03,0.06,-0.03,0.97,4.19,1.94,0.97,6.13,https://fbref.com/en/players/350188c1/Alexandre-Bonnet,350188c1,Ligue 2
73,Ugo Bonnet,FRA,FW,Valenciennes,30-113,1993,7.5,13.7,19.6,70.1,184.3,26.8,7.60,10.7,71.3,4.00,5.33,75.0,0.53,1.07,50.0,0.13,0.08,0.08,0.05,0.93,0.93,0.27,0.13,0.93,https://fbref.com/en/players/edfe36a7/Ugo-Bonnet,edfe36a7,Ligue 2
74,Kayne Bonnevie,FRA,GK,Quevilly-Rouen,22-170,2001,2.0,12.5,29.0,43.1,677.5,650.5,0.00,0.00,,1.00,1.00,100.0,11.5,26.5,43.4,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,https://fbref.com/en/players/0df854bb/Kayne-Bonnevie,0df854bb,Ligue 2
75,Alexy Bosetti,FRA,MF,Annecy,30-260,1993,1.7,17.6,32.9,53.6,251.8,105.3,8.82,11.2,78.9,7.06,11.2,63.2,0.59,7.65,7.7,0.00,0.06,0.06,-0.06,1.18,1.76,0.59,0.00,4.71,https://fbref.com/en/players/48d960c3/Alexy-Bosetti,48d960c3,Ligue 2
76,Kenji-Van Boto,MAD,DF,Pau FC,27-307,1996,12.1,37.0,48.1,77.0,608.4,249.3,16.4,19.4,84.7,16.8,21.3,78.7,2.31,4.71,49.1,0.25,0.12,0.08,0.13,0.83,3.06,0.74,0.41,4.96,https://fbref.com/en/players/c03b7266/Kenji-Van-Boto,c03b7266,Ligue 2
77,Zacharie Boucher,FRA,GK,Bastia,31-307,1992,2.0,23.0,30.5,75.4,724.0,539.5,3.00,3.00,100.0,10.0,10.0,100.0,10.0,17.5,57.1,0.00,0.00,0.00,0.00,0.00,1.50,0.00,0.00,0.00,https://fbref.com/en/players/249cdcff/Zacharie-Boucher,249cdcff,Ligue 2
78,Benjamin Bouchouari,MAR,MF,Saint-Étienne,22-056,2001,14.2,53.1,59.7,88.9,890.4,275.5,25.7,28.0,91.9,21.3,22.7,93.8,4.51,6.69,67.4,0.00,0.05,0.08,-0.05,0.85,6.48,0.92,0.07,8.59,https://fbref.com/en/players/599f9013/Benjamin-Bouchouari,599f9013,Ligue 2
79,Sofiane Boudraa,FRA,"FW,MF",Valenciennes,20-192,2003,3.0,19.7,31.3,62.8,303.0,99.7,11.3,16.7,68.0,6.67,9.00,74.1,1.00,4.00,25.0,0.00,0.03,0.03,-0.03,1.00,2.67,0.33,0.00,4.00,https://fbref.com/en/players/fa67443c/Sofiane-Boudraa,fa67443c,Ligue 2
80,Ismael Bouneb,FRA,MF,Valenciennes,17-215,2006,0.3,,,,,,,,,,,,,,,0.00,,,,,,,,,https://fbref.com/en/players/9921f617/Ismael-Bouneb,9921f617,Ligue 2
81,Ismaëlben Boura,FRA,DF,Troyes,23-147,2000,13.2,47.1,55.1,85.6,817.8,206.8,21.6,24.2,89.3,18.7,21.1,88.8,4.92,7.05,69.9,0.08,0.05,0.02,0.03,0.53,2.58,0.61,0.15,3.03,https://fbref.com/en/players/62e02107/Ismaelben-Boura,62e02107,Ligue 2
82,Khalid Boutaïb,MAR,FW,Pau FC,36-259,1987,12.5,23.7,35.0,67.6,339.4,94.1,12.8,17.9,71.4,7.84,11.4,68.5,1.12,2.08,53.8,0.08,0.07,0.07,0.01,1.12,2.56,0.80,0.08,4.24,https://fbref.com/en/players/6074b849/Khalid-Boutaib,6074b849,Ligue 2
83,Aymen Boutoutaou,FRA,"MF,FW",Valenciennes,22-324,2001,13.9,23.6,34.5,68.5,427.9,139.9,9.93,12.3,80.7,9.86,13.5,73.3,2.81,6.12,45.9,0.07,0.19,0.13,-0.12,1.37,3.02,1.15,0.29,5.04,https://fbref.com/en/players/b5339db2/Aymen-Boutoutaou,b5339db2,Ligue 2
84,Frank Boya,CMR,"MF,DF",Amiens,27-191,1996,7.4,36.8,50.5,72.7,702.3,187.2,13.8,16.8,82.3,17.8,22.7,78.6,4.46,9.05,49.3,0.00,0.00,0.03,0.00,0.27,3.11,0.14,0.00,4.32,https://fbref.com/en/players/957e00ad/Frank-Boya,957e00ad,Ligue 2
85,Bilal Brahimi,FRA,"FW,MF",Caen,23-286,2000,9.2,39.3,48.9,80.4,674.7,165.4,18.8,22.6,83.2,15.9,18.4,86.4,3.59,4.78,75.0,0.00,0.12,0.14,-0.12,1.20,5.43,1.63,0.54,6.85,https://fbref.com/en/players/ff2ae8b5/Bilal-Brahimi,ff2ae8b5,Ligue 2
86,Anthony Briançon,FRA,DF,Saint-Étienne,29-041,1994,16.4,61.3,67.3,91.0,1283.0,460.2,17.7,19.4,91.5,32.9,33.8,97.1,9.94,13.1,75.8,0.00,0.00,0.01,0.00,0.12,2.13,0.18,0.00,2.93,https://fbref.com/en/players/16324e1d/Anthony-Briancon,16324e1d,Ligue 2
